champion,champion_id,slot,name,description,tooltip,cooldown,cost,range,resource,image,image_large,sourceUrl
Alistar,12,P,Triumphant Roar,Alistar charges his roar by stunning or displacing enemy champions or when nearby enemies die. When fully charged he heals himself all nearby allied champions.,,,,,,champions/Alistar/images/abilities/triumphant_roar.png,champions/Alistar/images/abilities/triumphant_roar.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/hud/icons2d/alistar_e.png
Alistar,12,Q,Pulverize,"Alistar smashes the ground, dealing damage to nearby enemies and tossing them into the air.","Alistar smashes the ground, Knocking Up enemies for {{ knockupduration }} second and dealing {{ totaldamage }} magic damage .{{ spellmodifierdescriptionappend }}",14/13/12/11/10,50/55/60/65/70,365,{{ cost }} {{ abilityresourcename }},champions/Alistar/images/abilities/pulverize.png,champions/Alistar/images/abilities/pulverize.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/hud/icons2d/alistar_q.png
Alistar,12,W,Headbutt,"Alistar rams a target with his head, dealing damage and knocking the target back.","Alistar rams into an enemy, Knocking them Back and dealing {{ totaldamage }} magic damage .{{ spellmodifierdescriptionappend }}",14/13/12/11/10,50/55/60/65/70,650,{{ cost }} {{ abilityresourcename }},champions/Alistar/images/abilities/headbutt.png,champions/Alistar/images/abilities/headbutt.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/hud/icons2d/alistar_w.png
Alistar,12,E,Trample,"Alistar tramples nearby enemy units, ignoring unit collision and gaining stacks if he damages an enemy champion. At full stacks Alistar's next basic attack against an enemy champion deals additional magic damage and stuns them.","Alistar begins trampling the ground, becoming Ghosted and dealing {{ totaldamage }} magic damage over {{ e3 }} seconds to nearby enemies. Each pulse that damages a champion grants a stack. At {{ e5 }} stacks, Alistar's next Attack against champions Stuns for {{ e6 }} second and deals an additional {{ attackbonusdamage }} magic damage .{{ spellmodifierdescriptionappend }}",12/11.5/11/10.5/10,50/55/60/65/70,350,{{ cost }} {{ abilityresourcename }},champions/Alistar/images/abilities/trample.png,champions/Alistar/images/abilities/trample.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/hud/icons2d/alistar_passive.png
Alistar,12,R,Unbreakable Will,"Alistar lets out a wild roar, removing all crowd control effects on himself, and reducing incoming physical and magical damage for the duration.",Alistar immediately cleanses all Disabling effects and takes {{ rdamagereduction }}% reduced damage for {{ rduration }} seconds.{{ spellmodifierdescriptionappend }},120/100/80,100,1,{{ cost }} {{ abilityresourcename }},champions/Alistar/images/abilities/unbreakable_will.png,champions/Alistar/images/abilities/unbreakable_will.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/hud/icons2d/alistar_r.png
Azir,268,P,Shurima's Legacy,Azir can summon the Disc of the Sun from the ruins of allied or enemy turrets.,,,,,,champions/Azir/images/abilities/shurima_s_legacy.png,champions/Azir/images/abilities/shurima_s_legacy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/hud/icons2d/azir_passive.png
Azir,268,Q,Conquering Sands,Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.,"Azir orders all Sand Soldiers to an area, dealing {{ totaldamage }} magic damage to enemies they pass through and Slowing them by {{ e2 }}% for 1 second.{{ spellmodifierdescriptionappend }}",14/12/10/8/6,70/80/90/100/110,740,{{ cost }} {{ abilityresourcename }},champions/Azir/images/abilities/conquering_sands.png,champions/Azir/images/abilities/conquering_sands.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/hud/icons2d/azir_q.png
Azir,268,W,Arise!,"Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line.","Azir summons a Sand Soldier for {{ e1 }} seconds. When Azir Attacks an enemy near a Sand Soldier , he instead orders the soldiers to stab, dealing {{ totaldamage }} magic damage in their direction. This Ability has {{ maxammo }} charges.{{ spellmodifierdescriptionappend }}",1.5,40/35/30/25/20,525,{{ cost }} {{ abilityresourcename }},champions/Azir/images/abilities/arise.png,champions/Azir/images/abilities/arise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/hud/icons2d/azir_w.png
Azir,268,E,Shifting Sands,"Azir shields himself briefly and dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he instantly readies a new Sand Soldier for deployment and halts his dash.","Azir grants himself {{ totalshield }} Shield for {{ e6 }} seconds and dashes to one of his Sand Soldiers , dealing {{ totaldamage }} magic damage to enemies he passes through. If Azir hits an enemy champion, he stops and gains a Sand Soldier charge.{{ spellmodifierdescriptionappend }}",22/20.5/19/17.5/16,60,1100,{{ cost }} {{ abilityresourcename }},champions/Azir/images/abilities/shifting_sands.png,champions/Azir/images/abilities/shifting_sands.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/hud/icons2d/azir_e.png
Azir,268,R,Emperor's Divide,"Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.","Azir summons a wall of armored soldiers that charges forward, Knocking Back enemies and dealing {{ totaldamage }} magic damage . The soldiers remain, blocking enemy paths for {{ e4 }} seconds.{{ spellmodifierdescriptionappend }}",120/105/90,100,250,{{ cost }} {{ abilityresourcename }},champions/Azir/images/abilities/emperor_s_divide.png,champions/Azir/images/abilities/emperor_s_divide.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/azir/hud/icons2d/azir_r.png
