champion,skin_id,skin_name,chroma_id,name,colors,image,sourceUrl
Alistar,12010,Moo Cow Alistar,12011,Moo Cow Alistar (Rose Quartz),"#E58BA5, #E58BA5",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_rose_quartz.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12011.png
Alistar,12010,Moo Cow Alistar,12012,Moo Cow Alistar (Peridot),"#B6E084, #B6E084",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_peridot.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12012.png
Alistar,12010,Moo Cow Alistar,12013,Moo Cow Alistar (Catseye),"#FFEE59, #FFEE59",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_catseye.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12013.png
Alistar,12010,Moo Cow Alistar,12014,Moo Cow Alistar (Aquamarine),"#6ABBEE, #6ABBEE",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_aquamarine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12014.png
Alistar,12010,Moo Cow Alistar,12015,Moo Cow Alistar (Jasper),"#9F4A25, #9F4A25",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_jasper.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12015.png
Alistar,12010,Moo Cow Alistar,12016,Moo Cow Alistar (Sapphire),"#2756CE, #2756CE",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_sapphire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12016.png
Alistar,12010,Moo Cow Alistar,12017,Moo Cow Alistar (Citrine),"#DF9117, #DF9117",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_citrine.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12017.png
Alistar,12010,Moo Cow Alistar,12018,Moo Cow Alistar (Amethyst),"#9C68D7, #9C68D7",champions/Alistar/images/chromas/moo_cow_alistar_moo_cow_alistar_amethyst.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12018.png
Alistar,12020,Conqueror Alistar,12021,Conqueror Alistar (Golden),"#FFC948, #FFC948",champions/Alistar/images/chromas/conqueror_alistar_conqueror_alistar_golden.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12021.png
Alistar,12022,Blackfrost Alistar,12023,Blackfrost Alistar (Ruby),"#D33528, #D33528",champions/Alistar/images/chromas/blackfrost_alistar_blackfrost_alistar_ruby.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/v1/champion-chroma-images/12/12023.png
