id,name,description,champion_ids,image,sourceUrl
1,,,,images/emotes/1.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/
10,Mastery 10+,Champion Mastery Level 10+,,images/emotes/mastery_10.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/
10001,Prestige Chibi Ezreal Porcelain,Apple and Peace,"81, 99",images/emotes/prestige_chibi_ezreal_porcelain.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10001_em_prestige_chibi_ezreal_porcelain_inventory.tft_accessories_1502.png
10002,Chibi Zoe Emote,Lucky money gets! Fortune comes!,142,images/emotes/chibi_zoe_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10002_em_chibi_zoe_inventory.tft_accessories_1502.png
10003,Winner's Swag,,,images/emotes/winner_s_swag.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10003_em_ll_poro_cosplay_bee_inventory.tft_accessories_1505.png
10004,Hiss-hiss Rich!,,,images/emotes/hiss_hiss_rich.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10004_em_ll_snek_lantern_inventory.tft_accessories_1505.png
10005,Pleeease!,,147,images/emotes/pleeease.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10005_em_chibi_seraphine_kda_inventory.tft_accessories_1505.png
10006,Grrr…!,,40,images/emotes/grrr.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10006_em_chibi_janna_base_inventory.tft_accessories_1507.png
10007,Storm's Coming!!!,,40,images/emotes/storm_s_coming.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10007_em_chibi_janna_forecast_inventory.tft_accessories_1507.png
10008,Tears in the Night,,67,images/emotes/tears_in_the_night.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10008_em_unbound_vayne_project_inventory.tft_accessories_1507.png
10009,Jolly and Jaded,,,images/emotes/jolly_and_jaded.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/tft/10009_em_ll_kuroshiro_base_inventory.tft_accessories_1507.png
