id,name,plaintext,description,gold_total,gold_base,gold_sell,purchasable,tags,stats,image,sourceUrl
1001,Boots,Slightly increases Move Speed,25 Move Speed,300,300,210,True,Boots,FlatMovementSpeedMod:25,images/items/boots.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1001_class_t1_bootsofspeed.png
1004,Faerie Charm,Slightly increases Mana Regen,50% Base Mana Regen,200,200,140,True,ManaRegen,,images/items/faerie_charm.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1004_class_t1_faeriecharm.png
1006,Rejuvenation Bead,Slightly increases Health Regen,100% Base Health Regen,300,300,120,True,HealthRegen,,images/items/rejuvenation_bead.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1006_tank_t1_rejuvenationbead.png
1011,Giant's Belt,Greatly increases Health,350 Health,900,500,630,True,Health,FlatHPPoolMod:350,images/items/giant_s_belt.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1011_class_t2_giantsbelt.png
1018,Cloak of Agility,Increases critical strike chance,15% Critical Strike Chance,600,600,420,True,CriticalStrike,FlatCritChanceMod:0.15,images/items/cloak_of_agility.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1018_base_t1_cloakagility.png
1026,Blasting Wand,Moderately increases Ability Power,45 Ability Power,850,850,595,True,SpellDamage,FlatMagicDamageMod:45,images/items/blasting_wand.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1026_mage_t1_blastingwand.png
1027,Sapphire Crystal,Increases Mana,300 Mana,300,300,210,True,Mana,FlatMPPoolMod:300,images/items/sapphire_crystal.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1027_base_t1_saphirecrystal.png
1028,Ruby Crystal,Increases Health,150 Health,400,400,280,True,Health,FlatHPPoolMod:150,images/items/ruby_crystal.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1028_base_t1_rubycrystal.png
1029,Cloth Armor,Slightly increases Armor,15 Armor,300,300,210,True,Armor,FlatArmorMod:15,images/items/cloth_armor.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1029_base_t1_clotharmor.png
1031,Chain Vest,Greatly increases Armor,40 Armor,800,500,560,True,Armor,FlatArmorMod:40,images/items/chain_vest.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/items/icons2d/1031_base_t2_chainvest.png
