champ,quote_text,audio_url,lang,type
Azir,Shurima! Your emperor has returned!,champions/Azir/audio/shurima_your_emperor_has_returned.ogg,en_US,champion_select
Azir,Your emperor shall return.,champions/Azir/audio/your_emperor_shall_return.ogg,en_US,champion_select
Azir,The world is a desert. I am the oasis.,champions/Azir/audio/the_world_is_a_desert_i_am_the_oasis.ogg,en_US,first_move
Azir,The world is a desert. I am the oasis.,champions/Azir/audio/the_world_is_a_desert_i_am_the_oasis_2.ogg,en_US,first_move
Azir,The world is a desert. I am the oasis.,champions/Azir/audio/the_world_is_a_desert_i_am_the_oasis_3.ogg,en_US,first_move
Azir,Shurima will once again stretch to the horizon.,champions/Azir/audio/shurima_will_once_again_stretch_to_the_horizon.ogg,en_US,first_move
Azir,Shurima will once again stretch to the horizon.,champions/Azir/audio/shurima_will_once_again_stretch_to_the_horizon_2.ogg,en_US,first_move
Azir,Shurima will once again stretch to the horizon.,champions/Azir/audio/shurima_will_once_again_stretch_to_the_horizon_3.ogg,en_US,first_move
Azir,It is my time. Put your faith in me.,champions/Azir/audio/it_is_my_time_put_your_faith_in_me.ogg,en_US,first_move
Azir,It is my time. Put your faith in me.,champions/Azir/audio/it_is_my_time_put_your_faith_in_me_2.ogg,en_US,first_move
Azir,It is my time. Put your faith in me.,champions/Azir/audio/it_is_my_time_put_your_faith_in_me_3.ogg,en_US,first_move
Azir,Shurima is where all paths converge.,champions/Azir/audio/shurima_is_where_all_paths_converge.ogg,en_US,first_move
Azir,Shurima is where all paths converge.,champions/Azir/audio/shurima_is_where_all_paths_converge_2.ogg,en_US,first_move
Azir,Shurima is where all paths converge.,champions/Azir/audio/shurima_is_where_all_paths_converge_3.ogg,en_US,first_move
Azir,I will guide us to glory.,champions/Azir/audio/i_will_guide_us_to_glory.ogg,en_US,first_move
Azir,I will guide us to glory.,champions/Azir/audio/i_will_guide_us_to_glory_2.ogg,en_US,first_move
Azir,I will guide us to glory.,champions/Azir/audio/i_will_guide_us_to_glory_3.ogg,en_US,first_move
Azir,"Let us return to our rightful place, Nasus.",champions/Azir/audio/let_us_return_to_our_rightful_place_nasus.ogg,en_US,first_move
Azir,"Let us return to our rightful place, Nasus.",champions/Azir/audio/let_us_return_to_our_rightful_place_nasus_2.ogg,en_US,first_move
Azir,"Let us return to our rightful place, Nasus.",champions/Azir/audio/let_us_return_to_our_rightful_place_nasus_3.ogg,en_US,first_move
Aatrox,"Now, hear the silence of Annihilation",champions/Aatrox/audio/now_hear_the_silence_of_annihilation.ogg,en_US,champion_select
Aatrox,Let me end this!,champions/Aatrox/audio/let_me_end_this.ogg,en_US,champion_select
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",champions/Aatrox/audio/pantheon_i_see_you_like_a_lamprey_you_attach_yourself_to_a_host_i_will_carve_you_from_this_mortal_s_form_and_eviscerate_you_both.ogg,en_US,first_move
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",champions/Aatrox/audio/pantheon_i_see_you_like_a_lamprey_you_attach_yourself_to_a_host_i_will_carve_you_from_this_mortal_s_form_and_eviscerate_you_both_2.ogg,en_US,first_move
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",champions/Aatrox/audio/pantheon_i_see_you_like_a_lamprey_you_attach_yourself_to_a_host_i_will_carve_you_from_this_mortal_s_form_and_eviscerate_you_both_3.ogg,en_US,first_move
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",champions/Aatrox/audio/pantheon_i_see_you_like_a_lamprey_you_attach_yourself_to_a_host_i_will_carve_you_from_this_mortal_s_form_and_eviscerate_you_both_4.ogg,en_US,first_move
Aatrox,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",champions/Aatrox/audio/pantheon_i_see_you_like_a_lamprey_you_attach_yourself_to_a_host_i_will_carve_you_from_this_mortal_s_form_and_eviscerate_you_both_5.ogg,en_US,first_move
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",champions/Aatrox/audio/targon_sends_an_aspect_against_me_prepare_yourself_pantheon_i_will_end_all_that_you_hope_to_be.ogg,en_US,first_move
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",champions/Aatrox/audio/targon_sends_an_aspect_against_me_prepare_yourself_pantheon_i_will_end_all_that_you_hope_to_be_2.ogg,en_US,first_move
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",champions/Aatrox/audio/targon_sends_an_aspect_against_me_prepare_yourself_pantheon_i_will_end_all_that_you_hope_to_be_3.ogg,en_US,first_move
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",champions/Aatrox/audio/targon_sends_an_aspect_against_me_prepare_yourself_pantheon_i_will_end_all_that_you_hope_to_be_4.ogg,en_US,first_move
Aatrox,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",champions/Aatrox/audio/targon_sends_an_aspect_against_me_prepare_yourself_pantheon_i_will_end_all_that_you_hope_to_be_5.ogg,en_US,first_move
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",champions/Aatrox/audio/pantheon_i_will_crush_your_godhood_i_will_eviscerate_your_ideals_even_your_memory_i_will_trample.ogg,en_US,first_move
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",champions/Aatrox/audio/pantheon_i_will_crush_your_godhood_i_will_eviscerate_your_ideals_even_your_memory_i_will_trample_2.ogg,en_US,first_move
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",champions/Aatrox/audio/pantheon_i_will_crush_your_godhood_i_will_eviscerate_your_ideals_even_your_memory_i_will_trample_3.ogg,en_US,first_move
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",champions/Aatrox/audio/pantheon_i_will_crush_your_godhood_i_will_eviscerate_your_ideals_even_your_memory_i_will_trample_4.ogg,en_US,first_move
Aatrox,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",champions/Aatrox/audio/pantheon_i_will_crush_your_godhood_i_will_eviscerate_your_ideals_even_your_memory_i_will_trample_5.ogg,en_US,first_move
Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,champions/Aatrox/audio/the_true_sound_of_my_blade_can_only_be_heard_when_they_loathe_re_incarnation.ogg,en_US,moving
Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,champions/Aatrox/audio/the_true_sound_of_my_blade_can_only_be_heard_when_they_loathe_re_incarnation_2.ogg,en_US,moving
Aatrox,The true sound of my blade can only be heard when they loathe re-incarnation.,champions/Aatrox/audio/the_true_sound_of_my_blade_can_only_be_heard_when_they_loathe_re_incarnation_3.ogg,en_US,moving
Amumu,I thought you'd never pick me.,champions/Amumu/audio/i_thought_you_d_never_pick_me.ogg,en_US,champion_select
Amumu,Aww.,champions/Amumu/audio/aww.ogg,en_US,champion_select
Amumu,Aww.,champions/Amumu/audio/aww_2.ogg,en_US,moving
Amumu,Aww.,champions/Amumu/audio/aww_3.ogg,en_US,moving
Amumu,Aww.,champions/Amumu/audio/aww_4.ogg,en_US,moving
Amumu,Where are we going?,champions/Amumu/audio/where_are_we_going.ogg,en_US,moving
Amumu,Where are we going?,champions/Amumu/audio/where_are_we_going_2.ogg,en_US,moving
Amumu,Where are we going?,champions/Amumu/audio/where_are_we_going_3.ogg,en_US,moving
Amumu,Let's find some friends.,champions/Amumu/audio/let_s_find_some_friends.ogg,en_US,moving
Amumu,Let's find some friends.,champions/Amumu/audio/let_s_find_some_friends_2.ogg,en_US,moving
Amumu,Let's find some friends.,champions/Amumu/audio/let_s_find_some_friends_3.ogg,en_US,moving
Amumu,Come play with me.,champions/Amumu/audio/come_play_with_me.ogg,en_US,moving
Amumu,Come play with me.,champions/Amumu/audio/come_play_with_me_2.ogg,en_US,moving
Amumu,Come play with me.,champions/Amumu/audio/come_play_with_me_3.ogg,en_US,moving
Amumu,Okay.,champions/Amumu/audio/okay.ogg,en_US,moving
Amumu,Okay.,champions/Amumu/audio/okay_2.ogg,en_US,moving
Amumu,Okay.,champions/Amumu/audio/okay_3.ogg,en_US,moving
Amumu,Let me give you a hug.,champions/Amumu/audio/let_me_give_you_a_hug.ogg,en_US,taunt
Amumu,Let me give you a hug.,champions/Amumu/audio/let_me_give_you_a_hug_2.ogg,en_US,taunt
Amumu,Let me give you a hug.,champions/Amumu/audio/let_me_give_you_a_hug_3.ogg,en_US,taunt
Aphelios,"So many weapons, Aphelios. The deadliest is your faith.",champions/Aphelios/audio/so_many_weapons_aphelios_the_deadliest_is_your_faith.ogg,en_US,champion_select
Aphelios,"Condemned to darkness, where our power grows.",champions/Aphelios/audio/condemned_to_darkness_where_our_power_grows.ogg,en_US,champion_select
Aphelios,Aphelios chokes.,champions/Aphelios/audio/aphelios_chokes.ogg,en_US,game_start
Aphelios,Aphelios chokes.,champions/Aphelios/audio/aphelios_chokes_2.ogg,en_US,game_start
Aphelios,Aphelios chokes.,champions/Aphelios/audio/aphelios_chokes_3.ogg,en_US,game_start
Aphelios,"With every step, two steps. With every breath, two breaths.",champions/Aphelios/audio/with_every_step_two_steps_with_every_breath_two_breaths.ogg,en_US,first_move
Aphelios,"Even from across the celestial veil… I will be with you, brother.",champions/Aphelios/audio/even_from_across_the_celestial_veil_i_will_be_with_you_brother.ogg,en_US,first_move
Aphelios,"It always starts with pain. We can only do this together, Aphelios.",champions/Aphelios/audio/it_always_starts_with_pain_we_can_only_do_this_together_aphelios.ogg,en_US,first_move
Aphelios,"Your life upon the altar, brother… I will not betray it.",champions/Aphelios/audio/your_life_upon_the_altar_brother_i_will_not_betray_it.ogg,en_US,first_move
Aphelios,Aphelios… I hear you. I know what you sacrifice.,champions/Aphelios/audio/aphelios_i_hear_you_i_know_what_you_sacrifice.ogg,en_US,first_move
Aphelios,"Will they still call you 'fiend' when they die, looking in your eyes? Or will they see the savior I see, Aphelios?",champions/Aphelios/audio/will_they_still_call_you_fiend_when_they_die_looking_in_your_eyes_or_will_they_see_the_savior_i_see_aphelios.ogg,en_US,first_move
Aphelios,"Order fights for light. Chaos fights for darkness. In the moon, we have found both: a way to survive.",champions/Aphelios/audio/order_fights_for_light_chaos_fights_for_darkness_in_the_moon_we_have_found_both_a_way_to_survive.ogg,en_US,first_move
Aphelios,"We are meant to hate each other. But we will show them all, wicked and divine, that we are stronger together.",champions/Aphelios/audio/we_are_meant_to_hate_each_other_but_we_will_show_them_all_wicked_and_divine_that_we_are_stronger_together.ogg,en_US,first_move
Aphelios,"Find your orbit, brother.",champions/Aphelios/audio/find_your_orbit_brother.ogg,en_US,moving
Aphelios,"Again and again, I see you reach… for me.",champions/Aphelios/audio/again_and_again_i_see_you_reach_for_me.ogg,en_US,moving
Aphelios,I am with you… shining above.,champions/Aphelios/audio/i_am_with_you_shining_above.ogg,en_US,moving
Aphelios,I beseech the moon to protect you.,champions/Aphelios/audio/i_beseech_the_moon_to_protect_you.ogg,en_US,moving
Aphelios,Darkness is not heresy. It lies within us all.,champions/Aphelios/audio/darkness_is_not_heresy_it_lies_within_us_all.ogg,en_US,moving
Aphelios,We cannot let fear trap us in twilight.,champions/Aphelios/audio/we_cannot_let_fear_trap_us_in_twilight.ogg,en_US,moving
Aphelios,"Through your eyes, I see such wonders…",champions/Aphelios/audio/through_your_eyes_i_see_such_wonders.ogg,en_US,moving
Lillia,Me? A dream come true.,champions/Lillia/audio/me_a_dream_come_true.ogg,en_US,champion_select
Lillia,They're scampering from me?,champions/Lillia/audio/they_re_scampering_from_me.ogg,en_US,champion_select
Lillia,Humans cast a spell every night. Every time they fall asleep.,champions/Lillia/audio/humans_cast_a_spell_every_night_every_time_they_fall_asleep.ogg,en_US,first_move
Lillia,"The garden is filled with burls. The burls, with nightmares... Mother Tree, I'll remind them how to dream.",champions/Lillia/audio/the_garden_is_filled_with_burls_the_burls_with_nightmares_mother_tree_i_ll_remind_them_how_to_dream.ogg,en_US,first_move
Lillia,"You can do this, Lillia. You are a strong, capable dream fawn. A-and you have a big stick. A-and you hit people with it but don't really mean it! Sorry.",champions/Lillia/audio/you_can_do_this_lillia_you_are_a_strong_capable_dream_fawn_a_and_you_have_a_big_stick_a_and_you_hit_people_with_it_but_don_t_really_mean_it_sorry.ogg,en_US,first_move
Lillia,"Where are you, little lost dreams? I'll bring you to your home in the Dreaming Tree.",champions/Lillia/audio/where_are_you_little_lost_dreams_i_ll_bring_you_to_your_home_in_the_dreaming_tree.ogg,en_US,first_move
Lillia,"I'm glad you're with me, dream.",champions/Lillia/audio/i_m_glad_you_re_with_me_dream.ogg,en_US,first_move
Lillia,In my garden—the garden—there's a tree—the tree.,champions/Lillia/audio/in_my_garden_the_garden_there_s_a_tree_the_tree.ogg,en_US,first_move
Lillia,Night's falling in my garden. Leaves rustle like sheets! Why is...no one dreaming?,champions/Lillia/audio/night_s_falling_in_my_garden_leaves_rustle_like_sheets_why_is_no_one_dreaming.ogg,en_US,first_move
