champion,champion_id,skin_id,name,is_base,rarity,cost,availability,release,splash,tile,load_screen,sourceSplash,sourceTile,sourceLoad,voiceActor,set
Alistar,12,12000,Alistar,True,kNoRarity,585,Available,2009-02-21,champions/Alistar/images/skins/alistar_splash.jpg,champions/Alistar/images/skins/alistar_tile.jpg,champions/Alistar/images/skins/alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/base/images/alistar_splash_centered_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/base/images/alistar_splash_tile_0.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/base/alistarloadscreen.jpg,Harlan Hogan,
Alistar,12,12001,Black Alistar,False,kNoRarity,Special,Limited,2009-06-13,champions/Alistar/images/skins/black_alistar_splash.jpg,champions/Alistar/images/skins/black_alistar_tile.jpg,champions/Alistar/images/skins/black_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin01/images/alistar_splash_centered_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin01/images/alistar_splash_tile_1.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin01/alistarloadscreen_1.jpg,Harlan Hogan,Collector's Edition
Alistar,12,12002,Golden Alistar,False,kNoRarity,390,Available,2010-01-13,champions/Alistar/images/skins/golden_alistar_splash.jpg,champions/Alistar/images/skins/golden_alistar_tile.jpg,champions/Alistar/images/skins/golden_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin02/images/alistar_splash_centered_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin02/images/alistar_splash_tile_2.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin02/alistarloadscreen_2.jpg,Harlan Hogan,Legacy
Alistar,12,12003,Matador Alistar,False,kNoRarity,975,Legacy,2010-05-11,champions/Alistar/images/skins/matador_alistar_splash.jpg,champions/Alistar/images/skins/matador_alistar_tile.jpg,champions/Alistar/images/skins/matador_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin03/images/alistar_splash_centered_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin03/images/alistar_splash_tile_3.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin03/alistarloadscreen_3.jpg,Harlan Hogan,Day Job
Alistar,12,12004,Longhorn Alistar,False,kNoRarity,520,Legacy,2011-02-16,champions/Alistar/images/skins/longhorn_alistar_splash.jpg,champions/Alistar/images/skins/longhorn_alistar_tile.jpg,champions/Alistar/images/skins/longhorn_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin04/images/alistar_splash_centered_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin04/images/alistar_splash_tile_4.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin04/alistarloadscreen_4.jpg,Harlan Hogan,High Noon
Alistar,12,12005,Unchained Alistar,False,kNoRarity,Special,Limited,2011-09-22,champions/Alistar/images/skins/unchained_alistar_splash.jpg,champions/Alistar/images/skins/unchained_alistar_tile.jpg,champions/Alistar/images/skins/unchained_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin05/images/alistar_splash_centered_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin05/images/alistar_splash_tile_5.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin05/alistarloadscreen_5.jpg,Harlan Hogan,Chronicle
Alistar,12,12006,Infernal Alistar,False,kNoRarity,975,Available,2012-07-13,champions/Alistar/images/skins/infernal_alistar_splash.jpg,champions/Alistar/images/skins/infernal_alistar_tile.jpg,champions/Alistar/images/skins/infernal_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin06/images/alistar_splash_centered_6.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin06/images/alistar_splash_tile_6.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin06/alistarloadscreen_6.jpg,Harlan Hogan,Infernal
Alistar,12,12007,Sweeper Alistar,False,kNoRarity,750,Legacy,2014-06-18,champions/Alistar/images/skins/sweeper_alistar_splash.jpg,champions/Alistar/images/skins/sweeper_alistar_tile.jpg,champions/Alistar/images/skins/sweeper_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin07/images/alistar_splash_centered_7.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin07/images/alistar_splash_tile_7.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin07/alistarloadscreen_7.jpg,Harlan Hogan,Soccer Cup
Alistar,12,12008,Marauder Alistar,False,kNoRarity,750,Available,2015-09-30,champions/Alistar/images/skins/marauder_alistar_splash.jpg,champions/Alistar/images/skins/marauder_alistar_tile.jpg,champions/Alistar/images/skins/marauder_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin08/images/alistar_splash_centered_8.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin08/images/alistar_splash_tile_8.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin08/alistarloadscreen_8.jpg,Harlan Hogan,Marauder
Alistar,12,12009,SKT T1 Alistar,False,kNoRarity,975,Legacy,2016-08-17,champions/Alistar/images/skins/skt_t1_alistar_splash.jpg,champions/Alistar/images/skins/skt_t1_alistar_tile.jpg,champions/Alistar/images/skins/skt_t1_alistar_load.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin09/images/alistar_splash_centered_9.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin09/images/alistar_splash_tile_9.jpg,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/alistar/skins/skin09/alistarloadscreen_9.jpg,Harlan Hogan,World Champions: 2015
