id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
77,tangled-feet,tangled_feet,generation-iv,"When this Pokémon is confused, it has twice its evasion.",Doubles evasion when confused.,"pidgey, pidgeotto, pidgeot, doduo, dodrio, spinda, chatot, mr-rime, flamigo",https://pokeapi.co/api/v2/ability/77/
78,motor-drive,motor_drive,generation-iv,"Whenever an electric-type move hits this Pokémon, its Speed rises one stage, negating any other effect on it.

This ability will not take effect if this Pokémon is immune to Electric moves.  Electric moves will ignore this Pokémon's substitute.

This effect includes non-damaging moves, i.e. thunder wave.","Absorbs electric moves, raising Speed one stage.","electivire, blitzle, zebstrika, emolga",https://pokeapi.co/api/v2/ability/78/
79,rivalry,rivalry,generation-iv,"This Pokémon inflicts 1.25× as much regular damage against Pokémon of the same gender and 0.75× as much regular damage against Pokémon of the opposite gender.

If either Pokémon is genderless, damage is unaffected.","Increases damage inflicted to 1.25× against Pokémon of the same gender, but decreases damage to 0.75× against the opposite gender.","nidoran-f, nidorina, nidoqueen, nidoran-m, nidorino, nidoking, beautifly, shinx, luxio, luxray, pidove, tranquill, unfezant, axew, fraxure, haxorus, litleo, pyroar",https://pokeapi.co/api/v2/ability/79/
80,steadfast,steadfast,generation-iv,"Whenever this Pokémon flinches, its Speed rises one stage.",Raises Speed one stage upon flinching.,"machop, machoke, machamp, scyther, tyrogue, hitmontop, riolu, lucario, gallade, rockruff, lycanroc-midday, dubwool, sirfetchd, mewtwo-mega-x, farfetchd-galar, machamp-gmax",https://pokeapi.co/api/v2/ability/80/
81,snow-cloak,snow_cloak,generation-iv,"During hail, this Pokémon has 1.25× its evasion, and it does not take hail damage regardless of type.

The evasion bonus does not count as a stat modifier.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved in snow.",Increases evasion to 1.25× during hail.  Protects against hail damage.,"articuno, swinub, piloswine, glaceon, mamoswine, froslass, vanillite, vanillish, cubchoo, beartic, cetoddle, sandshrew-alola, sandslash-alola, vulpix-alola, ninetales-alola",https://pokeapi.co/api/v2/ability/81/
82,gluttony,gluttony,generation-iv,"This Pokémon eats any held Berry triggered by low HP when it falls below 50% of its HP, regardless of the Berry's usual threshold.",Makes the Pokémon eat any held Berry triggered by low HP below 1/2 its max HP.,"bellsprout, weepinbell, victreebel, snorlax, shuckle, zigzagoon, linoone, gulpin, swalot, spoink, grumpig, munchlax, pansage, simisage, pansear, simisear, panpour, simipour, heatmor, skwovet, greedent, applin, flapple, appletun, lechonk, oinkologne-male, dipplin, rattata-alola, raticate-alola, raticate-totem-alola, grimer-alola, muk-alola, slowpoke-galar, zigzagoon-galar, linoone-galar, snorlax-gmax, flapple-gmax, appletun-gmax, oinkologne-female",https://pokeapi.co/api/v2/ability/82/
83,anger-point,anger_point,generation-iv,"Whenever this Pokémon receives a critical hit, its Attack rises to the maximum of 6 stages.

This ability will still take effect if the critical hit is received by a substitute.",Raises Attack to the maximum of six stages upon receiving a critical hit.,"mankey, primeape, tauros, camerupt, sandile, krokorok, krookodile, crabrawler, crabominable, tauros-paldea-combat-breed, tauros-paldea-blaze-breed, tauros-paldea-aqua-breed",https://pokeapi.co/api/v2/ability/83/
84,unburden,unburden,generation-iv,"When this Pokémon uses or loses its held item, its Speed is doubled.  If it gains another item or leaves battle, this bonus is lost.

This includes when the Pokémon drops its item because of knock off.  This bonus does not count as a stat modifier.  There is no notification when this ability takes effect.",Doubles Speed upon using or losing a held item.,"hitmonlee, treecko, grovyle, sceptile, drifloon, drifblim, purrloin, liepard, accelgor, swirlix, slurpuff, hawlucha, nickit, thievul, sneasler, shroodle, grafaiai",https://pokeapi.co/api/v2/ability/84/
85,heatproof,heatproof,generation-iv,This Pokémon takes half as much damage from fire-type moves and burns.,Halves damage from fire moves and burns.,"bronzor, bronzong, rolycoly, poltchageist, sinistcha",https://pokeapi.co/api/v2/ability/85/
86,simple,simple,generation-iv,"Each stage of this Pokémon's stat modifiers acts as two stages.  These doubled stages are still limited to a minimum of -6 and a maximum of 6.

This Pokémon can still accumulate less than -3 or more than 3 stages of stat modifiers, even though the extra ones have no effect after doubling.",Doubles the Pokémon's stat modifiers.  These doubled modifiers are still capped at -6 or 6 stages.,"numel, bidoof, bibarel, woobat, swoobat",https://pokeapi.co/api/v2/ability/86/
