id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
268,lingering-aroma,lingering_aroma,generation-ix,Contact with the Pokémon changes the attacker’s Ability to Lingering Aroma.,Contact changes the attacker's Ability to Lingering Aroma.,oinkologne-male,https://pokeapi.co/api/v2/ability/268/
269,seed-sower,seed_sower,generation-ix,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,Turns the ground into Grassy Terrain when the Pokémon is hit by an attack.,arboliva,https://pokeapi.co/api/v2/ability/269/
270,thermal-exchange,thermal_exchange,generation-ix,Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned.,Raises Attack when hit by a Fire-type move. Cannot be burned.,"frigibax, arctibax, baxcalibur",https://pokeapi.co/api/v2/ability/270/
271,anger-shell,anger_shell,generation-ix,"When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats.","When the Pokémon's HP drops below half, Anger Shell lowers its Defense and Special Defense but its Attack, Special Attack and Speed are raised.",klawf,https://pokeapi.co/api/v2/ability/271/
272,purifying-salt,purifying_salt,generation-ix,The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves.,Protects from status conditions and halves damage from Ghost-type moves.,"nacli, naclstack, garganacl",https://pokeapi.co/api/v2/ability/272/
273,well-baked-body,well_baked_body,generation-ix,"The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted.","Immune to Fire-type moves, and Defense is sharply boosted.",dachsbun,https://pokeapi.co/api/v2/ability/273/
274,wind-rider,wind_rider,generation-ix,Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves.,"Gives immunity to wind moves, and causes the Pokémon's Attack to increase by one stage when hit by one.","shiftry, bramblin, brambleghast",https://pokeapi.co/api/v2/ability/274/
275,guard-dog,guard_dog,generation-ix,Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work.,"Boosts Attack if intimidated, and prevents being forced to switch out.","mabosstiff, okidogi",https://pokeapi.co/api/v2/ability/275/
276,rocky-payload,rocky_payload,generation-ix,Increases the power of Rock-type moves used by this Pokémon by 50%.,Powers up Rock-type moves.,bombirdier,https://pokeapi.co/api/v2/ability/276/
277,wind-power,wind_power,generation-ix,"The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses.","When hit by a wind move, the power of the next Electric-type move it uses is doubled.","wattrel, kilowattrel",https://pokeapi.co/api/v2/ability/277/
278,zero-to-hero,zero_to_hero,generation-ix,The Pokémon transforms into its Hero Form when it switches out.,Transforms into its Hero Form when switching out.,"palafin-zero, palafin-zero, palafin-hero, palafin-hero",https://pokeapi.co/api/v2/ability/278/
279,commander,commander,generation-ix,"When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there.",Goes inside the mouth of an ally Dondozo if one is on the field.,"tatsugiri-curly, tatsugiri-droopy, tatsugiri-stretchy",https://pokeapi.co/api/v2/ability/279/
280,electromorphosis,electromorphosis,generation-ix,"The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses.","When hit by an attack, the power of the next Electric-type move it uses is doubled.",bellibolt,https://pokeapi.co/api/v2/ability/280/
281,protosynthesis,protosynthesis,generation-ix,Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy.,"Raises highest stat in harsh sunlight, or if holding Booster Energy.","great-tusk, scream-tail, brute-bonnet, flutter-mane, slither-wing, sandy-shocks, roaring-moon, walking-wake, gouging-fire, raging-bolt",https://pokeapi.co/api/v2/ability/281/
282,quark-drive,quark_drive,generation-ix,Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy.,"Raises highest stat on Electric Terrain, or if holding Booster Energy.","iron-treads, iron-bundle, iron-hands, iron-jugulis, iron-moth, iron-thorns, iron-valiant, iron-leaves, iron-boulder, iron-crown",https://pokeapi.co/api/v2/ability/282/
283,good-as-gold,good_as_gold,generation-ix,"A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves.",Gives immunity to status moves.,gholdengo,https://pokeapi.co/api/v2/ability/283/
284,vessel-of-ruin,vessel_of_ruin,generation-ix,The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself.,Lowers Special Attack of all Pokémon except itself.,ting-lu,https://pokeapi.co/api/v2/ability/284/
285,sword-of-ruin,sword_of_ruin,generation-ix,The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself.,Lowers Defense of all Pokémon except itself.,chien-pao,https://pokeapi.co/api/v2/ability/285/
286,tablets-of-ruin,tablets_of_ruin,generation-ix,The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself.,Lowers Attack of all Pokémon except itself.,wo-chien,https://pokeapi.co/api/v2/ability/286/
287,beads-of-ruin,beads_of_ruin,generation-ix,The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself.,Lowers Special Defense of all Pokémon except itself.,chi-yu,https://pokeapi.co/api/v2/ability/287/
288,orichalcum-pulse,orichalcum_pulse,generation-ix,Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight.,"Turns the sunlight harsh when entering battle, and boosts Attack while active.","koraidon, koraidon-limited-build, koraidon-limited-build, koraidon-sprinting-build, koraidon-sprinting-build, koraidon-swimming-build, koraidon-swimming-build, koraidon-gliding-build, koraidon-gliding-build",https://pokeapi.co/api/v2/ability/288/
289,hadron-engine,hadron_engine,generation-ix,Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain.,"Creates an Electric Terrain when entering battle, and boosts Special Attack while active.","miraidon, miraidon-low-power-mode, miraidon-low-power-mode, miraidon-drive-mode, miraidon-drive-mode, miraidon-aquatic-mode, miraidon-aquatic-mode, miraidon-glide-mode, miraidon-glide-mode",https://pokeapi.co/api/v2/ability/289/
