id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
124,pickpocket,pickpocket,generation-v,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",Steals attacking Pokémon's held items on contact.,"sneasel, seedot, nuzleaf, shiftry, weavile, binacle, barbaracle, impidimp, morgrem, grimmsnarl, shroodle, tinkatink, tinkatuff, tinkaton, grimmsnarl-gmax, sneasel-hisui",https://pokeapi.co/api/v2/ability/124/
125,sheer-force,sheer_force,generation-v,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.","nidoqueen, nidoking, krabby, kingler, tauros, totodile, croconaw, feraligatr, steelix, makuhita, hariyama, mawile, trapinch, bagon, cranidos, rampardos, timburr, gurdurr, conkeldurr, darmanitan-standard, druddigon, rufflet, braviary, landorus-incarnate, toucannon, cufant, copperajah, kleavor, cetoddle, cetitan, darmanitan-zen, camerupt-mega, kingler-gmax, copperajah-gmax, braviary-hisui, squawkabilly-yellow-plumage, squawkabilly-white-plumage",https://pokeapi.co/api/v2/ability/125/
126,contrary,contrary,generation-v,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",Inverts stat changes.,"shuckle, spinda, snivy, servine, serperior, inkay, malamar, fomantis, lurantis, enamorus-incarnate, lurantis-totem",https://pokeapi.co/api/v2/ability/126/
127,unnerve,unnerve,generation-v,"Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.",Prevents opposing Pokémon from eating held Berries.,"ekans, arbok, meowth, persian, aerodactyl, mewtwo, ursaring, houndour, houndoom, tyranitar, masquerain, vespiquen, joltik, galvantula, axew, fraxure, haxorus, litleo, pyroar, bewear, rookidee, corvisquire, corviknight, calyrex, ursaluna, meowth-galar, meowth-gmax, corviknight-gmax",https://pokeapi.co/api/v2/ability/127/
128,defiant,defiant,generation-v,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.",Raises Attack two stages upon having any stat lowered.,"mankey, primeape, farfetchd, purugly, pawniard, bisharp, braviary, tornadus-incarnate, thundurus-incarnate, passimian, obstagoon, falinks, annihilape, kingambit, ogerpon, zapdos-galar",https://pokeapi.co/api/v2/ability/128/
129,defeatist,defeatist,generation-v,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,Halves Attack and Special Attack at 50% max HP or less.,"archen, archeops",https://pokeapi.co/api/v2/ability/129/
130,cursed-body,cursed_body,generation-v,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,Has a 30% chance of Disabling any move that hits the Pokémon.,"gengar, shuppet, banette, froslass, frillish, jellicent, sinistea, polteageist, dreepy, drakloak, dragapult, marowak-alola, marowak-totem, corsola-galar, gengar-gmax",https://pokeapi.co/api/v2/ability/130/
131,healer,healer,generation-v,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.,"chansey, bellossom, blissey, audino, alomomola, spritzee, aromatisse, hatenna, hattrem, hatterene, audino-mega, hatterene-gmax",https://pokeapi.co/api/v2/ability/131/
132,friend-guard,friend_guard,generation-v,"All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.",Decreases all direct damage taken by friendly Pokémon to 0.75×.,"clefairy, jigglypuff, cleffa, igglybuff, happiny, scatterbug, spewpa, vivillon, maushold-family-of-four, maushold-family-of-three",https://pokeapi.co/api/v2/ability/132/
133,weak-armor,weak_armor,generation-v,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.",Raises Speed and lowers Defense by one stage each upon being hit by a physical move.,"onix, omanyte, omastar, kabuto, kabutops, slugma, magcargo, skarmory, roggenrola, boldore, dwebble, crustle, garbodor, vanillite, vanillish, vanilluxe, vullaby, mandibuzz, sinistea, polteageist, cursola, armarouge, ceruledge, corsola-galar, garbodor-gmax",https://pokeapi.co/api/v2/ability/133/
