id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
165,aroma-veil,aroma_veil,generation-vi,Protects allies against moves that affect their mental state.,Protects allies against moves that affect their mental state.,"spritzee, aromatisse, milcery, alcremie, lechonk, dachsbun, alcremie-gmax, oinkologne-female",https://pokeapi.co/api/v2/ability/165/
166,flower-veil,flower_veil,generation-vi,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,"flabebe, floette, florges, comfey, floette-eternal",https://pokeapi.co/api/v2/ability/166/
167,cheek-pouch,cheek_pouch,generation-vi,"Restores HP upon eating a Berry, in addition to the Berry's effect.","Restores HP upon eating a Berry, in addition to the Berry's effect.","bunnelby, diggersby, dedenne, skwovet, greedent, maushold-family-of-four, maushold-family-of-three",https://pokeapi.co/api/v2/ability/167/
168,protean,protean,generation-vi,"Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.",Changes the bearer's type to match each move it uses.,"kecleon, froakie, frogadier, greninja, sprigatito, floragato, meowscarada",https://pokeapi.co/api/v2/ability/168/
169,fur-coat,fur_coat,generation-vi,Halves damage from physical attacks.,Halves damage from physical attacks.,"furfrou, persian-alola",https://pokeapi.co/api/v2/ability/169/
170,magician,magician,generation-vi,Steals the target's held item when the bearer uses a damaging move.,Steals the target's held item when the bearer uses a damaging move.,"fennekin, braixen, delphox, klefki, hoopa, hoopa-unbound",https://pokeapi.co/api/v2/ability/170/
171,bulletproof,bulletproof,generation-vi,"Protects against bullet, ball, and bomb-based moves.","Protects against bullet, ball, and bomb-based moves.","chespin, quilladin, chesnaught, jangmo-o, hakamo-o, kommo-o, wooloo, dubwool, applin, ursaluna, kommo-o-totem",https://pokeapi.co/api/v2/ability/171/
172,competitive,competitive,generation-vi,Raises Special Attack by two stages upon having any stat lowered.,Raises Special Attack by two stages upon having any stat lowered.,"jigglypuff, wigglytuff, igglybuff, milotic, piplup, prinplup, empoleon, gothita, gothorita, gothitelle, boltund, wattrel, kilowattrel, meowstic-female, articuno-galar",https://pokeapi.co/api/v2/ability/172/
173,strong-jaw,strong_jaw,generation-vi,Strengthens biting moves to 1.5× their power.,Strengthens biting moves to 1.5× their power.,"tyrunt, tyrantrum, yungoos, gumshoos, bruxish, chewtle, drednaw, boltund, dracovish, sharpedo-mega, gumshoos-totem, drednaw-gmax, avalugg-hisui",https://pokeapi.co/api/v2/ability/173/
174,refrigerate,refrigerate,generation-vi,Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.,"amaura, aurorus, glalie-mega",https://pokeapi.co/api/v2/ability/174/
175,sweet-veil,sweet_veil,generation-vi,Prevents friendly Pokémon from sleeping.,Prevents friendly Pokémon from sleeping.,"swirlix, slurpuff, cutiefly, ribombee, bounsweet, steenee, tsareena, milcery, alcremie, ribombee-totem, alcremie-gmax",https://pokeapi.co/api/v2/ability/175/
176,stance-change,stance_change,generation-vi,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","aegislash-shield, aegislash-blade",https://pokeapi.co/api/v2/ability/176/
177,gale-wings,gale_wings,generation-vi,Raises flying moves' priority by one stage.,Raises flying moves' priority by one stage.,"fletchling, fletchinder, talonflame",https://pokeapi.co/api/v2/ability/177/
178,mega-launcher,mega_launcher,generation-vi,Strengthens aura and pulse moves to 1.5× their power.,Strengthens aura and pulse moves to 1.5× their power.,"clauncher, clawitzer, blastoise-mega",https://pokeapi.co/api/v2/ability/178/
179,grass-pelt,grass_pelt,generation-vi,Boosts Defense while grassy terrain is in effect.,Boosts Defense while grassy terrain is in effect.,"skiddo, gogoat",https://pokeapi.co/api/v2/ability/179/
180,symbiosis,symbiosis,generation-vi,Passes the bearer's held item to an ally when the ally uses up its item.,Passes the bearer's held item to an ally when the ally uses up its item.,"flabebe, floette, florges, oranguru, floette-eternal",https://pokeapi.co/api/v2/ability/180/
181,tough-claws,tough_claws,generation-vi,Strengthens moves that make contact to 1.33× their power.,Strengthens moves that make contact to 1.33× their power.,"binacle, barbaracle, perrserker, charizard-mega-x, aerodactyl-mega, metagross-mega, lycanroc-dusk, meowth-galar",https://pokeapi.co/api/v2/ability/181/
182,pixilate,pixilate,generation-vi,Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.,"sylveon, gardevoir-mega, altaria-mega",https://pokeapi.co/api/v2/ability/182/
183,gooey,gooey,generation-vi,Lowers attacking Pokémon's Speed by one stage on contact.,Lowers attacking Pokémon's Speed by one stage on contact.,"goomy, sliggoo, goodra, wiglett, wugtrio, sliggoo-hisui, goodra-hisui",https://pokeapi.co/api/v2/ability/183/
