id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
192,stamina,stamina,generation-vii,Raises this Pokémon's Defense by one stage when it takes damage from a move.,Raises this Pokémon's Defense by one stage when it takes damage from a move.,"mudbray, mudsdale, archaludon",https://pokeapi.co/api/v2/ability/192/
193,wimp-out,wimp_out,generation-vii,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,wimpod,https://pokeapi.co/api/v2/ability/193/
194,emergency-exit,emergency_exit,generation-vii,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,golisopod,https://pokeapi.co/api/v2/ability/194/
195,water-compaction,water_compaction,generation-vii,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,"sandygast, palossand",https://pokeapi.co/api/v2/ability/195/
196,merciless,merciless,generation-vii,This Pokémon's moves critical hit against poisoned targets.,This Pokémon's moves critical hit against poisoned targets.,"mareanie, toxapex",https://pokeapi.co/api/v2/ability/196/
197,shields-down,shields_down,generation-vii,"When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.",Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.,"minior-red-meteor, minior-orange-meteor, minior-yellow-meteor, minior-green-meteor, minior-blue-meteor, minior-indigo-meteor, minior-violet-meteor, minior-red, minior-orange, minior-yellow, minior-green, minior-blue, minior-indigo, minior-violet",https://pokeapi.co/api/v2/ability/197/
198,stakeout,stakeout,generation-vii,This Pokémon's moves have double power against Pokémon that switched in this turn.,This Pokémon's moves have double power against Pokémon that switched in this turn.,"yungoos, gumshoos, nickit, thievul, tarountula, spidops, maschiff, mabosstiff, gumshoos-totem",https://pokeapi.co/api/v2/ability/198/
199,water-bubble,water_bubble,generation-vii,"When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.","Halves damage from Fire moves, doubles damage of Water moves, and prevents burns.","dewpider, araquanid, araquanid-totem",https://pokeapi.co/api/v2/ability/199/
200,steelworker,steelworker,generation-vii,This Pokémon's Steel moves have 1.5× power.,This Pokémon's Steel moves have 1.5× power.,dhelmise,https://pokeapi.co/api/v2/ability/200/
201,berserk,berserk,generation-vii,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.",Raises this Pokémon's Special Attack by one stage every time its HP drops below half.,"drampa, moltres-galar",https://pokeapi.co/api/v2/ability/201/
202,slush-rush,slush_rush,generation-vii,"During Hail, this Pokémon has double Speed.","During Hail, this Pokémon has double Speed.","cubchoo, beartic, arctozolt, arctovish, cetitan, sandshrew-alola, sandslash-alola",https://pokeapi.co/api/v2/ability/202/
203,long-reach,long_reach,generation-vii,A move used by this Pokémon will not make contact.,This Pokémon's moves do not make contact.,"rowlet, dartrix, decidueye",https://pokeapi.co/api/v2/ability/203/
204,liquid-voice,liquid_voice,generation-vii,"When this Pokémon uses a move that is sound-based, that move's type is Water.",Sound-based moves become Water-type.,"popplio, brionne, primarina",https://pokeapi.co/api/v2/ability/204/
205,triage,triage,generation-vii,This Pokémon's healing moves have their priority increased by 3.,This Pokémon's healing moves have their priority increased by 3.,comfey,https://pokeapi.co/api/v2/ability/205/
206,galvanize,galvanize,generation-vii,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.",This Pokémon's Normal moves are Electric and have their power increased to 1.2×.,"geodude-alola, graveler-alola, golem-alola",https://pokeapi.co/api/v2/ability/206/
207,surge-surfer,surge_surfer,generation-vii,Doubles this Pokémon's Speed on Electric Terrain.,Doubles this Pokémon's Speed on Electric Terrain.,raichu-alola,https://pokeapi.co/api/v2/ability/207/
208,schooling,schooling,generation-vii,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.",Wishiwashi becomes Schooling Form when its HP is 25% or higher.,"wishiwashi-solo, wishiwashi-school",https://pokeapi.co/api/v2/ability/208/
209,disguise,disguise,generation-vii,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.",Prevents the first instance of battle damage.,"mimikyu-disguised, mimikyu-busted, mimikyu-totem-disguised, mimikyu-totem-busted",https://pokeapi.co/api/v2/ability/209/
210,battle-bond,battle_bond,generation-vii,"Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.",Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.,"greninja-battle-bond, greninja-ash",https://pokeapi.co/api/v2/ability/210/
211,power-construct,power_construct,generation-vii,"Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.",Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.,"zygarde-10-power-construct, zygarde-50-power-construct, zygarde-complete",https://pokeapi.co/api/v2/ability/211/
212,corrosion,corrosion,generation-vii,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,This Pokémon can inflict poison on Poison and Steel Pokémon.,"salandit, salazzle, glimmet, glimmora, salazzle-totem",https://pokeapi.co/api/v2/ability/212/
213,comatose,comatose,generation-vii,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,This Pokémon always  acts as though it were Asleep.,komala,https://pokeapi.co/api/v2/ability/213/
214,queenly-majesty,queenly_majesty,generation-vii,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,tsareena,https://pokeapi.co/api/v2/ability/214/
215,innards-out,innards_out,generation-vii,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.",pyukumuku,https://pokeapi.co/api/v2/ability/215/
216,dancer,dancer,generation-vii,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","oricorio-baile, oricorio-pom-pom, oricorio-pau, oricorio-sensu",https://pokeapi.co/api/v2/ability/216/
217,battery,battery,generation-vii,Ally Pokémon's moves have their power increased to 1.3×.,Ally Pokémon's moves have their power increased to 1.3×.,charjabug,https://pokeapi.co/api/v2/ability/217/
218,fluffy,fluffy,generation-vii,Damage from contact moves is halved.  Damage from Fire moves is doubled.,Damage from contact moves is halved.  Damage from Fire moves is doubled.,"stufful, bewear, wooloo, dubwool, greavard, houndstone",https://pokeapi.co/api/v2/ability/218/
219,dazzling,dazzling,generation-vii,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,bruxish,https://pokeapi.co/api/v2/ability/219/
220,soul-heart,soul_heart,generation-vii,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,"magearna, magearna-original",https://pokeapi.co/api/v2/ability/220/
