id,name,slug,generation,effect,short_effect,pokemon,sourceUrl
234,intrepid-sword,intrepid_sword,generation-viii,Boosts the Pokémon’s Attack stat the first time the Pokémon enters a battle.,Boosts Attack in battle.,"zacian, zacian-crowned",https://pokeapi.co/api/v2/ability/234/
235,dauntless-shield,dauntless_shield,generation-viii,Boosts the Pokémon’s Defense stat the first time the Pokémon enters a battle.,Boosts Defense in battle.,"zamazenta, zamazenta-crowned",https://pokeapi.co/api/v2/ability/235/
236,libero,libero,generation-viii,Changes the Pokémon’s type to the type of the move it’s about to use. This works only once each time the Pokémon enters battle.,Libero changes the Pokémon's type to that of its previously used attack.,"scorbunny, raboot, cinderace, cinderace-gmax",https://pokeapi.co/api/v2/ability/236/
237,ball-fetch,ball_fetch,generation-viii,"At any time after the first Poké Ball is thrown and fails to catch a Pokémon, at the end of a turn, if a Pokémon with Ball Fetch is on the field and not holding another item, it will pick up the same type of ball as the first one thrown.","If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",yamper,https://pokeapi.co/api/v2/ability/237/
238,cotton-down,cotton_down,generation-viii,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stats of all Pokémon except itself.",When Ignores moves and abilities that draw in moves.,"gossifleur, eldegoss",https://pokeapi.co/api/v2/ability/238/
239,propeller-tail,propeller_tail,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.,"arrokuda, barraskewda",https://pokeapi.co/api/v2/ability/239/
240,mirror-armor,mirror_armor,generation-viii,Bounces back only the stat-lowering effects that the Pokémon receives.,Reflects any stat-lowering effects.,"corviknight, corviknight-gmax",https://pokeapi.co/api/v2/ability/240/
241,gulp-missile,gulp_missile,generation-viii,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.","If a Cramorant with Gulp Missile uses Surf or Dive, it catches prey and changes its form depending on its remaining HP.","cramorant, cramorant-gulping, cramorant-gorging",https://pokeapi.co/api/v2/ability/241/
242,stalwart,stalwart,generation-viii,Ignores the effects of opposing Pokémon’s Abilities and moves that draw in moves.,Ignores moves and abilities that draw in moves.,"duraludon, archaludon, duraludon-gmax",https://pokeapi.co/api/v2/ability/242/
243,steam-engine,steam_engine,generation-viii,Raises the user's Speed by three stages when it is hit by a Fire- or Water-type attack. The attack still deals damage.,Boosts the Speed stat drastically when the Pokémon is hit by a Fire- or Water-type move.,"rolycoly, carkol, coalossal, coalossal-gmax",https://pokeapi.co/api/v2/ability/243/
