chain_id,stage_index,from_id,from_name,to_id,to_name,generation,trigger,min_level,item,location,gender,time_of_day,details_raw,sourceUrl
130,0,252,treecko,253,grovyle,generation-iii,level-up,16,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 16, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/130
130,1,253,grovyle,254,sceptile,generation-iii,level-up,36,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 36, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/130
131,0,255,torchic,256,combusken,generation-iii,level-up,16,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 16, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/131
131,1,256,combusken,257,blaziken,generation-iii,level-up,36,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 36, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/131
132,0,258,mudkip,259,marshtomp,generation-iii,level-up,16,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 16, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/132
132,1,259,marshtomp,260,swampert,generation-iii,level-up,36,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 36, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/132
133,0,261,poochyena,262,mightyena,generation-iii,level-up,18,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 18, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/133
134,0,263,zigzagoon,264,linoone,generation-iii,level-up,20,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 20, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/134
134,1,264,linoone,862,obstagoon,generation-iii,level-up,35,,,None,night,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 35, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': 'night', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/134
135,0,265,wurmple,266,silcoon,generation-iii,level-up,7,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 7, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/135
135,0,265,wurmple,268,cascoon,generation-iii,level-up,7,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 7, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/135
135,1,266,silcoon,267,beautifly,generation-iii,level-up,10,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 10, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/135
135,1,268,cascoon,269,dustox,generation-iii,level-up,10,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 10, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/135
136,0,270,lotad,271,lombre,generation-iii,level-up,14,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 14, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/136
136,1,271,lombre,272,ludicolo,generation-iii,use-item,None,water-stone,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': {'name': 'water-stone', 'url': 'https://pokeapi.co/api/v2/item/84/'}, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': None, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'use-item', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/3/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/136
137,0,273,seedot,274,nuzleaf,generation-iii,level-up,14,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 14, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/137
137,1,274,nuzleaf,275,shiftry,generation-iii,use-item,None,leaf-stone,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': {'name': 'leaf-stone', 'url': 'https://pokeapi.co/api/v2/item/85/'}, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': None, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'use-item', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/3/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/137
138,0,276,taillow,277,swellow,generation-iii,level-up,22,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 22, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/138
139,0,278,wingull,279,pelipper,generation-iii,level-up,25,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 25, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/139
140,0,280,ralts,281,kirlia,generation-iii,level-up,20,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 20, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/140
140,1,281,kirlia,282,gardevoir,generation-iii,level-up,30,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 30, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/140
140,1,281,kirlia,475,gallade,generation-iii,use-item,None,dawn-stone,,2,,"{'base_form_id': None, 'gender': 2, 'held_item': None, 'item': {'name': 'dawn-stone', 'url': 'https://pokeapi.co/api/v2/item/109/'}, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': None, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'use-item', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/3/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/140
141,0,283,surskit,284,masquerain,generation-iii,level-up,22,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 22, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/141
