chain_id,stage_index,from_id,from_name,to_id,to_name,generation,trigger,min_level,item,location,gender,time_of_day,details_raw,sourceUrl
374,0,722,rowlet,723,dartrix,generation-vii,level-up,17,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 17, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/374
374,1,723,dartrix,724,decidueye,generation-vii,level-up,34,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 34, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/374
375,0,725,litten,726,torracat,generation-vii,level-up,17,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 17, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/375
375,1,726,torracat,727,incineroar,generation-vii,level-up,34,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 34, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/375
376,0,728,popplio,729,brionne,generation-vii,level-up,17,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 17, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/376
376,1,729,brionne,730,primarina,generation-vii,level-up,34,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 34, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/376
377,0,731,pikipek,732,trumbeak,generation-vii,level-up,14,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 14, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/377
377,1,732,trumbeak,733,toucannon,generation-vii,level-up,28,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 28, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/377
378,0,734,yungoos,735,gumshoos,generation-vii,level-up,20,,,None,day,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 20, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': 'day', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/378
379,0,736,grubbin,737,charjabug,generation-vii,level-up,20,,,None,,"{'base_form_id': None, 'gender': None, 'held_item': None, 'item': None, 'known_move': None, 'known_move_type': None, 'location': None, 'min_affection': None, 'min_beauty': None, 'min_happiness': None, 'min_level': 20, 'needs_overworld_rain': False, 'party_species': None, 'party_type': None, 'region_id': None, 'relative_physical_stats': None, 'time_of_day': '', 'trade_species': None, 'trigger': {'name': 'level-up', 'url': 'https://pokeapi.co/api/v2/evolution-trigger/1/'}, 'turn_upside_down': False}",https://pokeapi.co/api/v2/evolution-chain/379
