id,name,slug,generation,cost,category,fling_power,effect,short_effect,sprite,sourceUrl
None,item_None,item_none,,,,,,,,https://pokeapi.co/api/v2/item/2207/
1,master-ball,master_ball,,0,standard-balls,None,"Used in battle
:   Catches a wild Pokémon without fail.

    If used in a trainer battle, nothing happens and the ball is lost.",Catches a wild Pokémon every time.,images/items/master_ball.png,https://pokeapi.co/api/v2/item/1/
2,ultra-ball,ultra_ball,,800,standard-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 2×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Success rate is 2×.,images/items/ultra_ball.png,https://pokeapi.co/api/v2/item/2/
3,great-ball,great_ball,,600,standard-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Success rate is 1.5×.,images/items/great_ball.png,https://pokeapi.co/api/v2/item/3/
4,poke-ball,poke_ball,,200,standard-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.,images/items/poke_ball.png,https://pokeapi.co/api/v2/item/4/
5,safari-ball,safari_ball,,0,standard-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon, using a catch rate of 1.5×.

This item can only be used in the great marsh or kanto safari zone.",Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.,images/items/safari_ball.png,https://pokeapi.co/api/v2/item/5/
6,net-ball,net_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon is water- or bug-type, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.,images/items/net_ball.png,https://pokeapi.co/api/v2/item/6/
7,dive-ball,dive_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon was encountered by surfing or fishing, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing.",images/items/dive_ball.png,https://pokeapi.co/api/v2/item/7/
8,nest-ball,nest_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon’s level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon’s level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.","Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.",images/items/nest_ball.png,https://pokeapi.co/api/v2/item/8/
9,repeat-ball,repeat_ball,,1000,special-balls,None,"Used in battle
:   Attempts to catch a wild Pokémon.  If the wild Pokémon’s species is marked as caught in the trainer’s Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost.",Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.,images/items/repeat_ball.png,https://pokeapi.co/api/v2/item/9/
