id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
1,pound,pound,normal,40,100,35,0,physical,selected-pokemon,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/1/
2,karate-chop,karate_chop,fighting,50,100,25,0,physical,selected-pokemon,generation-i,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,https://pokeapi.co/api/v2/move/2/
3,double-slap,double_slap,normal,15,85,10,0,physical,selected-pokemon,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,https://pokeapi.co/api/v2/move/3/
4,comet-punch,comet_punch,normal,18,85,15,0,physical,selected-pokemon,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,https://pokeapi.co/api/v2/move/4/
5,mega-punch,mega_punch,normal,80,85,20,0,physical,selected-pokemon,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/5/
6,pay-day,pay_day,normal,40,100,20,0,physical,selected-pokemon,generation-i,"Inflicts regular damage.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used.",Scatters money on the ground worth five times the user’s level.,https://pokeapi.co/api/v2/move/6/
7,fire-punch,fire_punch,fire,75,100,15,0,physical,selected-pokemon,generation-i,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,https://pokeapi.co/api/v2/move/7/
8,ice-punch,ice_punch,ice,75,100,15,0,physical,selected-pokemon,generation-i,Inflicts regular damage.  Has a 10% chance to freeze the target.,Has a 10% chance to freeze the target.,https://pokeapi.co/api/v2/move/8/
9,thunder-punch,thunder_punch,electric,75,100,15,0,physical,selected-pokemon,generation-i,Inflicts regular damage.  Has a 10% chance to paralyze the target.,Has a 10% chance to paralyze the target.,https://pokeapi.co/api/v2/move/9/
10,scratch,scratch,normal,40,100,35,0,physical,selected-pokemon,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/10/
11,vice-grip,vice_grip,normal,55,100,30,0,physical,selected-pokemon,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,https://pokeapi.co/api/v2/move/11/
