id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
166,sketch,sketch,normal,None,None,1,0,status,selected-pokemon,generation-ii,"Permanently replaces itself with the target’s last used move.  If that move is chatter or struggle, this move will fail.

This move cannot be copied by mimic or mirror move, nor selected by assist or metronome, nor forced by encore.",Permanently becomes the target’s last used move.,https://pokeapi.co/api/v2/move/166/
167,triple-kick,triple_kick,fighting,10,90,10,0,physical,selected-pokemon,generation-ii,"Inflicts regular damage.  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate accuracy check, and this move stops if a hit misses.

skill link does not apply.","Hits three times, increasing power by 100% with each successful hit.",https://pokeapi.co/api/v2/move/167/
168,thief,thief,dark,60,100,25,0,physical,selected-pokemon,generation-ii,"Inflicts regular damage.  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome.",Takes the target’s item.,https://pokeapi.co/api/v2/move/168/
169,spider-web,spider_web,bug,None,None,10,0,status,selected-pokemon,generation-ii,"The target cannot switch out normally.  Ignores accuracy and evasion modifiers.  This effect ends when the user leaves the field.

The target may still escape by using baton pass, u turn, or a shed shell.

Both the user and the target pass on this effect with baton pass.",Prevents the target from leaving battle.,https://pokeapi.co/api/v2/move/169/
170,mind-reader,mind_reader,normal,None,None,5,0,status,selected-pokemon,generation-ii,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores accuracy and evasion modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton pass.",Ensures that the user’s next move will hit the target.,https://pokeapi.co/api/v2/move/170/
171,nightmare,nightmare,ghost,None,100,15,0,status,selected-pokemon,generation-ii,"Only works on sleeping Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max HP every turn.  If the target wakes up or leaves the field, this effect ends.",Target loses 1/4 its max HP every turn as long as it’s asleep.,https://pokeapi.co/api/v2/move/171/
172,flame-wheel,flame_wheel,fire,60,100,25,0,physical,selected-pokemon,generation-ii,"Inflicts regular damage.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",Has a 10% chance to burn the target.  Lets frozen Pokémon thaw themselves.,https://pokeapi.co/api/v2/move/172/
173,snore,snore,normal,50,100,15,0,special,selected-pokemon,generation-ii,Only usable if the user is sleeping.  Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.  Only works if the user is sleeping.,https://pokeapi.co/api/v2/move/173/
174,curse,curse,ghost,None,None,10,0,status,specific-move,generation-ii,"If the user is a ghost: user pays half its max HP to place a curse on the target, damaging it for 1/4 its max HP every turn.
Otherwise: Lowers the user’s Speed by one stage, and raises its Attack and Defense by one stage each.

The curse effect is passed on by baton pass.

This move cannot be copied by mirror move.",Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,https://pokeapi.co/api/v2/move/174/
175,flail,flail,normal,None,100,15,0,physical,selected-pokemon,generation-ii,"Inflicts regular damage.  Power varies inversely with the user’s proportional remaining HP.

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
","Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.",https://pokeapi.co/api/v2/move/175/
176,conversion-2,conversion_2,normal,None,None,30,0,status,selected-pokemon,generation-ii,"Changes the user’s type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will fail.",Changes the user’s type to a random type either resistant or immune to the last move used against it.,https://pokeapi.co/api/v2/move/176/
177,aeroblast,aeroblast,flying,100,95,5,0,special,selected-pokemon,generation-ii,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,https://pokeapi.co/api/v2/move/177/
