id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
252,fake-out,fake_out,normal,40,100,10,3,physical,selected-pokemon,generation-iii,Inflicts regular damage.  Causes the target to flinch.  Can only be used on the user’s first turn after entering the field.,Can only be used as the first move after the user enters battle.  Causes the target to flinch.,https://pokeapi.co/api/v2/move/252/
253,uproar,uproar,normal,90,100,10,0,special,random-opponent,generation-iii,"Inflicts regular damage.  User is forced to use this move for 2–5 turns, selected at random.  All Pokémon on the field wake up, and none can fall to sleep until the lock-in ends.

Pokémon cannot use rest during this effect.

This move cannot be selected by sleep talk.",Forced to use this move for several turns.  Pokémon cannot fall asleep in that time.,https://pokeapi.co/api/v2/move/253/
254,stockpile,stockpile,normal,None,None,20,0,status,user,generation-iii,"Raises the user’s Defense and Special Defense by one stage each.  Stores energy for use with spit up and swallow.  Up to three levels of energy can be stored, and all are lost if the user leaves the field.  Energy is still stored even if the stat boosts cannot be applied.

If the user uses baton pass, the stat boosts are passed as normal, but the stored energy is not.",Stores energy up to three times for use with Spit Up and Swallow.,https://pokeapi.co/api/v2/move/254/
255,spit-up,spit_up,normal,None,100,10,0,special,selected-pokemon,generation-iii,"Inflicts regular damage.  Power is equal to 100 times the amount of energy stored by stockpile.  Ignores the random factor in the damage formula.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.

This move cannot be copied by mirror move.",Power is 100 times the amount of energy Stockpiled.,https://pokeapi.co/api/v2/move/255/
256,swallow,swallow,normal,None,None,10,0,status,user,generation-iii,"Heals the user depending on the amount of energy stored by stockpile: 1/4 its max HP after one use, 1/2 its max HP after two uses, or fully after three uses.  Stored energy is consumed, and the user’s Defense and Special Defense are reset to what they would be if stockpile had not been used.  If the user has no energy stored, this move will fail.","Recovers 1/4 HP after one Stockpile, 1/2 HP after two Stockpiles, or full HP after three Stockpiles.",https://pokeapi.co/api/v2/move/256/
257,heat-wave,heat_wave,fire,95,90,10,0,special,all-opponents,generation-iii,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,https://pokeapi.co/api/v2/move/257/
258,hail,hail,ice,None,None,10,0,status,entire-field,generation-iii,"Changes the weather to hail for five turns, during which non-ice Pokémon are damaged for 1/16 their max HP at the end of every turn.

If the user is holding icy rock, this effect lasts for eight turns.

blizzard has 100% accuracy.  If the target has used detect or protect, blizzard has a (100 - accuracy)% chance to break through the protection.

moonlight, morning sun, and synthesis heal only 1/4 of the user’s max HP.

Pokémon with snow cloak are exempt from this effect’s damage.",Changes the weather to a hailstorm for five turns.,https://pokeapi.co/api/v2/move/258/
259,torment,torment,dark,None,100,15,0,status,selected-pokemon,generation-iii,"Prevents the target from attempting to use the same move twice in a row.  When the target leaves the field, this effect ends.

If the target is forced to attempt a repeated move due to choice band, choice scarf, choice specs, disable, encore, taunt, only having PP remaining for one move, or any other effect, the target will use struggle instead.  The target is then free to use the forced move next turn, as it didn’t use that move this turn.",Prevents the target from using the same move twice in a row.,https://pokeapi.co/api/v2/move/259/
260,flatter,flatter,dark,None,100,15,0,status,selected-pokemon,generation-iii,"Raises the target’s Special Attack by one stage, then confuses it.",Raises the target’s Special Attack by one stage and confuses the target.,https://pokeapi.co/api/v2/move/260/
261,will-o-wisp,will_o_wisp,fire,None,85,15,0,status,selected-pokemon,generation-iii,Burns the target.,Burns the target.,https://pokeapi.co/api/v2/move/261/
262,memento,memento,dark,None,100,10,0,status,selected-pokemon,generation-iii,Lowers the target’s Attack and Special Attack by two stages.  User faints.,Lowers the target’s Attack and Special Attack by two stages.  User faints.,https://pokeapi.co/api/v2/move/262/
263,facade,facade,normal,70,100,20,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  If the user is burned, paralyzed, or poisoned, this move has double power.","Power doubles if user is burned, paralyzed, or poisoned.",https://pokeapi.co/api/v2/move/263/
264,focus-punch,focus_punch,fighting,150,100,20,-3,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  If the user takes damage this turn before hitting, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.","If the user takes damage before attacking, the attack is canceled.",https://pokeapi.co/api/v2/move/264/
265,smelling-salts,smelling_salts,normal,70,100,10,0,physical,selected-pokemon,generation-iii,"Inflicts regular damage.  If the target is paralyzed, this move has double power, and the target is cured of its paralysis.","If the target is paralyzed, inflicts double damage and cures the paralysis.",https://pokeapi.co/api/v2/move/265/
266,follow-me,follow_me,normal,None,None,20,2,status,user,generation-iii,"Until the end of this turn, any moves that opposing Pokémon target solely at the user’s ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user’s ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.",Redirects the target’s single-target effects to the user for this turn.,https://pokeapi.co/api/v2/move/266/
267,nature-power,nature_power,normal,None,None,20,0,status,selected-pokemon,generation-iii,"Uses another move chosen according to the terrain.

Terrain                   | Selected move
------------------------- | ------------------
Building                  | tri attack
Cave                      | rock slide
Deep water                | hydro pump
Desert                    | earthquake
Grass                     | seed bomb
Mountain                  | rock slide
Road                      | earthquake
Shallow water             | hydro pump
Snow                      | blizzard
Tall grass                | seed bomb
electric terrain | thunderbolt
grassy terrain   | energy ball
misty terrain    | moonblast

In Pokémon Battle Revolution:

Terrain        | Selected move
-------------- | ------------------
Courtyard      | tri attack
Crystal        | rock slide
Gateway        | hydro pump
Magma          | rock slide
Main Street    | tri attack
Neon           | tri attack
Stargazer      | rock slide
Sunny Park     | seed bomb
Sunset         | earthquake
Waterfall      | seed bomb

This move cannot be copied by mirror move.",Uses a move which depends upon the terrain.,https://pokeapi.co/api/v2/move/267/
268,charge,charge,electric,None,None,20,0,status,user,generation-iii,"Raises the user’s Special Defense by one stage.  If the user uses an electric move next turn, its power will be doubled.",Raises the user’s Special Defense by one stage.  User’s Electric moves have doubled power next turn.,https://pokeapi.co/api/v2/move/268/
269,taunt,taunt,dark,None,100,20,0,status,selected-pokemon,generation-iii,"Target is forced to only use damaging moves for the next 3–5 turns, selected at random.  Moves that select other moves not known in advance do not count as damaging.

assist, copycat, me first, metronome, mirror move, and sleep talk do not directly inflict damage and thus may not be used.

bide, counter, endeavor, metal burst, and mirror coat are allowed.","For the next few turns, the target can only use damaging moves.",https://pokeapi.co/api/v2/move/269/
270,helping-hand,helping_hand,normal,None,None,20,5,status,ally,generation-iii,"Boosts the power of the target’s moves by 50% until the end of this turn.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Ally’s next move inflicts half more damage.,https://pokeapi.co/api/v2/move/270/
271,trick,trick,psychic,None,100,10,0,status,selected-pokemon,generation-iii,"User and target permanently swap held items.  Works even if one of the Pokémon isn’t holding anything.  If either Pokémon is holding mail, this move will fail.

If either Pokémon has multitype or sticky hold, this move will fail.

If this move results in a Pokémon obtaining choice band, choice scarf, or choice specs, and that Pokémon was the latter of the pair to move this turn, then the move it used this turn becomes its chosen forced move.  This applies even if both Pokémon had a choice item before this move was used.  If the first of the two Pokémon gains a choice item, it may select whatever choice move it wishes next turn.

Neither the user nor the target can recover its item with recycle.

This move cannot be selected by assist or metronome.",User and target swap items.,https://pokeapi.co/api/v2/move/271/
272,role-play,role_play,psychic,None,None,10,0,status,selected-pokemon,generation-iii,"User’s ability is replaced with the target’s until the user leaves the field.  Ignores accuracy and evasion modifiers.

If the target has flower gift, forecast, illusion, imposter, multitype, stance change, trace, wonder guard, or zen mode, this move will fail.

This move cannot be copied by mirror move.",Copies the target’s ability.,https://pokeapi.co/api/v2/move/272/
