id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
355,roost,roost,flying,None,None,5,0,status,user,generation-iv,"Heals the user for half its max HP.  If the user is flying, its flying type is ignored until the end of this turn.",Heals the user by half its max HP.,https://pokeapi.co/api/v2/move/355/
356,gravity,gravity,psychic,None,None,5,0,status,entire-field,generation-iv,"For five turns (including this one), all immunities to ground moves are disabled.  For the duration of this effect, the evasion of every Pokémon on the field is lowered by two stages.  Cancels the effects of bounce, fly, and sky drop.

Specifically, flying Pokémon and those with levitate or that have used magnet rise are no longer immune to ground attacks, arena trap, spikes, or toxic spikes.

bounce, fly, sky drop, high jump kick, jump kick, and splash cannot be used while this move is in effect.

*Bug*: If this move is used during a double or triple battle while Pokémon are under the effect of sky drop, Sky Drop’s effect is not correctly canceled on its target, and it remains high in the air indefinitely.  As Sky Drop prevents the target from acting, the only way to subsequently remove it from the field is to faint it.",Disables moves and immunities that involve flying or levitating for five turns.,https://pokeapi.co/api/v2/move/356/
357,miracle-eye,miracle_eye,psychic,None,None,40,0,status,selected-pokemon,generation-iv,Resets the target’s evasion to normal and prevents any further boosting until the target leaves the field.  A dark Pokémon under this effect takes normal damage from psychic moves.  This move itself ignores accuracy and evasion modifiers.,"Forces the target to have no evasion, and allows it to be hit by Psychic moves even if it’s Dark.",https://pokeapi.co/api/v2/move/357/
358,wake-up-slap,wake_up_slap,fighting,70,100,10,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target is sleeping, this move has double power, and the target wakes up.","If the target is asleep, has double power and wakes it up.",https://pokeapi.co/api/v2/move/358/
359,hammer-arm,hammer_arm,fighting,100,90,10,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage, then lowers the user’s Speed by one stage.",Lowers user’s Speed by one stage.,https://pokeapi.co/api/v2/move/359/
360,gyro-ball,gyro_ball,steel,None,100,5,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  Power increases with the target’s current Speed compared to the user, given by `1 + 25 * target Speed / user Speed`, capped at 150.","Power raises when the user has lower Speed, up to a maximum of 150.",https://pokeapi.co/api/v2/move/360/
361,healing-wish,healing_wish,psychic,None,None,10,0,status,user,generation-iv,"User faints.  Its replacement’s HP is fully restored, and any major status effect is removed.  If the replacement Pokémon is immediately fainted by a switch-in effect, the next replacement is healed by this move instead.",User faints.  Its replacement has its HP fully restored and any major status effect removed.,https://pokeapi.co/api/v2/move/361/
362,brine,brine,water,65,100,10,0,special,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target has less than half its max HP remaining, this move has double power.",Has double power against Pokémon that have less than half their max HP remaining.,https://pokeapi.co/api/v2/move/362/
363,natural-gift,natural_gift,normal,None,100,15,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  Power and type are determined by the user’s held berry.  The berry is consumed.  If the user is not holding a berry, this move will fail.",Power and type depend on the held berry.,https://pokeapi.co/api/v2/move/363/
364,feint,feint,normal,30,100,10,2,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  Removes the effects of detect or protect from the target before hitting.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Hits through Protect and Detect.,https://pokeapi.co/api/v2/move/364/
365,pluck,pluck,flying,60,100,20,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target is holding a berry, this move has double power, and the user takes the berry and uses it immediately.

If the target is holding a jaboca berry or rowap berry, the berry is still removed, but has no effect.

If this move is super effective and the target is holding a berry that can reduce this move’s damage, it will do so, and will not be stolen.","If target has a berry, inflicts double damage and uses the berry.",https://pokeapi.co/api/v2/move/365/
366,tailwind,tailwind,flying,None,None,15,0,status,users-field,generation-iv,"For the next three turns, all Pokémon on the user’s side of the field have their original Speed doubled.  This effect remains if the user leaves the field.","For three turns, friendly Pokémon have doubled Speed.",https://pokeapi.co/api/v2/move/366/
367,acupressure,acupressure,normal,None,None,30,0,status,user-or-ally,generation-iv,"Raises one of the target’s stats by two stages.  The raised stat is chosen at random from any stats that can be raised by two stages.  If no stat is eligible, this move will fail.

If the target has a substitute, this move will have no effect, even if the user is the target.

This move cannot be copied by mirror move.",Raises one of a friendly Pokémon’s stats at random by two stages.,https://pokeapi.co/api/v2/move/367/
368,metal-burst,metal_burst,steel,None,100,10,0,physical,specific-move,generation-iv,"Targets the last opposing Pokémon to hit the user with a damaging move this turn.  Inflicts 1.5× the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.",Strikes back at the last Pokémon to hit the user this turn with 1.5× the damage.,https://pokeapi.co/api/v2/move/368/
369,u-turn,u_turn,bug,70,100,20,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage, then the user immediately switches out, and the trainer selects a replacement Pokémon from the party.  If the target faints from this attack, the user’s trainer selects the new Pokémon to send out first.  If the user is the last Pokémon in its party that can battle, it will not switch out.

The user may be hit by pursuit when it switches out, if it has been targeted and pursuit has not yet been used.

This move may be used even if the user is under the effect of ingrain.  ingrain’s effect will end.",User must switch out after attacking.,https://pokeapi.co/api/v2/move/369/
370,close-combat,close_combat,fighting,120,100,5,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage, then lowers the user’s Defense and Special Defense by one stage each.",Lowers the user’s Defense and Special Defense by one stage after inflicting damage.,https://pokeapi.co/api/v2/move/370/
371,payback,payback,dark,50,100,10,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target uses a move or switches out this turn before this move is used, this move has double power.",Power is doubled if the target has already moved this turn.,https://pokeapi.co/api/v2/move/371/
372,assurance,assurance,dark,60,100,10,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target takes damage this turn for any reason before this move is used, this move has double power.",Power is doubled if the target has already received damage this turn.,https://pokeapi.co/api/v2/move/372/
373,embargo,embargo,dark,None,100,15,0,status,selected-pokemon,generation-iv,"Target cannot use its held item for five turns.  If the target leaves the field, this effect ends.

If a Pokémon under this effect uses bug bite or pluck on a Pokémon holding a berry, the berry is destroyed but not used.  If a Pokémon under this effect uses fling, it will fail.

This effect is passed by baton pass.",Target cannot use held items.,https://pokeapi.co/api/v2/move/373/
374,fling,fling,dark,None,100,10,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  Power and type are determined by the user’s held item.  The item is consumed.  If the user is not holding an item, or its item has no set type and power, this move will fail.

This move ignores sticky hold.

If the user is under the effect of embargo, this move will fail.",Throws held item at the target; power depends on the item.,https://pokeapi.co/api/v2/move/374/
375,psycho-shift,psycho_shift,psychic,None,100,10,0,status,selected-pokemon,generation-iv,"If the user has a major status effect and the target does not, the user’s status is transferred to the target.",Transfers the user’s major status effect to the target.,https://pokeapi.co/api/v2/move/375/
376,trump-card,trump_card,normal,None,None,5,0,special,selected-pokemon,generation-iv,"Inflicts regular damage.  Power is determined by the PP remaining for this move, after its PP cost is deducted.  Ignores accuracy and evasion modifiers.

PP remaining | Power
------------ | ----:
4 or more    |    40
3            |    50
2            |    60
1            |    80
0            |   200

If this move is activated by another move, the activating move’s PP is used to calculate power.","Power increases when this move has less PP, up to a maximum of 200.",https://pokeapi.co/api/v2/move/376/
377,heal-block,heal_block,psychic,None,100,15,0,status,all-opponents,generation-iv,"For the next five turns, the target may not use any moves that only restore HP, and move effects that heal the target are disabled.  Moves that steal HP may still be used, but will only inflict damage and not heal the target.",Prevents target from restoring its HP for five turns.,https://pokeapi.co/api/v2/move/377/
378,wring-out,wring_out,normal,None,100,5,0,special,selected-pokemon,generation-iv,"Inflicts regular damage.  Power directly relates to the target’s relative remaining HP, given by `1 + 120 * current HP / max HP`, to a maximum of 121.","Power increases against targets with more HP remaining, up to a maximum of 121 power.",https://pokeapi.co/api/v2/move/378/
379,power-trick,power_trick,psychic,None,None,10,0,status,user,generation-iv,"The user’s original Attack and Defense are swapped.

This effect is passed on by baton pass.",User swaps Attack and Defense.,https://pokeapi.co/api/v2/move/379/
380,gastro-acid,gastro_acid,poison,None,100,10,0,status,selected-pokemon,generation-iv,"The target’s ability is disabled as long as it remains on the field.

This effect is passed on by baton pass.",Nullifies target’s ability until it leaves battle.,https://pokeapi.co/api/v2/move/380/
381,lucky-chant,lucky_chant,normal,None,None,30,0,status,users-field,generation-iv,"For five turns, opposing Pokémon cannot score critical hits.",Prevents the target from scoring critical hits for five turns.,https://pokeapi.co/api/v2/move/381/
382,me-first,me_first,normal,None,None,20,0,status,selected-pokemon-me-first,generation-iv,"If the target has selected a damaging move this turn, the user will copy that move and use it against the target, with a 50% increase in power.

If the target moves before the user, this move will fail.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.","Uses the target’s move against it before it attacks, with power increased by half.",https://pokeapi.co/api/v2/move/382/
383,copycat,copycat,normal,None,None,20,0,status,user,generation-iv,"Uses the last move that was used successfully by any Pokémon, including the user.

This move cannot copy itself, nor roar nor whirlwind.

This move cannot be copied by mirror move, nor selected by assist, metronome, or sleep talk.",Uses the target’s last used move.,https://pokeapi.co/api/v2/move/383/
384,power-swap,power_swap,psychic,None,None,10,0,status,selected-pokemon,generation-iv,User swaps its Attack and Special Attack stat modifiers modifiers with the target.,User swaps Attack and Special Attack changes with the target.,https://pokeapi.co/api/v2/move/384/
385,guard-swap,guard_swap,psychic,None,None,10,0,status,selected-pokemon,generation-iv,User swaps its Defense and Special Defense modifiers with the target.,User swaps Defense and Special Defense changes with the target.,https://pokeapi.co/api/v2/move/385/
386,punishment,punishment,dark,None,100,5,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  Power starts at 60 and is increased by 20 for every stage any of the target’s stats has been raised, capping at 200.  Accuracy and evasion modifiers do not increase this move’s power.","Power increases against targets with more raised stats, up to a maximum of 200.",https://pokeapi.co/api/v2/move/386/
387,last-resort,last_resort,normal,140,100,5,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  This move can only be used if each of the user’s other moves has been used at least once since the user entered the field.  If this is the user’s only move, this move will fail.",Can only be used after all of the user’s other moves have been used.,https://pokeapi.co/api/v2/move/387/
388,worry-seed,worry_seed,grass,None,100,10,0,status,selected-pokemon,generation-iv,"Changes the target’s ability to insomnia.

If the target’s ability is truant or multitype, this move will fail.",Changes the target’s ability to Insomnia.,https://pokeapi.co/api/v2/move/388/
389,sucker-punch,sucker_punch,dark,70,100,5,1,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  If the target has not selected a damaging move this turn, or if the target has already acted this turn, this move will fail.

This move is not affected by iron fist.",Only works if the target is about to use a damaging move.,https://pokeapi.co/api/v2/move/389/
390,toxic-spikes,toxic_spikes,poison,None,None,20,0,status,opponents-field,generation-iv,"Scatters poisoned spikes around the opposing field, which poison opposing Pokémon that enter the field.  A second layer of these spikes may be laid down, in which case Pokémon will be badly poisoned instead.  Pokémon immune to either ground moves or being poisoned are immune to this effect.  Pokémon otherwise immune to ground moves are affected during gravity.

If a poison Pokémon not immune to ground moves enters a field covered with poisoned spikes, the spikes are removed.

rapid spin will remove this effect from its user’s side of the field.  defog will remove this effect from its target’s side of the field.

This move does not trigger synchronize, unless the Pokémon with synchronize was forced to enter the field by another effect such as roar.

Pokémon entering the field due to baton pass are not affected by this effect.","Scatters poisoned spikes, poisoning opposing Pokémon that switch in.",https://pokeapi.co/api/v2/move/390/
391,heart-swap,heart_swap,psychic,None,None,10,0,status,selected-pokemon,generation-iv,User swaps its stat modifiers with the target.,User and target swap stat changes.,https://pokeapi.co/api/v2/move/391/
392,aqua-ring,aqua_ring,water,None,None,20,0,status,user,generation-iv,"Restores 1/16 of the user’s max HP at the end of each turn.  If the user leaves the field, this effect ends.

This effect is passed on by baton pass.",Restores 1/16 of the user’s max HP each turn.,https://pokeapi.co/api/v2/move/392/
393,magnet-rise,magnet_rise,electric,None,None,10,0,status,user,generation-iv,"For five turns, the user is immune to ground moves.

If the user is under the effect of ingrain or has levitate, this move will fail.

This effect is temporarily disabled by and cannot be used during gravity.

This effect is passed on by baton pass.",User is immune to Ground moves and effects for five turns.,https://pokeapi.co/api/v2/move/393/
394,flare-blitz,flare_blitz,fire,120,100,15,0,physical,selected-pokemon,generation-iv,"Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.  Has a 10% chance to burn the target.  Frozen Pokémon may use this move, in which case they will thaw.",User takes 1/3 the damage inflicted in recoil.  Has a 10% chance to burn the target.,https://pokeapi.co/api/v2/move/394/
