id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
851,tera-blast,tera_blast,normal,80,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/851/
852,silk-trap,silk_trap,bug,0,None,10,4,status,user,generation-ix,,,https://pokeapi.co/api/v2/move/852/
853,axe-kick,axe_kick,fighting,120,90,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/853/
854,last-respects,last_respects,ghost,50,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/854/
855,lumina-crash,lumina_crash,psychic,80,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/855/
856,order-up,order_up,dragon,80,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/856/
857,jet-punch,jet_punch,water,60,100,15,1,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/857/
858,spicy-extract,spicy_extract,grass,0,None,15,0,status,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/858/
859,spin-out,spin_out,steel,100,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/859/
860,population-bomb,population_bomb,normal,20,90,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/860/
861,ice-spinner,ice_spinner,ice,80,100,15,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/861/
862,glaive-rush,glaive_rush,dragon,120,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/862/
863,revival-blessing,revival_blessing,normal,0,None,1,0,status,fainting-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/863/
864,salt-cure,salt_cure,rock,40,100,15,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/864/
865,triple-dive,triple_dive,water,30,95,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/865/
866,mortal-spin,mortal_spin,poison,30,100,15,0,physical,all-opponents,generation-ix,,,https://pokeapi.co/api/v2/move/866/
867,doodle,doodle,normal,0,100,10,0,status,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/867/
868,fillet-away,fillet_away,normal,0,None,10,0,status,user,generation-ix,,,https://pokeapi.co/api/v2/move/868/
869,kowtow-cleave,kowtow_cleave,dark,85,None,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/869/
870,flower-trick,flower_trick,grass,70,None,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/870/
871,torch-song,torch_song,fire,80,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/871/
872,aqua-step,aqua_step,water,80,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/872/
873,raging-bull,raging_bull,normal,90,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/873/
874,make-it-rain,make_it_rain,steel,120,100,5,0,special,all-opponents,generation-ix,,,https://pokeapi.co/api/v2/move/874/
875,psyblade,psyblade,psychic,80,100,15,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/875/
876,hydro-steam,hydro_steam,water,80,100,15,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/876/
877,ruination,ruination,dark,1,90,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/877/
878,collision-course,collision_course,fighting,100,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/878/
879,electro-drift,electro_drift,electric,100,100,5,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/879/
880,shed-tail,shed_tail,normal,0,None,10,0,status,user,generation-ix,,,https://pokeapi.co/api/v2/move/880/
881,chilly-reception,chilly_reception,ice,0,None,10,0,status,entire-field,generation-ix,,,https://pokeapi.co/api/v2/move/881/
882,tidy-up,tidy_up,normal,0,None,10,0,status,user,generation-ix,,,https://pokeapi.co/api/v2/move/882/
883,snowscape,snowscape,ice,0,None,10,0,status,entire-field,generation-ix,,,https://pokeapi.co/api/v2/move/883/
884,pounce,pounce,bug,50,100,20,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/884/
885,trailblaze,trailblaze,grass,50,100,20,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/885/
886,chilling-water,chilling_water,water,50,100,20,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/886/
887,hyper-drill,hyper_drill,normal,100,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/887/
888,twin-beam,twin_beam,psychic,40,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/888/
889,rage-fist,rage_fist,ghost,50,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/889/
890,armor-cannon,armor_cannon,fire,120,100,5,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/890/
891,bitter-blade,bitter_blade,fire,90,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/891/
892,double-shock,double_shock,electric,120,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/892/
893,gigaton-hammer,gigaton_hammer,steel,160,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/893/
894,comeuppance,comeuppance,dark,1,100,10,0,physical,specific-move,generation-ix,,,https://pokeapi.co/api/v2/move/894/
895,aqua-cutter,aqua_cutter,water,70,100,20,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/895/
896,blazing-torque,blazing_torque,fire,80,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/896/
897,wicked-torque,wicked_torque,dark,80,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/897/
898,noxious-torque,noxious_torque,poison,100,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/898/
899,combat-torque,combat_torque,fighting,100,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/899/
900,magical-torque,magical_torque,fairy,100,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/900/
901,blood-moon,blood_moon,normal,140,100,5,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/901/
902,matcha-gotcha,matcha_gotcha,grass,80,90,15,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/902/
903,syrup-bomb,syrup_bomb,grass,60,85,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/903/
904,ivy-cudgel,ivy_cudgel,grass,100,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/904/
905,electro-shot,electro_shot,electric,130,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/905/
906,tera-starstorm,tera_starstorm,normal,120,100,5,0,special,all-opponents,generation-ix,,,https://pokeapi.co/api/v2/move/906/
907,fickle-beam,fickle_beam,dragon,80,100,5,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/907/
908,burning-bulwark,burning_bulwark,fire,0,0,10,4,status,user,generation-ix,,,https://pokeapi.co/api/v2/move/908/
909,thunderclap,thunderclap,electric,70,100,5,1,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/909/
910,mighty-cleave,mighty_cleave,rock,95,100,5,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/910/
911,tachyon-cutter,tachyon_cutter,steel,50,0,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/911/
912,hard-press,hard_press,steel,0,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/912/
913,dragon-cheer,dragon_cheer,dragon,0,0,15,0,status,all-allies,generation-ix,,,https://pokeapi.co/api/v2/move/913/
914,alluring-voice,alluring_voice,fairy,80,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/914/
915,temper-flare,temper_flare,fire,75,100,10,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/915/
916,supercell-slam,supercell_slam,electric,100,95,15,0,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/916/
917,psychic-noise,psychic_noise,psychic,75,100,10,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/917/
918,upper-hand,upper_hand,fighting,65,100,15,3,physical,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/918/
919,malignant-chain,malignant_chain,poison,100,100,5,0,special,selected-pokemon,generation-ix,,,https://pokeapi.co/api/v2/move/919/
