id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
468,hone-claws,hone_claws,dark,None,None,15,0,status,user,generation-v,Raises the user’s Attack and accuracy by one stage.,Raises the user’s Attack and accuracy by one stage.,https://pokeapi.co/api/v2/move/468/
469,wide-guard,wide_guard,rock,None,None,10,3,status,users-field,generation-v,"Moves with multiple targets will not hit friendly Pokémon for the remainder of this turn.  If the user is last to act this turn, this move will fail.

This move cannot be selected by assist or metronome.",Prevents any multi-target moves from hitting friendly Pokémon this turn.,https://pokeapi.co/api/v2/move/469/
470,guard-split,guard_split,psychic,None,None,10,0,status,selected-pokemon,generation-v,Averages the user’s unmodified Defense with the target’s unmodified Defense; the value becomes the unmodified Defense for both Pokémon. Unmodified Special Defense is averaged the same way.,Averages Defense and Special Defense with the target.,https://pokeapi.co/api/v2/move/470/
471,power-split,power_split,psychic,None,None,10,0,status,selected-pokemon,generation-v,"Averages the user’s unmodified Attack with the target’s unmodified Attack; the value becomes the unmodified Attack for both Pokémon. Unmodified Special Attack is averaged the same way.

This effect applies before any other persistent changes to unmodified Attack or Special Attack, such as flower gift during sunny day.",Averages Attack and Special Attack with the target.,https://pokeapi.co/api/v2/move/471/
472,wonder-room,wonder_room,psychic,None,None,10,0,status,entire-field,generation-v,"For five turns (including this one), every Pokémon’s Defense and Special Defense are swapped.",All Pokémon’s Defense and Special Defense are swapped for 5 turns.,https://pokeapi.co/api/v2/move/472/
473,psyshock,psyshock,psychic,80,100,10,0,special,selected-pokemon,generation-v,"Inflicts regular damage.  Damage calculation always uses the target’s Defense, regardless of this move’s damage class.","Inflicts damage based on the target’s Defense, not Special Defense.",https://pokeapi.co/api/v2/move/473/
474,venoshock,venoshock,poison,65,100,10,0,special,selected-pokemon,generation-v,"Inflicts regular damage.  If the target is poisoned, this move has double power.",Inflicts double damage if the target is Poisoned.,https://pokeapi.co/api/v2/move/474/
475,autotomize,autotomize,steel,None,None,15,0,status,user,generation-v,Raises the user’s Speed by two stages.  Halves the user’s weight; this effect does not stack.,Raises the user’s Speed by two stages and halves the user’s weight.,https://pokeapi.co/api/v2/move/475/
476,rage-powder,rage_powder,bug,None,None,20,2,status,user,generation-v,"Until the end of this turn, any moves that opposing Pokémon target solely at the user’s ally will instead target the user.  If both Pokémon on the same side of the field use this move on the same turn, the Pokémon that uses it last will become the target.

This effect takes priority over lightning rod and storm drain.

If the user’s ally switches out, opposing Pokémon may still hit it with pursuit.

This move cannot be selected by assist or metronome.",Redirects the target’s single-target effects to the user for this turn.,https://pokeapi.co/api/v2/move/476/
477,telekinesis,telekinesis,psychic,None,None,15,0,status,selected-pokemon,generation-v,"For three turns (including this one), moves used against the target have 100% accuracy, but the target is immune to ground damage.  Accuracy of one-hit KO moves is exempt from this effect.

This effect is removed by gravity.  If Gravity is already in effect, this move will fail.",Moves have 100% accuracy against the target for three turns.,https://pokeapi.co/api/v2/move/477/
478,magic-room,magic_room,psychic,None,None,10,0,status,entire-field,generation-v,"For five turns (including this one), passive effects of held items are ignored, and Pokémon will not use their held items.",Negates held items for five turns.,https://pokeapi.co/api/v2/move/478/
479,smack-down,smack_down,rock,50,100,15,0,physical,selected-pokemon,generation-v,"Inflicts regular damage.  Removes the target’s immunity to ground-type damage.  This effect removes any existing Ground immunity due to levitate, magnet rise, or telekinesis, and causes the target’s flying type to be ignored when it takes Ground damage.

If the target isn’t immune to Ground damage, this move will fail.

This move can hit Pokémon under the effect of bounce, fly, or sky drop, and ends the effect of Bounce or Fly.",Removes any immunity to Ground damage.,https://pokeapi.co/api/v2/move/479/
480,storm-throw,storm_throw,fighting,60,100,10,0,physical,selected-pokemon,generation-v,Inflicts regular damage.  Always scores a critical hit.,Always scores a critical hit.,https://pokeapi.co/api/v2/move/480/
481,flame-burst,flame_burst,fire,70,100,15,0,special,selected-pokemon,generation-v,"Inflicts regular damage.  If this move successfully hits the target, any Pokémon adjacent to the target are damaged for 1/16 their max HP.",Deals splash damage to Pokémon next to the target.,https://pokeapi.co/api/v2/move/481/
482,sludge-wave,sludge_wave,poison,95,100,10,0,special,all-other-pokemon,generation-v,Inflicts regular damage.  Has a 10% chance to poison the target.,Has a 10% chance to poison the target.,https://pokeapi.co/api/v2/move/482/
483,quiver-dance,quiver_dance,bug,None,None,20,0,status,user,generation-v,"Raises the user’s Special Attack, Special Defense, and Speed by one stage each.","Raises the user’s Special Attack, Special Defense, and Speed by one stage each.",https://pokeapi.co/api/v2/move/483/
484,heavy-slam,heavy_slam,steel,None,100,10,0,physical,selected-pokemon,generation-v,"Inflicts regular damage.  The greater the user’s weight compared to the target’s, the higher power this move has, to a maximum of 120.

User’s weight                    | Power
-------------------------------- | ----:
Up to 2× the target’s weight     |    40
Up to 3× the target’s weight     |    60
Up to 4× the target’s weight     |    80
Up to 5× the target’s weight     |   100
More than 5× the target’s weight |   120
","Power is higher when the user weighs more than the target, up to a maximum of 120.",https://pokeapi.co/api/v2/move/484/
485,synchronoise,synchronoise,psychic,120,100,10,0,special,all-other-pokemon,generation-v,Inflicts regular damage.  Only Pokémon that share a type with the user will take damage from this move.,Hits any Pokémon that shares a type with the user.,https://pokeapi.co/api/v2/move/485/
486,electro-ball,electro_ball,electric,None,100,10,0,special,selected-pokemon,generation-v,"Inflicts regular damage.  The greater the user’s Speed compared to the target’s, the higher power this move has, to a maximum of 150.

User’s Speed                     | Power
-------------------------------- | ----:
Up to 2× the target’s Speed      |    60
Up to 3× the target’s Speed      |    80
Up to 4× the target’s Speed      |   120
More than 4× the target’s Speed  |   150
","Power is higher when the user has greater Speed than the target, up to a maximum of 150.",https://pokeapi.co/api/v2/move/486/
487,soak,soak,water,None,100,20,0,status,selected-pokemon,generation-v,"Changes the target to pure water-type until it leaves the field.  If the target has multitype, this move will fail.",Changes the target’s type to Water.,https://pokeapi.co/api/v2/move/487/
488,flame-charge,flame_charge,fire,50,100,20,0,physical,selected-pokemon,generation-v,Inflicts regular damage.  Raises the user’s Speed by one stage.,Inflicts regular damage.  Raises the user’s Speed by one stage.,https://pokeapi.co/api/v2/move/488/
489,coil,coil,poison,None,None,20,0,status,user,generation-v,"Raises the user’s Attack, Defense, and accuracy by one stage each.","Raises the user’s Attack, Defense, and accuracy by one stage each.",https://pokeapi.co/api/v2/move/489/
490,low-sweep,low_sweep,fighting,65,100,20,0,physical,selected-pokemon,generation-v,Lowers the target’s Speed by one stage.,Lowers the target’s Speed by one stage.,https://pokeapi.co/api/v2/move/490/
491,acid-spray,acid_spray,poison,40,100,20,0,special,selected-pokemon,generation-v,Inflicts regular damage.  Lowers the target’s Special Defense by two stages.,Lowers the target’s Special Defense by two stages.,https://pokeapi.co/api/v2/move/491/
492,foul-play,foul_play,dark,95,100,15,0,physical,selected-pokemon,generation-v,Inflicts regular damage.  Damage is calculated using the target’s attacking stat rather than the user’s.,Calculates damage with the target’s attacking stat.,https://pokeapi.co/api/v2/move/492/
493,simple-beam,simple_beam,normal,None,100,15,0,status,selected-pokemon,generation-v,Changes the target’s ability to simple.,Changes the target’s ability to Simple.,https://pokeapi.co/api/v2/move/493/
494,entrainment,entrainment,normal,None,100,15,0,status,selected-pokemon,generation-v,Changes the target’s ability to match the user’s.  This effect ends when the target leaves battle.,Copies the user’s ability onto the target.,https://pokeapi.co/api/v2/move/494/
495,after-you,after_you,normal,None,None,15,0,status,selected-pokemon,generation-v,"The target will act next this turn, regardless of Speed or move priority.
If the target has already acted this turn, this move will fail.",Makes the target act next this turn.,https://pokeapi.co/api/v2/move/495/
496,round,round,normal,60,100,15,0,special,selected-pokemon,generation-v,"Inflicts regular damage.  If round has already been used this turn, this move’s power is doubled.  After this move is used, any other Pokémon using it this turn will immediately do so (in the order they would otherwise act), regardless of Speed or priority.  Pokémon using other moves will then continue to act as usual.",Has double power if it’s used more than once per turn.,https://pokeapi.co/api/v2/move/496/
