id,name,slug,type,power,accuracy,pp,priority,damage_class,target,generation,effect,short_effect,sourceUrl
560,flying-press,flying_press,fighting,100,95,10,0,physical,selected-pokemon,generation-vi,"Inflicts regular damage.  For the purposes of type effectiveness, this move is both fighting- and flying-type: its final effectiveness is determined by multiplying the effectiveness of each type against each of the target’s types.

For all other purposes, this move is pure Fighting-type.  If this move’s type is changed, its Fighting typing is overwritten, and its secondary type remains Flying.

If the target has used minimize since entering battle, this move has double power and will never miss.",Deals both fighting and flying-type damage.,https://pokeapi.co/api/v2/move/560/
561,mat-block,mat_block,fighting,None,None,10,0,status,users-field,generation-vi,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.,Protects all friendly Pokémon from damaging moves.  Only works on the first turn after the user is sent out.,https://pokeapi.co/api/v2/move/561/
562,belch,belch,poison,120,90,10,0,special,selected-pokemon,generation-vi,"Inflicts regular damage.  Can only be used if the user has eaten a berry since the beginning of the battle.

After the user eats a berry, it may use this move any number of times until the end of the battle, even if it switches out.  Eating a held berry, eating a berry via bug bite or pluck, or being the target of a Flung berry will enable this move.  Feeding a Pokémon a berry from the bag or using natural gift will not.

If the trainer chooses this move when it cannot be used, the choice is rejected outright and the trainer must choose another move.",Can only be used after the user has eaten a berry.,https://pokeapi.co/api/v2/move/562/
563,rototiller,rototiller,ground,None,None,10,0,status,all-pokemon,generation-vi,Raises the Attack and Special Attack of all grass Pokémon in battle.,Raises the Attack and Special Attack of all grass Pokémon in battle.,https://pokeapi.co/api/v2/move/563/
564,sticky-web,sticky_web,bug,None,None,20,0,status,opponents-field,generation-vi,"Shoots a web over the opponents’ side of the field, which lowers the Speed of any opposing Pokémon that enters the field by one stage.

Pokémon in the air, such as flying-types and those with levitate, are unaffected.  rapid spin removes Sticky Web from the user’s side of the field; defog removes it from both sides.","Covers the opposing field, lowering opponents’ Speed by one stage upon switching in.",https://pokeapi.co/api/v2/move/564/
565,fell-stinger,fell_stinger,bug,50,100,25,0,physical,selected-pokemon,generation-vi,Inflicts regular damage.  Raises the user’s Attack by two stages if it KOs the target.,Raises the user’s Attack by two stages if it KOs the target.,https://pokeapi.co/api/v2/move/565/
566,phantom-force,phantom_force,ghost,90,100,10,0,physical,selected-pokemon,generation-vi,"Inflicts regular damage.  User vanishes for one turn, becoming immune to attack, and hits on the second turn.

This move ignores the effects of detect and protect.

This move cannot be selected by sleep talk.","User vanishes, dodging all attacks, and hits next turn.  Hits through Protect and Detect.",https://pokeapi.co/api/v2/move/566/
567,trick-or-treat,trick_or_treat,ghost,None,100,20,0,status,selected-pokemon,generation-vi,Adds ghost to the target’s types.,Adds ghost to the target’s types.,https://pokeapi.co/api/v2/move/567/
568,noble-roar,noble_roar,normal,None,100,30,0,status,selected-pokemon,generation-vi,Lowers the target’s Attack and Special Attack by one stage.,Lowers the target’s Attack and Special Attack by one stage.,https://pokeapi.co/api/v2/move/568/
569,ion-deluge,ion_deluge,electric,None,None,25,1,status,entire-field,generation-vi,Changes all Pokémon’s normal moves to electric moves for the rest of the turn.,Changes all normal moves to electric moves for the rest of the turn.,https://pokeapi.co/api/v2/move/569/
