id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
1,bulbasaur,bulbasaur,generation-i,64,7,69,"grass, poison","overgrow, chlorophyll","hp: 45, attack: 49, defense: 49, special-attack: 65, special-defense: 65, speed: 45",pokemon/bulbasaur/images/sprite_default.png,pokemon/bulbasaur/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/1/
2,ivysaur,ivysaur,generation-i,142,10,130,"grass, poison","overgrow, chlorophyll","hp: 60, attack: 62, defense: 63, special-attack: 80, special-defense: 80, speed: 60",pokemon/ivysaur/images/sprite_default.png,pokemon/ivysaur/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/2/
3,venusaur,venusaur,generation-i,236,20,1000,"grass, poison","overgrow, chlorophyll","hp: 80, attack: 82, defense: 83, special-attack: 100, special-defense: 100, speed: 80",pokemon/venusaur/images/sprite_default.png,pokemon/venusaur/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/3/
4,charmander,charmander,generation-i,62,6,85,fire,"blaze, solar-power","hp: 39, attack: 52, defense: 43, special-attack: 60, special-defense: 50, speed: 65",pokemon/charmander/images/sprite_default.png,pokemon/charmander/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/4/
5,charmeleon,charmeleon,generation-i,142,11,190,fire,"blaze, solar-power","hp: 58, attack: 64, defense: 58, special-attack: 80, special-defense: 65, speed: 80",pokemon/charmeleon/images/sprite_default.png,pokemon/charmeleon/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/5/
6,charizard,charizard,generation-i,240,17,905,"fire, flying","blaze, solar-power","hp: 78, attack: 84, defense: 78, special-attack: 109, special-defense: 85, speed: 100",pokemon/charizard/images/sprite_default.png,pokemon/charizard/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/6/
7,squirtle,squirtle,generation-i,63,5,90,water,"torrent, rain-dish","hp: 44, attack: 48, defense: 65, special-attack: 50, special-defense: 64, speed: 43",pokemon/squirtle/images/sprite_default.png,pokemon/squirtle/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/7/
8,wartortle,wartortle,generation-i,142,10,225,water,"torrent, rain-dish","hp: 59, attack: 63, defense: 80, special-attack: 65, special-defense: 80, speed: 58",pokemon/wartortle/images/sprite_default.png,pokemon/wartortle/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/8/
9,blastoise,blastoise,generation-i,239,16,855,water,"torrent, rain-dish","hp: 79, attack: 83, defense: 100, special-attack: 85, special-defense: 105, speed: 78",pokemon/blastoise/images/sprite_default.png,pokemon/blastoise/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/9/
10,caterpie,caterpie,generation-i,39,3,29,bug,"shield-dust, run-away","hp: 45, attack: 30, defense: 35, special-attack: 20, special-defense: 20, speed: 45",pokemon/caterpie/images/sprite_default.png,pokemon/caterpie/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/10/
