id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
152,chikorita,chikorita,generation-ii,64,9,64,grass,"overgrow, leaf-guard","hp: 45, attack: 49, defense: 65, special-attack: 49, special-defense: 65, speed: 45",pokemon/chikorita/images/sprite_default.png,pokemon/chikorita/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/152/
153,bayleef,bayleef,generation-ii,142,12,158,grass,"overgrow, leaf-guard","hp: 60, attack: 62, defense: 80, special-attack: 63, special-defense: 80, speed: 60",pokemon/bayleef/images/sprite_default.png,pokemon/bayleef/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/153/
154,meganium,meganium,generation-ii,236,18,1005,grass,"overgrow, leaf-guard","hp: 80, attack: 82, defense: 100, special-attack: 83, special-defense: 100, speed: 80",pokemon/meganium/images/sprite_default.png,pokemon/meganium/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/154/
155,cyndaquil,cyndaquil,generation-ii,62,5,79,fire,"blaze, flash-fire","hp: 39, attack: 52, defense: 43, special-attack: 60, special-defense: 50, speed: 65",pokemon/cyndaquil/images/sprite_default.png,pokemon/cyndaquil/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/155/
156,quilava,quilava,generation-ii,142,9,190,fire,"blaze, flash-fire","hp: 58, attack: 64, defense: 58, special-attack: 80, special-defense: 65, speed: 80",pokemon/quilava/images/sprite_default.png,pokemon/quilava/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/156/
157,typhlosion,typhlosion,generation-ii,240,17,795,fire,"blaze, flash-fire","hp: 78, attack: 84, defense: 78, special-attack: 109, special-defense: 85, speed: 100",pokemon/typhlosion/images/sprite_default.png,pokemon/typhlosion/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/157/
158,totodile,totodile,generation-ii,63,6,95,water,"torrent, sheer-force","hp: 50, attack: 65, defense: 64, special-attack: 44, special-defense: 48, speed: 43",pokemon/totodile/images/sprite_default.png,pokemon/totodile/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/158/
159,croconaw,croconaw,generation-ii,142,11,250,water,"torrent, sheer-force","hp: 65, attack: 80, defense: 80, special-attack: 59, special-defense: 63, speed: 58",pokemon/croconaw/images/sprite_default.png,pokemon/croconaw/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/159/
160,feraligatr,feraligatr,generation-ii,239,23,888,water,"torrent, sheer-force","hp: 85, attack: 105, defense: 100, special-attack: 79, special-defense: 83, speed: 78",pokemon/feraligatr/images/sprite_default.png,pokemon/feraligatr/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/160/
161,sentret,sentret,generation-ii,43,8,60,normal,"run-away, keen-eye, frisk","hp: 35, attack: 46, defense: 34, special-attack: 35, special-defense: 45, speed: 20",pokemon/sentret/images/sprite_default.png,pokemon/sentret/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/161/
