id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
387,turtwig,turtwig,generation-iv,64,4,102,grass,"overgrow, shell-armor","hp: 55, attack: 68, defense: 64, special-attack: 45, special-defense: 55, speed: 31",pokemon/turtwig/images/sprite_default.png,pokemon/turtwig/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/387/
388,grotle,grotle,generation-iv,142,11,970,grass,"overgrow, shell-armor","hp: 75, attack: 89, defense: 85, special-attack: 55, special-defense: 65, speed: 36",pokemon/grotle/images/sprite_default.png,pokemon/grotle/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/388/
389,torterra,torterra,generation-iv,236,22,3100,"grass, ground","overgrow, shell-armor","hp: 95, attack: 109, defense: 105, special-attack: 75, special-defense: 85, speed: 56",pokemon/torterra/images/sprite_default.png,pokemon/torterra/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/389/
390,chimchar,chimchar,generation-iv,62,5,62,fire,"blaze, iron-fist","hp: 44, attack: 58, defense: 44, special-attack: 58, special-defense: 44, speed: 61",pokemon/chimchar/images/sprite_default.png,pokemon/chimchar/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/390/
391,monferno,monferno,generation-iv,142,9,220,"fire, fighting","blaze, iron-fist","hp: 64, attack: 78, defense: 52, special-attack: 78, special-defense: 52, speed: 81",pokemon/monferno/images/sprite_default.png,pokemon/monferno/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/391/
392,infernape,infernape,generation-iv,240,12,550,"fire, fighting","blaze, iron-fist","hp: 76, attack: 104, defense: 71, special-attack: 104, special-defense: 71, speed: 108",pokemon/infernape/images/sprite_default.png,pokemon/infernape/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/392/
393,piplup,piplup,generation-iv,63,4,52,water,"torrent, competitive","hp: 53, attack: 51, defense: 53, special-attack: 61, special-defense: 56, speed: 40",pokemon/piplup/images/sprite_default.png,pokemon/piplup/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/393/
394,prinplup,prinplup,generation-iv,142,8,230,water,"torrent, competitive","hp: 64, attack: 66, defense: 68, special-attack: 81, special-defense: 76, speed: 50",pokemon/prinplup/images/sprite_default.png,pokemon/prinplup/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/394/
395,empoleon,empoleon,generation-iv,239,17,845,"water, steel","torrent, competitive","hp: 84, attack: 86, defense: 88, special-attack: 111, special-defense: 101, speed: 60",pokemon/empoleon/images/sprite_default.png,pokemon/empoleon/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/395/
396,starly,starly,generation-iv,49,3,20,"normal, flying","keen-eye, reckless","hp: 40, attack: 55, defense: 30, special-attack: 30, special-defense: 30, speed: 60",pokemon/starly/images/sprite_default.png,pokemon/starly/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/396/
397,staravia,staravia,generation-iv,119,6,155,"normal, flying","intimidate, reckless","hp: 55, attack: 75, defense: 50, special-attack: 40, special-defense: 40, speed: 80",pokemon/staravia/images/sprite_default.png,pokemon/staravia/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/397/
398,staraptor,staraptor,generation-iv,218,12,249,"normal, flying","intimidate, reckless","hp: 85, attack: 120, defense: 70, special-attack: 50, special-defense: 60, speed: 100",pokemon/staraptor/images/sprite_default.png,pokemon/staraptor/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/398/
399,bidoof,bidoof,generation-iv,50,5,200,normal,"simple, unaware, moody","hp: 59, attack: 45, defense: 40, special-attack: 35, special-defense: 40, speed: 31",pokemon/bidoof/images/sprite_default.png,pokemon/bidoof/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/399/
400,bibarel,bibarel,generation-iv,144,10,315,"normal, water","simple, unaware, moody","hp: 79, attack: 85, defense: 60, special-attack: 55, special-defense: 60, speed: 71",pokemon/bibarel/images/sprite_default.png,pokemon/bibarel/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/400/
401,kricketot,kricketot,generation-iv,39,3,22,bug,"shed-skin, run-away","hp: 37, attack: 25, defense: 41, special-attack: 25, special-defense: 41, speed: 25",pokemon/kricketot/images/sprite_default.png,pokemon/kricketot/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/401/
402,kricketune,kricketune,generation-iv,134,10,255,bug,"swarm, technician","hp: 77, attack: 85, defense: 51, special-attack: 55, special-defense: 51, speed: 65",pokemon/kricketune/images/sprite_default.png,pokemon/kricketune/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/402/
403,shinx,shinx,generation-iv,53,5,95,electric,"rivalry, intimidate, guts","hp: 45, attack: 65, defense: 34, special-attack: 40, special-defense: 34, speed: 45",pokemon/shinx/images/sprite_default.png,pokemon/shinx/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/403/
404,luxio,luxio,generation-iv,127,9,305,electric,"rivalry, intimidate, guts","hp: 60, attack: 85, defense: 49, special-attack: 60, special-defense: 49, speed: 60",pokemon/luxio/images/sprite_default.png,pokemon/luxio/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/404/
405,luxray,luxray,generation-iv,235,14,420,electric,"rivalry, intimidate, guts","hp: 80, attack: 120, defense: 79, special-attack: 95, special-defense: 79, speed: 70",pokemon/luxray/images/sprite_default.png,pokemon/luxray/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/405/
406,budew,budew,generation-iv,56,2,12,"grass, poison","natural-cure, poison-point, leaf-guard","hp: 40, attack: 30, defense: 35, special-attack: 50, special-defense: 70, speed: 55",pokemon/budew/images/sprite_default.png,pokemon/budew/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/406/
407,roserade,roserade,generation-iv,232,9,145,"grass, poison","natural-cure, poison-point, technician","hp: 60, attack: 70, defense: 65, special-attack: 125, special-defense: 105, speed: 90",pokemon/roserade/images/sprite_default.png,pokemon/roserade/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/407/
408,cranidos,cranidos,generation-iv,70,9,315,rock,"mold-breaker, sheer-force","hp: 67, attack: 125, defense: 40, special-attack: 30, special-defense: 30, speed: 58",pokemon/cranidos/images/sprite_default.png,pokemon/cranidos/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/408/
409,rampardos,rampardos,generation-iv,173,16,1025,rock,"mold-breaker, sheer-force","hp: 97, attack: 165, defense: 60, special-attack: 65, special-defense: 50, speed: 58",pokemon/rampardos/images/sprite_default.png,pokemon/rampardos/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/409/
410,shieldon,shieldon,generation-iv,70,5,570,"rock, steel","sturdy, soundproof","hp: 30, attack: 42, defense: 118, special-attack: 42, special-defense: 88, speed: 30",pokemon/shieldon/images/sprite_default.png,pokemon/shieldon/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/410/
