id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
494,victini,victini,generation-v,270,4,40,"psychic, fire",victory-star,"hp: 100, attack: 100, defense: 100, special-attack: 100, special-defense: 100, speed: 100",pokemon/victini/images/sprite_default.png,pokemon/victini/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/494/
495,snivy,snivy,generation-v,62,6,81,grass,"overgrow, contrary","hp: 45, attack: 45, defense: 55, special-attack: 45, special-defense: 55, speed: 63",pokemon/snivy/images/sprite_default.png,pokemon/snivy/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/495/
496,servine,servine,generation-v,145,8,160,grass,"overgrow, contrary","hp: 60, attack: 60, defense: 75, special-attack: 60, special-defense: 75, speed: 83",pokemon/servine/images/sprite_default.png,pokemon/servine/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/496/
497,serperior,serperior,generation-v,238,33,630,grass,"overgrow, contrary","hp: 75, attack: 75, defense: 95, special-attack: 75, special-defense: 95, speed: 113",pokemon/serperior/images/sprite_default.png,pokemon/serperior/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/497/
498,tepig,tepig,generation-v,62,5,99,fire,"blaze, thick-fat","hp: 65, attack: 63, defense: 45, special-attack: 45, special-defense: 45, speed: 45",pokemon/tepig/images/sprite_default.png,pokemon/tepig/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/498/
499,pignite,pignite,generation-v,146,10,555,"fire, fighting","blaze, thick-fat","hp: 90, attack: 93, defense: 55, special-attack: 70, special-defense: 55, speed: 55",pokemon/pignite/images/sprite_default.png,pokemon/pignite/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/499/
500,emboar,emboar,generation-v,238,16,1500,"fire, fighting","blaze, reckless","hp: 110, attack: 123, defense: 65, special-attack: 100, special-defense: 65, speed: 65",pokemon/emboar/images/sprite_default.png,pokemon/emboar/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/500/
501,oshawott,oshawott,generation-v,62,5,59,water,"torrent, shell-armor","hp: 55, attack: 55, defense: 45, special-attack: 63, special-defense: 45, speed: 45",pokemon/oshawott/images/sprite_default.png,pokemon/oshawott/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/501/
502,dewott,dewott,generation-v,145,8,245,water,"torrent, shell-armor","hp: 75, attack: 75, defense: 60, special-attack: 83, special-defense: 60, speed: 60",pokemon/dewott/images/sprite_default.png,pokemon/dewott/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/502/
503,samurott,samurott,generation-v,238,15,946,water,"torrent, shell-armor","hp: 95, attack: 100, defense: 85, special-attack: 108, special-defense: 70, speed: 70",pokemon/samurott/images/sprite_default.png,pokemon/samurott/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/503/
