id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
650,chespin,chespin,generation-vi,63,4,90,grass,"overgrow, bulletproof","hp: 56, attack: 61, defense: 65, special-attack: 48, special-defense: 45, speed: 38",pokemon/chespin/images/sprite_default.png,pokemon/chespin/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/650/
651,quilladin,quilladin,generation-vi,142,7,290,grass,"overgrow, bulletproof","hp: 61, attack: 78, defense: 95, special-attack: 56, special-defense: 58, speed: 57",pokemon/quilladin/images/sprite_default.png,pokemon/quilladin/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/651/
652,chesnaught,chesnaught,generation-vi,239,16,900,"grass, fighting","overgrow, bulletproof","hp: 88, attack: 107, defense: 122, special-attack: 74, special-defense: 75, speed: 64",pokemon/chesnaught/images/sprite_default.png,pokemon/chesnaught/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/652/
653,fennekin,fennekin,generation-vi,61,4,94,fire,"blaze, magician","hp: 40, attack: 45, defense: 40, special-attack: 62, special-defense: 60, speed: 60",pokemon/fennekin/images/sprite_default.png,pokemon/fennekin/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/653/
654,braixen,braixen,generation-vi,143,10,145,fire,"blaze, magician","hp: 59, attack: 59, defense: 58, special-attack: 90, special-defense: 70, speed: 73",pokemon/braixen/images/sprite_default.png,pokemon/braixen/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/654/
655,delphox,delphox,generation-vi,240,15,390,"fire, psychic","blaze, magician","hp: 75, attack: 69, defense: 72, special-attack: 114, special-defense: 100, speed: 104",pokemon/delphox/images/sprite_default.png,pokemon/delphox/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/655/
656,froakie,froakie,generation-vi,63,3,70,water,"torrent, protean","hp: 41, attack: 56, defense: 40, special-attack: 62, special-defense: 44, speed: 71",pokemon/froakie/images/sprite_default.png,pokemon/froakie/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/656/
657,frogadier,frogadier,generation-vi,142,6,109,water,"torrent, protean","hp: 54, attack: 63, defense: 52, special-attack: 83, special-defense: 56, speed: 97",pokemon/frogadier/images/sprite_default.png,pokemon/frogadier/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/657/
658,greninja,greninja,generation-vi,239,15,400,"water, dark","torrent, protean","hp: 72, attack: 95, defense: 67, special-attack: 103, special-defense: 71, speed: 122",pokemon/greninja/images/sprite_default.png,pokemon/greninja/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/658/
659,bunnelby,bunnelby,generation-vi,47,4,50,normal,"pickup, cheek-pouch, huge-power","hp: 38, attack: 36, defense: 38, special-attack: 32, special-defense: 36, speed: 57",pokemon/bunnelby/images/sprite_default.png,pokemon/bunnelby/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/659/
660,diggersby,diggersby,generation-vi,148,10,424,"normal, ground","pickup, cheek-pouch, huge-power","hp: 85, attack: 56, defense: 77, special-attack: 50, special-defense: 77, speed: 78",pokemon/diggersby/images/sprite_default.png,pokemon/diggersby/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/660/
661,fletchling,fletchling,generation-vi,56,3,17,"normal, flying","big-pecks, gale-wings","hp: 45, attack: 50, defense: 43, special-attack: 40, special-defense: 38, speed: 62",pokemon/fletchling/images/sprite_default.png,pokemon/fletchling/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/661/
