id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
722,rowlet,rowlet,generation-vii,64,3,15,"grass, flying","overgrow, long-reach","hp: 68, attack: 55, defense: 55, special-attack: 50, special-defense: 50, speed: 42",pokemon/rowlet/images/sprite_default.png,pokemon/rowlet/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/722/
723,dartrix,dartrix,generation-vii,147,7,160,"grass, flying","overgrow, long-reach","hp: 78, attack: 75, defense: 75, special-attack: 70, special-defense: 70, speed: 52",pokemon/dartrix/images/sprite_default.png,pokemon/dartrix/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/723/
724,decidueye,decidueye,generation-vii,239,16,366,"grass, ghost","overgrow, long-reach","hp: 78, attack: 107, defense: 75, special-attack: 100, special-defense: 100, speed: 70",pokemon/decidueye/images/sprite_default.png,pokemon/decidueye/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/724/
725,litten,litten,generation-vii,64,4,43,fire,"blaze, intimidate","hp: 45, attack: 65, defense: 40, special-attack: 60, special-defense: 40, speed: 70",pokemon/litten/images/sprite_default.png,pokemon/litten/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/725/
726,torracat,torracat,generation-vii,147,7,250,fire,"blaze, intimidate","hp: 65, attack: 85, defense: 50, special-attack: 80, special-defense: 50, speed: 90",pokemon/torracat/images/sprite_default.png,pokemon/torracat/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/726/
727,incineroar,incineroar,generation-vii,239,18,830,"fire, dark","blaze, intimidate","hp: 95, attack: 115, defense: 90, special-attack: 80, special-defense: 90, speed: 60",pokemon/incineroar/images/sprite_default.png,pokemon/incineroar/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/727/
728,popplio,popplio,generation-vii,64,4,75,water,"torrent, liquid-voice","hp: 50, attack: 54, defense: 54, special-attack: 66, special-defense: 56, speed: 40",pokemon/popplio/images/sprite_default.png,pokemon/popplio/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/728/
729,brionne,brionne,generation-vii,147,6,175,water,"torrent, liquid-voice","hp: 60, attack: 69, defense: 69, special-attack: 91, special-defense: 81, speed: 50",pokemon/brionne/images/sprite_default.png,pokemon/brionne/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/729/
730,primarina,primarina,generation-vii,239,18,440,"water, fairy","torrent, liquid-voice","hp: 80, attack: 74, defense: 74, special-attack: 126, special-defense: 116, speed: 60",pokemon/primarina/images/sprite_default.png,pokemon/primarina/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/730/
731,pikipek,pikipek,generation-vii,53,3,12,"normal, flying","keen-eye, skill-link, pickup","hp: 35, attack: 75, defense: 30, special-attack: 30, special-defense: 30, speed: 65",pokemon/pikipek/images/sprite_default.png,pokemon/pikipek/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/731/
732,trumbeak,trumbeak,generation-vii,124,6,148,"normal, flying","keen-eye, skill-link, pickup","hp: 55, attack: 85, defense: 50, special-attack: 40, special-defense: 50, speed: 75",pokemon/trumbeak/images/sprite_default.png,pokemon/trumbeak/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/732/
733,toucannon,toucannon,generation-vii,218,11,260,"normal, flying","keen-eye, skill-link, sheer-force","hp: 80, attack: 120, defense: 75, special-attack: 75, special-defense: 75, speed: 60",pokemon/toucannon/images/sprite_default.png,pokemon/toucannon/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/733/
734,yungoos,yungoos,generation-vii,51,4,60,normal,"stakeout, strong-jaw, adaptability","hp: 48, attack: 70, defense: 30, special-attack: 30, special-defense: 30, speed: 45",pokemon/yungoos/images/sprite_default.png,pokemon/yungoos/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/734/
735,gumshoos,gumshoos,generation-vii,146,7,142,normal,"stakeout, strong-jaw, adaptability","hp: 88, attack: 110, defense: 60, special-attack: 55, special-defense: 60, speed: 45",pokemon/gumshoos/images/sprite_default.png,pokemon/gumshoos/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/735/
