id,name,slug,generation,base_experience,height,weight,types,abilities,stats,sprite_default,sprite_shiny,sourceUrl
810,grookey,grookey,generation-viii,62,3,50,grass,"overgrow, grassy-surge","hp: 50, attack: 65, defense: 50, special-attack: 40, special-defense: 40, speed: 65",pokemon/grookey/images/sprite_default.png,pokemon/grookey/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/810/
811,thwackey,thwackey,generation-viii,147,7,140,grass,"overgrow, grassy-surge","hp: 70, attack: 85, defense: 70, special-attack: 55, special-defense: 60, speed: 80",pokemon/thwackey/images/sprite_default.png,pokemon/thwackey/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/811/
812,rillaboom,rillaboom,generation-viii,265,21,900,grass,"overgrow, grassy-surge","hp: 100, attack: 125, defense: 90, special-attack: 60, special-defense: 70, speed: 85",pokemon/rillaboom/images/sprite_default.png,pokemon/rillaboom/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/812/
813,scorbunny,scorbunny,generation-viii,62,3,45,fire,"blaze, libero","hp: 50, attack: 71, defense: 40, special-attack: 40, special-defense: 40, speed: 69",pokemon/scorbunny/images/sprite_default.png,pokemon/scorbunny/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/813/
814,raboot,raboot,generation-viii,147,6,90,fire,"blaze, libero","hp: 65, attack: 86, defense: 60, special-attack: 55, special-defense: 60, speed: 94",pokemon/raboot/images/sprite_default.png,pokemon/raboot/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/814/
815,cinderace,cinderace,generation-viii,265,14,330,fire,"blaze, libero","hp: 80, attack: 116, defense: 75, special-attack: 65, special-defense: 75, speed: 119",pokemon/cinderace/images/sprite_default.png,pokemon/cinderace/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/815/
816,sobble,sobble,generation-viii,62,3,40,water,"torrent, sniper","hp: 50, attack: 40, defense: 40, special-attack: 70, special-defense: 40, speed: 70",pokemon/sobble/images/sprite_default.png,pokemon/sobble/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/816/
817,drizzile,drizzile,generation-viii,147,7,115,water,"torrent, sniper","hp: 65, attack: 60, defense: 55, special-attack: 95, special-defense: 55, speed: 90",pokemon/drizzile/images/sprite_default.png,pokemon/drizzile/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/817/
818,inteleon,inteleon,generation-viii,265,19,452,water,"torrent, sniper","hp: 70, attack: 85, defense: 65, special-attack: 125, special-defense: 65, speed: 120",pokemon/inteleon/images/sprite_default.png,pokemon/inteleon/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/818/
819,skwovet,skwovet,generation-viii,55,3,25,normal,"cheek-pouch, gluttony","hp: 70, attack: 55, defense: 55, special-attack: 35, special-defense: 35, speed: 25",pokemon/skwovet/images/sprite_default.png,pokemon/skwovet/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/819/
820,greedent,greedent,generation-viii,161,6,60,normal,"cheek-pouch, gluttony","hp: 120, attack: 95, defense: 95, special-attack: 55, special-defense: 75, speed: 20",pokemon/greedent/images/sprite_default.png,pokemon/greedent/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/820/
821,rookidee,rookidee,generation-viii,49,2,18,flying,"keen-eye, unnerve, big-pecks","hp: 38, attack: 47, defense: 35, special-attack: 33, special-defense: 35, speed: 57",pokemon/rookidee/images/sprite_default.png,pokemon/rookidee/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/821/
822,corvisquire,corvisquire,generation-viii,128,8,160,flying,"keen-eye, unnerve, big-pecks","hp: 68, attack: 67, defense: 55, special-attack: 43, special-defense: 55, speed: 77",pokemon/corvisquire/images/sprite_default.png,pokemon/corvisquire/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/822/
823,corviknight,corviknight,generation-viii,248,22,750,"flying, steel","pressure, unnerve, mirror-armor","hp: 98, attack: 87, defense: 105, special-attack: 53, special-defense: 85, speed: 67",pokemon/corviknight/images/sprite_default.png,pokemon/corviknight/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/823/
824,blipbug,blipbug,generation-viii,36,4,80,bug,"swarm, compound-eyes, telepathy","hp: 25, attack: 20, defense: 20, special-attack: 25, special-defense: 45, speed: 45",pokemon/blipbug/images/sprite_default.png,pokemon/blipbug/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/824/
825,dottler,dottler,generation-viii,117,4,195,"bug, psychic","swarm, compound-eyes, telepathy","hp: 50, attack: 35, defense: 80, special-attack: 50, special-defense: 90, speed: 30",pokemon/dottler/images/sprite_default.png,pokemon/dottler/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/825/
826,orbeetle,orbeetle,generation-viii,253,4,408,"bug, psychic","swarm, frisk, telepathy","hp: 60, attack: 45, defense: 110, special-attack: 80, special-defense: 120, speed: 90",pokemon/orbeetle/images/sprite_default.png,pokemon/orbeetle/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/826/
827,nickit,nickit,generation-viii,49,6,89,dark,"run-away, unburden, stakeout","hp: 40, attack: 28, defense: 28, special-attack: 47, special-defense: 52, speed: 50",pokemon/nickit/images/sprite_default.png,pokemon/nickit/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/827/
828,thievul,thievul,generation-viii,159,12,199,dark,"run-away, unburden, stakeout","hp: 70, attack: 58, defense: 58, special-attack: 87, special-defense: 92, speed: 90",pokemon/thievul/images/sprite_default.png,pokemon/thievul/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/828/
829,gossifleur,gossifleur,generation-viii,50,4,22,grass,"cotton-down, regenerator, effect-spore","hp: 40, attack: 40, defense: 60, special-attack: 40, special-defense: 60, speed: 10",pokemon/gossifleur/images/sprite_default.png,pokemon/gossifleur/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/829/
830,eldegoss,eldegoss,generation-viii,161,5,25,grass,"cotton-down, regenerator, effect-spore","hp: 60, attack: 50, defense: 90, special-attack: 80, special-defense: 120, speed: 60",pokemon/eldegoss/images/sprite_default.png,pokemon/eldegoss/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/830/
831,wooloo,wooloo,generation-viii,122,6,60,normal,"fluffy, run-away, bulletproof","hp: 42, attack: 40, defense: 55, special-attack: 40, special-defense: 45, speed: 48",pokemon/wooloo/images/sprite_default.png,pokemon/wooloo/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/831/
832,dubwool,dubwool,generation-viii,172,13,430,normal,"fluffy, steadfast, bulletproof","hp: 72, attack: 80, defense: 100, special-attack: 60, special-defense: 90, speed: 88",pokemon/dubwool/images/sprite_default.png,pokemon/dubwool/images/sprite_shiny.png,https://pokeapi.co/api/v2/pokemon/832/
