pokemon_id,pokemon_name,pokemon_slug,generation,item_id,item_name,item_slug,rarity,version,sourceUrl
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,diamond,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,pearl,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,platinum,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,heartgold,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,soulsilver,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,black,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,white,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,black-2,https://pokeapi.co/api/v2/item/165/
396,starly,starly,generation-iv,165,yache-berry,yache_berry,5,white-2,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,diamond,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,pearl,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,platinum,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,heartgold,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,soulsilver,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,black,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,white,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,black-2,https://pokeapi.co/api/v2/item/165/
397,staravia,staravia,generation-iv,165,yache-berry,yache_berry_2,5,white-2,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,diamond,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,pearl,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,platinum,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,heartgold,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,soulsilver,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,black,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,white,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,black-2,https://pokeapi.co/api/v2/item/165/
398,staraptor,staraptor,generation-iv,165,yache-berry,yache_berry_3,5,white-2,https://pokeapi.co/api/v2/item/165/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,diamond,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,pearl,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,platinum,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,heartgold,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,soulsilver,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,black,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,white,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,black-2,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,132,oran-berry,oran_berry_17,50,white-2,https://pokeapi.co/api/v2/item/132/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,diamond,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,pearl,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,platinum,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,heartgold,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,soulsilver,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,black,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,white,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,black-2,https://pokeapi.co/api/v2/item/135/
400,bibarel,bibarel,generation-iv,135,sitrus-berry,sitrus_berry_8,5,white-2,https://pokeapi.co/api/v2/item/135/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,diamond,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,pearl,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,platinum,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,heartgold,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,soulsilver,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,black,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,white,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,black-2,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,white-2,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,x,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,y,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,omega-ruby,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,alpha-sapphire,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,sun,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,moon,https://pokeapi.co/api/v2/item/254/
401,kricketot,kricketot,generation-iv,254,metronome,metronome,5,ultra-sun,https://pokeapi.co/api/v2/item/254/
