pokemon_id,pokemon_name,pokemon_slug,generation,item_id,item_name,item_slug,rarity,version,sourceUrl
511,pansage,pansage,generation-v,132,oran-berry,oran_berry_18,50,black,https://pokeapi.co/api/v2/item/132/
511,pansage,pansage,generation-v,132,oran-berry,oran_berry_18,50,white,https://pokeapi.co/api/v2/item/132/
511,pansage,pansage,generation-v,132,oran-berry,oran_berry_18,50,black-2,https://pokeapi.co/api/v2/item/132/
511,pansage,pansage,generation-v,132,oran-berry,oran_berry_18,50,white-2,https://pokeapi.co/api/v2/item/132/
511,pansage,pansage,generation-v,161,occa-berry,occa_berry_2,5,black,https://pokeapi.co/api/v2/item/161/
511,pansage,pansage,generation-v,161,occa-berry,occa_berry_2,5,white,https://pokeapi.co/api/v2/item/161/
511,pansage,pansage,generation-v,161,occa-berry,occa_berry_2,5,black-2,https://pokeapi.co/api/v2/item/161/
511,pansage,pansage,generation-v,161,occa-berry,occa_berry_2,5,white-2,https://pokeapi.co/api/v2/item/161/
512,simisage,simisage,generation-v,132,oran-berry,oran_berry_19,50,black,https://pokeapi.co/api/v2/item/132/
512,simisage,simisage,generation-v,132,oran-berry,oran_berry_19,50,white,https://pokeapi.co/api/v2/item/132/
512,simisage,simisage,generation-v,132,oran-berry,oran_berry_19,50,black-2,https://pokeapi.co/api/v2/item/132/
512,simisage,simisage,generation-v,132,oran-berry,oran_berry_19,50,white-2,https://pokeapi.co/api/v2/item/132/
512,simisage,simisage,generation-v,161,occa-berry,occa_berry_3,5,black,https://pokeapi.co/api/v2/item/161/
512,simisage,simisage,generation-v,161,occa-berry,occa_berry_3,5,white,https://pokeapi.co/api/v2/item/161/
512,simisage,simisage,generation-v,161,occa-berry,occa_berry_3,5,black-2,https://pokeapi.co/api/v2/item/161/
512,simisage,simisage,generation-v,161,occa-berry,occa_berry_3,5,white-2,https://pokeapi.co/api/v2/item/161/
513,pansear,pansear,generation-v,132,oran-berry,oran_berry_20,50,black,https://pokeapi.co/api/v2/item/132/
513,pansear,pansear,generation-v,132,oran-berry,oran_berry_20,50,white,https://pokeapi.co/api/v2/item/132/
513,pansear,pansear,generation-v,132,oran-berry,oran_berry_20,50,black-2,https://pokeapi.co/api/v2/item/132/
513,pansear,pansear,generation-v,132,oran-berry,oran_berry_20,50,white-2,https://pokeapi.co/api/v2/item/132/
513,pansear,pansear,generation-v,162,passho-berry,passho_berry_3,5,black,https://pokeapi.co/api/v2/item/162/
513,pansear,pansear,generation-v,162,passho-berry,passho_berry_3,5,white,https://pokeapi.co/api/v2/item/162/
513,pansear,pansear,generation-v,162,passho-berry,passho_berry_3,5,black-2,https://pokeapi.co/api/v2/item/162/
513,pansear,pansear,generation-v,162,passho-berry,passho_berry_3,5,white-2,https://pokeapi.co/api/v2/item/162/
514,simisear,simisear,generation-v,132,oran-berry,oran_berry_21,50,black,https://pokeapi.co/api/v2/item/132/
514,simisear,simisear,generation-v,132,oran-berry,oran_berry_21,50,white,https://pokeapi.co/api/v2/item/132/
514,simisear,simisear,generation-v,132,oran-berry,oran_berry_21,50,black-2,https://pokeapi.co/api/v2/item/132/
514,simisear,simisear,generation-v,132,oran-berry,oran_berry_21,50,white-2,https://pokeapi.co/api/v2/item/132/
514,simisear,simisear,generation-v,162,passho-berry,passho_berry_4,5,black,https://pokeapi.co/api/v2/item/162/
514,simisear,simisear,generation-v,162,passho-berry,passho_berry_4,5,white,https://pokeapi.co/api/v2/item/162/
514,simisear,simisear,generation-v,162,passho-berry,passho_berry_4,5,black-2,https://pokeapi.co/api/v2/item/162/
514,simisear,simisear,generation-v,162,passho-berry,passho_berry_4,5,white-2,https://pokeapi.co/api/v2/item/162/
515,panpour,panpour,generation-v,132,oran-berry,oran_berry_22,50,black,https://pokeapi.co/api/v2/item/132/
515,panpour,panpour,generation-v,132,oran-berry,oran_berry_22,50,white,https://pokeapi.co/api/v2/item/132/
515,panpour,panpour,generation-v,132,oran-berry,oran_berry_22,50,black-2,https://pokeapi.co/api/v2/item/132/
515,panpour,panpour,generation-v,132,oran-berry,oran_berry_22,50,white-2,https://pokeapi.co/api/v2/item/132/
515,panpour,panpour,generation-v,164,rindo-berry,rindo_berry_3,5,black,https://pokeapi.co/api/v2/item/164/
515,panpour,panpour,generation-v,164,rindo-berry,rindo_berry_3,5,white,https://pokeapi.co/api/v2/item/164/
515,panpour,panpour,generation-v,164,rindo-berry,rindo_berry_3,5,black-2,https://pokeapi.co/api/v2/item/164/
515,panpour,panpour,generation-v,164,rindo-berry,rindo_berry_3,5,white-2,https://pokeapi.co/api/v2/item/164/
516,simipour,simipour,generation-v,132,oran-berry,oran_berry_23,50,black,https://pokeapi.co/api/v2/item/132/
516,simipour,simipour,generation-v,132,oran-berry,oran_berry_23,50,white,https://pokeapi.co/api/v2/item/132/
516,simipour,simipour,generation-v,132,oran-berry,oran_berry_23,50,black-2,https://pokeapi.co/api/v2/item/132/
516,simipour,simipour,generation-v,132,oran-berry,oran_berry_23,50,white-2,https://pokeapi.co/api/v2/item/132/
516,simipour,simipour,generation-v,164,rindo-berry,rindo_berry_4,5,black,https://pokeapi.co/api/v2/item/164/
516,simipour,simipour,generation-v,164,rindo-berry,rindo_berry_4,5,white,https://pokeapi.co/api/v2/item/164/
516,simipour,simipour,generation-v,164,rindo-berry,rindo_berry_4,5,black-2,https://pokeapi.co/api/v2/item/164/
516,simipour,simipour,generation-v,164,rindo-berry,rindo_berry_4,5,white-2,https://pokeapi.co/api/v2/item/164/
522,blitzle,blitzle,generation-v,126,cheri-berry,cheri_berry_3,50,black,https://pokeapi.co/api/v2/item/126/
522,blitzle,blitzle,generation-v,126,cheri-berry,cheri_berry_3,50,white,https://pokeapi.co/api/v2/item/126/
522,blitzle,blitzle,generation-v,126,cheri-berry,cheri_berry_3,50,black-2,https://pokeapi.co/api/v2/item/126/
522,blitzle,blitzle,generation-v,126,cheri-berry,cheri_berry_3,50,white-2,https://pokeapi.co/api/v2/item/126/
523,zebstrika,zebstrika,generation-v,126,cheri-berry,cheri_berry_4,50,black,https://pokeapi.co/api/v2/item/126/
523,zebstrika,zebstrika,generation-v,126,cheri-berry,cheri_berry_4,50,white,https://pokeapi.co/api/v2/item/126/
523,zebstrika,zebstrika,generation-v,126,cheri-berry,cheri_berry_4,50,black-2,https://pokeapi.co/api/v2/item/126/
523,zebstrika,zebstrika,generation-v,126,cheri-berry,cheri_berry_4,50,white-2,https://pokeapi.co/api/v2/item/126/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,black,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,white,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,black-2,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,white-2,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,x,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,y,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,omega-ruby,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,alpha-sapphire,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,sun,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,moon,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,ultra-sun,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,206,everstone,everstone_4,50,ultra-moon,https://pokeapi.co/api/v2/item/206/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,black,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,white,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,black-2,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,white-2,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,x,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,y,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,omega-ruby,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,alpha-sapphire,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,sun,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,moon,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,ultra-sun,https://pokeapi.co/api/v2/item/215/
524,roggenrola,roggenrola,generation-v,215,hard-stone,hard_stone_10,5,ultra-moon,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,black,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,white,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,black-2,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,white-2,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,x,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,y,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,omega-ruby,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,alpha-sapphire,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,sun,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,moon,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,ultra-sun,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,206,everstone,everstone_5,50,ultra-moon,https://pokeapi.co/api/v2/item/206/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,black,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,white,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,black-2,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,white-2,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,x,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,y,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,omega-ruby,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,alpha-sapphire,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,sun,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,moon,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,ultra-sun,https://pokeapi.co/api/v2/item/215/
525,boldore,boldore,generation-v,215,hard-stone,hard_stone_11,5,ultra-moon,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,black,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,white,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,black-2,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,white-2,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,x,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,y,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,omega-ruby,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,alpha-sapphire,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,sun,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,moon,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,ultra-sun,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,206,everstone,everstone_6,50,ultra-moon,https://pokeapi.co/api/v2/item/206/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,black,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,white,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,black-2,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,white-2,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,x,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,y,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,omega-ruby,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,alpha-sapphire,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,sun,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,moon,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,ultra-sun,https://pokeapi.co/api/v2/item/215/
526,gigalith,gigalith,generation-v,215,hard-stone,hard_stone_12,5,ultra-moon,https://pokeapi.co/api/v2/item/215/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,black,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,white,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,black-2,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,white-2,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,x,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,y,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,omega-ruby,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,alpha-sapphire,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,sun,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,moon,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,ultra-sun,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,132,oran-berry,oran_berry_24,50,ultra-moon,https://pokeapi.co/api/v2/item/132/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,black,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,white,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,black-2,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,white-2,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,x,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,y,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,omega-ruby,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,alpha-sapphire,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,sun,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,moon,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,ultra-sun,https://pokeapi.co/api/v2/item/135/
531,audino,audino,generation-v,135,sitrus-berry,sitrus_berry_9,5,ultra-moon,https://pokeapi.co/api/v2/item/135/
535,tympole,tympole,generation-v,128,pecha-berry,pecha_berry_10,50,black-2,https://pokeapi.co/api/v2/item/128/
535,tympole,tympole,generation-v,128,pecha-berry,pecha_berry_10,50,white-2,https://pokeapi.co/api/v2/item/128/
535,tympole,tympole,generation-v,133,persim-berry,persim_berry_6,50,black,https://pokeapi.co/api/v2/item/133/
535,tympole,tympole,generation-v,133,persim-berry,persim_berry_6,50,white,https://pokeapi.co/api/v2/item/133/
536,palpitoad,palpitoad,generation-v,128,pecha-berry,pecha_berry_11,50,black-2,https://pokeapi.co/api/v2/item/128/
536,palpitoad,palpitoad,generation-v,128,pecha-berry,pecha_berry_11,50,white-2,https://pokeapi.co/api/v2/item/128/
536,palpitoad,palpitoad,generation-v,133,persim-berry,persim_berry_7,50,black,https://pokeapi.co/api/v2/item/133/
536,palpitoad,palpitoad,generation-v,133,persim-berry,persim_berry_7,50,white,https://pokeapi.co/api/v2/item/133/
537,seismitoad,seismitoad,generation-v,128,pecha-berry,pecha_berry_12,50,black-2,https://pokeapi.co/api/v2/item/128/
537,seismitoad,seismitoad,generation-v,128,pecha-berry,pecha_berry_12,50,white-2,https://pokeapi.co/api/v2/item/128/
537,seismitoad,seismitoad,generation-v,133,persim-berry,persim_berry_8,50,black,https://pokeapi.co/api/v2/item/133/
537,seismitoad,seismitoad,generation-v,133,persim-berry,persim_berry_8,50,white,https://pokeapi.co/api/v2/item/133/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,black,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,white,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,black-2,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,white-2,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,x,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,y,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,omega-ruby,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,alpha-sapphire,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,sun,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,moon,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,ultra-sun,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,218,black-belt,black_belt_2,5,ultra-moon,https://pokeapi.co/api/v2/item/218/
538,throh,throh,generation-v,245,expert-belt,expert_belt,1,black,https://pokeapi.co/api/v2/item/245/
538,throh,throh,generation-v,245,expert-belt,expert_belt,1,white,https://pokeapi.co/api/v2/item/245/
538,throh,throh,generation-v,245,expert-belt,expert_belt,1,black-2,https://pokeapi.co/api/v2/item/245/
538,throh,throh,generation-v,245,expert-belt,expert_belt,1,white-2,https://pokeapi.co/api/v2/item/245/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,black,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,white,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,black-2,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,white-2,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,x,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,y,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,omega-ruby,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,alpha-sapphire,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,sun,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,moon,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,ultra-sun,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,218,black-belt,black_belt_3,5,ultra-moon,https://pokeapi.co/api/v2/item/218/
539,sawk,sawk,generation-v,245,expert-belt,expert_belt_2,1,black,https://pokeapi.co/api/v2/item/245/
539,sawk,sawk,generation-v,245,expert-belt,expert_belt_2,1,white,https://pokeapi.co/api/v2/item/245/
539,sawk,sawk,generation-v,245,expert-belt,expert_belt_2,1,black-2,https://pokeapi.co/api/v2/item/245/
539,sawk,sawk,generation-v,245,expert-belt,expert_belt_2,1,white-2,https://pokeapi.co/api/v2/item/245/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,black,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,white,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,black-2,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,white-2,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,x,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,y,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,omega-ruby,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,alpha-sapphire,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,sun,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,moon,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,ultra-sun,https://pokeapi.co/api/v2/item/196/
540,sewaddle,sewaddle,generation-v,196,mental-herb,mental_herb_4,5,ultra-moon,https://pokeapi.co/api/v2/item/196/
541,swadloon,swadloon,generation-v,196,mental-herb,mental_herb_5,5,black,https://pokeapi.co/api/v2/item/196/
541,swadloon,swadloon,generation-v,196,mental-herb,mental_herb_5,5,white,https://pokeapi.co/api/v2/item/196/
541,swadloon,swadloon,generation-v,196,mental-herb,mental_herb_5,5,black-2,https://pokeapi.co/api/v2/item/196/
