pokemon_id,pokemon_name,pokemon_slug,move_id,move_name,move_slug,generation,learn_method,level,version_group,sourceUrl
1,bulbasaur,bulbasaur,851,tera-blast,tera_blast,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
1,bulbasaur,bulbasaur,885,trailblaze,trailblaze,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
2,ivysaur,ivysaur,851,tera-blast,tera_blast_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
2,ivysaur,ivysaur,885,trailblaze,trailblaze_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
3,venusaur,venusaur,851,tera-blast,tera_blast_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
3,venusaur,venusaur,885,trailblaze,trailblaze_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
4,charmander,charmander,851,tera-blast,tera_blast_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
4,charmander,charmander,915,temper-flare,temper_flare,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/915/
5,charmeleon,charmeleon,851,tera-blast,tera_blast_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
5,charmeleon,charmeleon,915,temper-flare,temper_flare_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/915/
6,charizard,charizard,851,tera-blast,tera_blast_6,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
6,charizard,charizard,913,dragon-cheer,dragon_cheer,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/913/
6,charizard,charizard,915,temper-flare,temper_flare_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/915/
7,squirtle,squirtle,851,tera-blast,tera_blast_7,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
7,squirtle,squirtle,861,ice-spinner,ice_spinner,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/861/
7,squirtle,squirtle,886,chilling-water,chilling_water,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
8,wartortle,wartortle,851,tera-blast,tera_blast_8,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
8,wartortle,wartortle,861,ice-spinner,ice_spinner_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/861/
8,wartortle,wartortle,886,chilling-water,chilling_water_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
9,blastoise,blastoise,851,tera-blast,tera_blast_9,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
9,blastoise,blastoise,861,ice-spinner,ice_spinner_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/861/
9,blastoise,blastoise,886,chilling-water,chilling_water_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
23,ekans,ekans,851,tera-blast,tera_blast_10,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
23,ekans,ekans,885,trailblaze,trailblaze_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
24,arbok,arbok,851,tera-blast,tera_blast_11,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
24,arbok,arbok,885,trailblaze,trailblaze_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
25,pikachu,pikachu,851,tera-blast,tera_blast_12,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
25,pikachu,pikachu,885,trailblaze,trailblaze_6,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
25,pikachu,pikachu,914,alluring-voice,alluring_voice,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
25,pikachu,pikachu,918,upper-hand,upper_hand,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/918/
26,raichu,raichu,851,tera-blast,tera_blast_13,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
26,raichu,raichu,885,trailblaze,trailblaze_7,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
26,raichu,raichu,914,alluring-voice,alluring_voice_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
26,raichu,raichu,918,upper-hand,upper_hand_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/918/
27,sandshrew,sandshrew,851,tera-blast,tera_blast_14,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
28,sandslash,sandslash,851,tera-blast,tera_blast_15,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
35,clefairy,clefairy,851,tera-blast,tera_blast_16,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
35,clefairy,clefairy,886,chilling-water,chilling_water_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
35,clefairy,clefairy,914,alluring-voice,alluring_voice_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
36,clefable,clefable,851,tera-blast,tera_blast_17,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
36,clefable,clefable,886,chilling-water,chilling_water_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
36,clefable,clefable,914,alluring-voice,alluring_voice_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
37,vulpix,vulpix,851,tera-blast,tera_blast_18,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
38,ninetales,ninetales,851,tera-blast,tera_blast_19,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
39,jigglypuff,jigglypuff,851,tera-blast,tera_blast_20,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
39,jigglypuff,jigglypuff,861,ice-spinner,ice_spinner_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/861/
39,jigglypuff,jigglypuff,885,trailblaze,trailblaze_8,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
39,jigglypuff,jigglypuff,886,chilling-water,chilling_water_6,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
39,jigglypuff,jigglypuff,914,alluring-voice,alluring_voice_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
39,jigglypuff,jigglypuff,917,psychic-noise,psychic_noise,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
40,wigglytuff,wigglytuff,851,tera-blast,tera_blast_21,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
40,wigglytuff,wigglytuff,861,ice-spinner,ice_spinner_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/861/
40,wigglytuff,wigglytuff,885,trailblaze,trailblaze_9,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
40,wigglytuff,wigglytuff,886,chilling-water,chilling_water_7,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
40,wigglytuff,wigglytuff,914,alluring-voice,alluring_voice_6,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/914/
40,wigglytuff,wigglytuff,917,psychic-noise,psychic_noise_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
43,oddish,oddish,851,tera-blast,tera_blast_22,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
43,oddish,oddish,885,trailblaze,trailblaze_10,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
44,gloom,gloom,851,tera-blast,tera_blast_23,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
44,gloom,gloom,885,trailblaze,trailblaze_11,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
45,vileplume,vileplume,851,tera-blast,tera_blast_24,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
45,vileplume,vileplume,885,trailblaze,trailblaze_12,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
48,venonat,venonat,851,tera-blast,tera_blast_25,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
48,venonat,venonat,884,pounce,pounce,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/884/
48,venonat,venonat,917,psychic-noise,psychic_noise_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
49,venomoth,venomoth,851,tera-blast,tera_blast_26,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
49,venomoth,venomoth,884,pounce,pounce_2,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/884/
49,venomoth,venomoth,917,psychic-noise,psychic_noise_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
50,diglett,diglett,851,tera-blast,tera_blast_27,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
51,dugtrio,dugtrio,851,tera-blast,tera_blast_28,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
52,meowth,meowth,851,tera-blast,tera_blast_29,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
52,meowth,meowth,885,trailblaze,trailblaze_13,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
52,meowth,meowth,886,chilling-water,chilling_water_8,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
53,persian,persian,851,tera-blast,tera_blast_30,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
53,persian,persian,885,trailblaze,trailblaze_14,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
53,persian,persian,886,chilling-water,chilling_water_9,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
54,psyduck,psyduck,851,tera-blast,tera_blast_31,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
54,psyduck,psyduck,885,trailblaze,trailblaze_15,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
54,psyduck,psyduck,886,chilling-water,chilling_water_10,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
54,psyduck,psyduck,917,psychic-noise,psychic_noise_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
55,golduck,golduck,851,tera-blast,tera_blast_32,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
55,golduck,golduck,885,trailblaze,trailblaze_16,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
55,golduck,golduck,886,chilling-water,chilling_water_11,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
55,golduck,golduck,917,psychic-noise,psychic_noise_6,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/917/
56,mankey,mankey,851,tera-blast,tera_blast_33,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
57,primeape,primeape,851,tera-blast,tera_blast_34,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
57,primeape,primeape,889,rage-fist,rage_fist,generation-ix,level-up,35,scarlet-violet,https://pokeapi.co/api/v2/move/889/
58,growlithe,growlithe,851,tera-blast,tera_blast_35,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
58,growlithe,growlithe,915,temper-flare,temper_flare_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/915/
59,arcanine,arcanine,851,tera-blast,tera_blast_36,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
59,arcanine,arcanine,915,temper-flare,temper_flare_5,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/915/
60,poliwag,poliwag,851,tera-blast,tera_blast_37,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
60,poliwag,poliwag,886,chilling-water,chilling_water_12,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
61,poliwhirl,poliwhirl,851,tera-blast,tera_blast_38,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
61,poliwhirl,poliwhirl,886,chilling-water,chilling_water_13,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
62,poliwrath,poliwrath,851,tera-blast,tera_blast_39,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
62,poliwrath,poliwrath,886,chilling-water,chilling_water_14,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/886/
62,poliwrath,poliwrath,918,upper-hand,upper_hand_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/918/
69,bellsprout,bellsprout,851,tera-blast,tera_blast_40,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
69,bellsprout,bellsprout,884,pounce,pounce_3,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/884/
69,bellsprout,bellsprout,885,trailblaze,trailblaze_17,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
70,weepinbell,weepinbell,851,tera-blast,tera_blast_41,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
70,weepinbell,weepinbell,884,pounce,pounce_4,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/884/
70,weepinbell,weepinbell,885,trailblaze,trailblaze_18,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/885/
71,victreebel,victreebel,851,tera-blast,tera_blast_42,generation-ix,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/851/
