pokemon_id,pokemon_name,pokemon_slug,move_id,move_name,move_slug,generation,learn_method,level,version_group,sourceUrl
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,egg,0,x-y,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,egg,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,egg,0,sun-moon,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,egg,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,machine,0,sword-shield,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,egg,0,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,580,grassy-terrain,grassy_terrain,generation-vi,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/580/
1,bulbasaur,bulbasaur,590,confide,confide,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/590/
1,bulbasaur,bulbasaur,590,confide,confide,generation-vi,machine,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/590/
1,bulbasaur,bulbasaur,590,confide,confide,generation-vi,machine,0,sun-moon,https://pokeapi.co/api/v2/move/590/
1,bulbasaur,bulbasaur,590,confide,confide,generation-vi,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/590/
2,ivysaur,ivysaur,580,grassy-terrain,grassy_terrain_2,generation-vi,machine,0,sword-shield,https://pokeapi.co/api/v2/move/580/
2,ivysaur,ivysaur,580,grassy-terrain,grassy_terrain_2,generation-vi,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/580/
2,ivysaur,ivysaur,590,confide,confide_2,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/590/
2,ivysaur,ivysaur,590,confide,confide_2,generation-vi,machine,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/590/
2,ivysaur,ivysaur,590,confide,confide_2,generation-vi,machine,0,sun-moon,https://pokeapi.co/api/v2/move/590/
2,ivysaur,ivysaur,590,confide,confide_2,generation-vi,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/590/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,50,x-y,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,50,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,50,sun-moon,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,50,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,0,sword-shield,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,1,sword-shield,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,0,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,1,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,level-up,0,scarlet-violet,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,572,petal-blizzard,petal_blizzard,generation-vi,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/572/
3,venusaur,venusaur,580,grassy-terrain,grassy_terrain_3,generation-vi,machine,0,sword-shield,https://pokeapi.co/api/v2/move/580/
3,venusaur,venusaur,580,grassy-terrain,grassy_terrain_3,generation-vi,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/580/
3,venusaur,venusaur,590,confide,confide_3,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/590/
3,venusaur,venusaur,590,confide,confide_3,generation-vi,machine,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/590/
3,venusaur,venusaur,590,confide,confide_3,generation-vi,machine,0,sun-moon,https://pokeapi.co/api/v2/move/590/
3,venusaur,venusaur,590,confide,confide_3,generation-vi,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/590/
4,charmander,charmander,590,confide,confide_4,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/590/
4,charmander,charmander,590,confide,confide_4,generation-vi,machine,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/590/
4,charmander,charmander,590,confide,confide_4,generation-vi,machine,0,sun-moon,https://pokeapi.co/api/v2/move/590/
4,charmander,charmander,590,confide,confide_4,generation-vi,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/590/
4,charmander,charmander,612,power-up-punch,power_up_punch,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/612/
4,charmander,charmander,612,power-up-punch,power_up_punch,generation-vi,machine,0,omega-ruby-alpha-sapphire,https://pokeapi.co/api/v2/move/612/
5,charmeleon,charmeleon,590,confide,confide_5,generation-vi,machine,0,x-y,https://pokeapi.co/api/v2/move/590/
