pokemon_id,pokemon_name,pokemon_slug,move_id,move_name,move_slug,generation,learn_method,level,version_group,sourceUrl
3,venusaur,venusaur,707,stomping-tantrum,stomping_tantrum,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
3,venusaur,venusaur,707,stomping-tantrum,stomping_tantrum,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
3,venusaur,venusaur,707,stomping-tantrum,stomping_tantrum,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/707/
6,charizard,charizard,693,brutal-swing,brutal_swing,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/693/
6,charizard,charizard,693,brutal-swing,brutal_swing,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/693/
6,charizard,charizard,693,brutal-swing,brutal_swing,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/693/
7,squirtle,squirtle,710,liquidation,liquidation,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/710/
8,wartortle,wartortle,710,liquidation,liquidation_2,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/710/
9,blastoise,blastoise,710,liquidation,liquidation_3,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/710/
9,blastoise,blastoise,710,liquidation,liquidation_3,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/710/
9,blastoise,blastoise,710,liquidation,liquidation_3,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/710/
12,butterfree,butterfree,676,pollen-puff,pollen_puff,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/676/
15,beedrill,beedrill,673,laser-focus,laser_focus,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
15,beedrill,beedrill,673,laser-focus,laser_focus,generation-vii,level-up,14,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/673/
15,beedrill,beedrill,675,throat-chop,throat_chop,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
15,beedrill,beedrill,693,brutal-swing,brutal_swing_2,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/693/
15,beedrill,beedrill,693,brutal-swing,brutal_swing_2,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/693/
18,pidgeot,pidgeot,673,laser-focus,laser_focus_2,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
19,rattata,rattata,673,laser-focus,laser_focus_3,generation-vii,level-up,13,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/673/
20,raticate,raticate,673,laser-focus,laser_focus_4,generation-vii,level-up,13,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/673/
20,raticate,raticate,675,throat-chop,throat_chop_2,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
20,raticate,raticate,707,stomping-tantrum,stomping_tantrum_2,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
22,fearow,fearow,673,laser-focus,laser_focus_5,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
22,fearow,fearow,675,throat-chop,throat_chop_3,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
23,ekans,ekans,693,brutal-swing,brutal_swing_3,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/693/
23,ekans,ekans,693,brutal-swing,brutal_swing_3,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/693/
23,ekans,ekans,706,psychic-fangs,psychic_fangs,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/706/
24,arbok,arbok,675,throat-chop,throat_chop_4,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
24,arbok,arbok,675,throat-chop,throat_chop_4,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/675/
24,arbok,arbok,693,brutal-swing,brutal_swing_4,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/693/
24,arbok,arbok,693,brutal-swing,brutal_swing_4,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/693/
24,arbok,arbok,706,psychic-fangs,psychic_fangs_2,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/706/
24,arbok,arbok,707,stomping-tantrum,stomping_tantrum_3,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
24,arbok,arbok,707,stomping-tantrum,stomping_tantrum_3,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/707/
25,pikachu,pikachu,673,laser-focus,laser_focus_6,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
26,raichu,raichu,673,laser-focus,laser_focus_7,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
26,raichu,raichu,683,speed-swap,speed_swap,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/683/
26,raichu,raichu,693,brutal-swing,brutal_swing_5,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/693/
27,sandshrew,sandshrew,667,high-horsepower,high_horsepower,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/667/
27,sandshrew,sandshrew,675,throat-chop,throat_chop_5,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/675/
27,sandshrew,sandshrew,675,throat-chop,throat_chop_5,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/675/
27,sandshrew,sandshrew,707,stomping-tantrum,stomping_tantrum_4,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
27,sandshrew,sandshrew,707,stomping-tantrum,stomping_tantrum_4,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
27,sandshrew,sandshrew,707,stomping-tantrum,stomping_tantrum_4,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/707/
28,sandslash,sandslash,667,high-horsepower,high_horsepower_2,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/667/
28,sandslash,sandslash,675,throat-chop,throat_chop_6,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/675/
28,sandslash,sandslash,675,throat-chop,throat_chop_6,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/675/
28,sandslash,sandslash,707,stomping-tantrum,stomping_tantrum_5,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
28,sandslash,sandslash,707,stomping-tantrum,stomping_tantrum_5,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
28,sandslash,sandslash,707,stomping-tantrum,stomping_tantrum_5,generation-vii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/707/
30,nidorina,nidorina,707,stomping-tantrum,stomping_tantrum_6,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
30,nidorina,nidorina,707,stomping-tantrum,stomping_tantrum_6,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
31,nidoqueen,nidoqueen,667,high-horsepower,high_horsepower_3,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/667/
31,nidoqueen,nidoqueen,675,throat-chop,throat_chop_7,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
31,nidoqueen,nidoqueen,675,throat-chop,throat_chop_7,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/675/
31,nidoqueen,nidoqueen,707,stomping-tantrum,stomping_tantrum_7,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
31,nidoqueen,nidoqueen,707,stomping-tantrum,stomping_tantrum_7,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
32,nidoran-m,nidoran_m,684,smart-strike,smart_strike,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/684/
32,nidoran-m,nidoran_m,684,smart-strike,smart_strike,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/684/
32,nidoran-m,nidoran_m,684,smart-strike,smart_strike,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/684/
33,nidorino,nidorino,684,smart-strike,smart_strike_2,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/684/
33,nidorino,nidorino,684,smart-strike,smart_strike_2,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/684/
33,nidorino,nidorino,684,smart-strike,smart_strike_2,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/684/
33,nidorino,nidorino,707,stomping-tantrum,stomping_tantrum_8,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
33,nidorino,nidorino,707,stomping-tantrum,stomping_tantrum_8,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
34,nidoking,nidoking,667,high-horsepower,high_horsepower_4,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/667/
34,nidoking,nidoking,675,throat-chop,throat_chop_8,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/675/
34,nidoking,nidoking,675,throat-chop,throat_chop_8,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/675/
34,nidoking,nidoking,684,smart-strike,smart_strike_3,generation-vii,machine,0,sun-moon,https://pokeapi.co/api/v2/move/684/
34,nidoking,nidoking,684,smart-strike,smart_strike_3,generation-vii,machine,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/684/
34,nidoking,nidoking,684,smart-strike,smart_strike_3,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/684/
34,nidoking,nidoking,707,stomping-tantrum,stomping_tantrum_9,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/707/
34,nidoking,nidoking,707,stomping-tantrum,stomping_tantrum_9,generation-vii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/707/
35,clefairy,clefairy,671,spotlight,spotlight,generation-vii,level-up,1,sun-moon,https://pokeapi.co/api/v2/move/671/
35,clefairy,clefairy,671,spotlight,spotlight,generation-vii,level-up,1,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/671/
36,clefable,clefable,671,spotlight,spotlight_2,generation-vii,level-up,1,sun-moon,https://pokeapi.co/api/v2/move/671/
36,clefable,clefable,671,spotlight,spotlight_2,generation-vii,level-up,1,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/671/
36,clefable,clefable,673,laser-focus,laser_focus_8,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
38,ninetales,ninetales,673,laser-focus,laser_focus_9,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
40,wigglytuff,wigglytuff,673,laser-focus,laser_focus_10,generation-vii,tutor,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/673/
43,oddish,oddish,668,strength-sap,strength_sap,generation-vii,egg,0,ultra-sun-ultra-moon,https://pokeapi.co/api/v2/move/668/
