pokemon_id,pokemon_name,pokemon_slug,move_id,move_name,move_slug,generation,learn_method,level,version_group,sourceUrl
1,bulbasaur,bulbasaur,803,grassy-glide,grassy_glide,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/803/
1,bulbasaur,bulbasaur,803,grassy-glide,grassy_glide,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/803/
2,ivysaur,ivysaur,803,grassy-glide,grassy_glide_2,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/803/
2,ivysaur,ivysaur,803,grassy-glide,grassy_glide_2,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/803/
3,venusaur,venusaur,803,grassy-glide,grassy_glide_3,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/803/
3,venusaur,venusaur,803,grassy-glide,grassy_glide_3,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/803/
3,venusaur,venusaur,805,terrain-pulse,terrain_pulse,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/805/
4,charmander,charmander,784,breaking-swipe,breaking_swipe,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/784/
5,charmeleon,charmeleon,784,breaking-swipe,breaking_swipe_2,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/784/
6,charizard,charizard,784,breaking-swipe,breaking_swipe_3,generation-viii,machine,0,sword-shield,https://pokeapi.co/api/v2/move/784/
6,charizard,charizard,784,breaking-swipe,breaking_swipe_3,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/784/
6,charizard,charizard,799,scale-shot,scale_shot,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/799/
6,charizard,charizard,814,dual-wingbeat,dual_wingbeat,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/814/
6,charizard,charizard,815,scorching-sands,scorching_sands,generation-viii,tutor,0,sword-shield,https://pokeapi.co/api/v2/move/815/
6,charizard,charizard,815,scorching-sands,scorching_sands,generation-viii,machine,0,scarlet-violet,https://pokeapi.co/api/v2/move/815/
7,squirtle,squirtle,791,life-dew,life_dew,generation-viii,egg,0,sword-shield,https://pokeapi.co/api/v2/move/791/
7,squirtle,squirtle,791,life-dew,life_dew,generation-viii,egg,0,brilliant-diamond-and-shining-pearl,https://pokeapi.co/api/v2/move/791/
7,squirtle,squirtle,791,life-dew,life_dew,generation-viii,egg,0,scarlet-violet,https://pokeapi.co/api/v2/move/791/
