pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-i,yellow,front_default,pokemon/bulbasaur/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/1.png
2,ivysaur,ivysaur,generation-i,yellow,front_default,pokemon/ivysaur/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/2.png
3,venusaur,venusaur,generation-i,yellow,front_default,pokemon/venusaur/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/3.png
4,charmander,charmander,generation-i,yellow,front_default,pokemon/charmander/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/4.png
5,charmeleon,charmeleon,generation-i,yellow,front_default,pokemon/charmeleon/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/5.png
6,charizard,charizard,generation-i,yellow,front_default,pokemon/charizard/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/6.png
7,squirtle,squirtle,generation-i,yellow,front_default,pokemon/squirtle/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/7.png
8,wartortle,wartortle,generation-i,yellow,front_default,pokemon/wartortle/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/8.png
9,blastoise,blastoise,generation-i,yellow,front_default,pokemon/blastoise/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/9.png
10,caterpie,caterpie,generation-i,yellow,front_default,pokemon/caterpie/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/10.png
11,metapod,metapod,generation-i,yellow,front_default,pokemon/metapod/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/11.png
12,butterfree,butterfree,generation-i,yellow,front_default,pokemon/butterfree/images/geni_yellow_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-i/yellow/12.png
