pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-ii,crystal,front_default,pokemon/bulbasaur/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/1.png
2,ivysaur,ivysaur,generation-ii,crystal,front_default,pokemon/ivysaur/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/2.png
3,venusaur,venusaur,generation-ii,crystal,front_default,pokemon/venusaur/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/3.png
4,charmander,charmander,generation-ii,crystal,front_default,pokemon/charmander/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/4.png
5,charmeleon,charmeleon,generation-ii,crystal,front_default,pokemon/charmeleon/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/5.png
6,charizard,charizard,generation-ii,crystal,front_default,pokemon/charizard/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/6.png
7,squirtle,squirtle,generation-ii,crystal,front_default,pokemon/squirtle/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/7.png
8,wartortle,wartortle,generation-ii,crystal,front_default,pokemon/wartortle/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/8.png
9,blastoise,blastoise,generation-ii,crystal,front_default,pokemon/blastoise/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/9.png
10,caterpie,caterpie,generation-ii,crystal,front_default,pokemon/caterpie/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/10.png
11,metapod,metapod,generation-ii,crystal,front_default,pokemon/metapod/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/11.png
12,butterfree,butterfree,generation-ii,crystal,front_default,pokemon/butterfree/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/12.png
13,weedle,weedle,generation-ii,crystal,front_default,pokemon/weedle/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/13.png
14,kakuna,kakuna,generation-ii,crystal,front_default,pokemon/kakuna/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/14.png
15,beedrill,beedrill,generation-ii,crystal,front_default,pokemon/beedrill/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/15.png
16,pidgey,pidgey,generation-ii,crystal,front_default,pokemon/pidgey/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/16.png
17,pidgeotto,pidgeotto,generation-ii,crystal,front_default,pokemon/pidgeotto/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/17.png
18,pidgeot,pidgeot,generation-ii,crystal,front_default,pokemon/pidgeot/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/18.png
19,rattata,rattata,generation-ii,crystal,front_default,pokemon/rattata/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/19.png
20,raticate,raticate,generation-ii,crystal,front_default,pokemon/raticate/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/20.png
21,spearow,spearow,generation-ii,crystal,front_default,pokemon/spearow/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/21.png
22,fearow,fearow,generation-ii,crystal,front_default,pokemon/fearow/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/22.png
23,ekans,ekans,generation-ii,crystal,front_default,pokemon/ekans/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/23.png
24,arbok,arbok,generation-ii,crystal,front_default,pokemon/arbok/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/24.png
25,pikachu,pikachu,generation-ii,crystal,front_default,pokemon/pikachu/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/25.png
26,raichu,raichu,generation-ii,crystal,front_default,pokemon/raichu/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/26.png
27,sandshrew,sandshrew,generation-ii,crystal,front_default,pokemon/sandshrew/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/27.png
28,sandslash,sandslash,generation-ii,crystal,front_default,pokemon/sandslash/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/28.png
29,nidoran-f,nidoran_f,generation-ii,crystal,front_default,pokemon/nidoran_f/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/29.png
30,nidorina,nidorina,generation-ii,crystal,front_default,pokemon/nidorina/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/30.png
31,nidoqueen,nidoqueen,generation-ii,crystal,front_default,pokemon/nidoqueen/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/31.png
32,nidoran-m,nidoran_m,generation-ii,crystal,front_default,pokemon/nidoran_m/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/32.png
33,nidorino,nidorino,generation-ii,crystal,front_default,pokemon/nidorino/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/33.png
34,nidoking,nidoking,generation-ii,crystal,front_default,pokemon/nidoking/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/34.png
35,clefairy,clefairy,generation-ii,crystal,front_default,pokemon/clefairy/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/35.png
36,clefable,clefable,generation-ii,crystal,front_default,pokemon/clefable/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/36.png
37,vulpix,vulpix,generation-ii,crystal,front_default,pokemon/vulpix/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/37.png
38,ninetales,ninetales,generation-ii,crystal,front_default,pokemon/ninetales/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/38.png
39,jigglypuff,jigglypuff,generation-ii,crystal,front_default,pokemon/jigglypuff/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/39.png
40,wigglytuff,wigglytuff,generation-ii,crystal,front_default,pokemon/wigglytuff/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/40.png
41,zubat,zubat,generation-ii,crystal,front_default,pokemon/zubat/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/41.png
42,golbat,golbat,generation-ii,crystal,front_default,pokemon/golbat/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/42.png
43,oddish,oddish,generation-ii,crystal,front_default,pokemon/oddish/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/43.png
44,gloom,gloom,generation-ii,crystal,front_default,pokemon/gloom/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/44.png
45,vileplume,vileplume,generation-ii,crystal,front_default,pokemon/vileplume/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/45.png
46,paras,paras,generation-ii,crystal,front_default,pokemon/paras/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/46.png
47,parasect,parasect,generation-ii,crystal,front_default,pokemon/parasect/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/47.png
48,venonat,venonat,generation-ii,crystal,front_default,pokemon/venonat/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/48.png
49,venomoth,venomoth,generation-ii,crystal,front_default,pokemon/venomoth/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/49.png
50,diglett,diglett,generation-ii,crystal,front_default,pokemon/diglett/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/50.png
51,dugtrio,dugtrio,generation-ii,crystal,front_default,pokemon/dugtrio/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/51.png
52,meowth,meowth,generation-ii,crystal,front_default,pokemon/meowth/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/52.png
53,persian,persian,generation-ii,crystal,front_default,pokemon/persian/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/53.png
54,psyduck,psyduck,generation-ii,crystal,front_default,pokemon/psyduck/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/54.png
55,golduck,golduck,generation-ii,crystal,front_default,pokemon/golduck/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/55.png
56,mankey,mankey,generation-ii,crystal,front_default,pokemon/mankey/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/56.png
57,primeape,primeape,generation-ii,crystal,front_default,pokemon/primeape/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/57.png
58,growlithe,growlithe,generation-ii,crystal,front_default,pokemon/growlithe/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/58.png
59,arcanine,arcanine,generation-ii,crystal,front_default,pokemon/arcanine/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/59.png
60,poliwag,poliwag,generation-ii,crystal,front_default,pokemon/poliwag/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/60.png
61,poliwhirl,poliwhirl,generation-ii,crystal,front_default,pokemon/poliwhirl/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/61.png
62,poliwrath,poliwrath,generation-ii,crystal,front_default,pokemon/poliwrath/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/62.png
63,abra,abra,generation-ii,crystal,front_default,pokemon/abra/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/63.png
64,kadabra,kadabra,generation-ii,crystal,front_default,pokemon/kadabra/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/64.png
65,alakazam,alakazam,generation-ii,crystal,front_default,pokemon/alakazam/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/65.png
66,machop,machop,generation-ii,crystal,front_default,pokemon/machop/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/66.png
67,machoke,machoke,generation-ii,crystal,front_default,pokemon/machoke/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/67.png
68,machamp,machamp,generation-ii,crystal,front_default,pokemon/machamp/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/68.png
69,bellsprout,bellsprout,generation-ii,crystal,front_default,pokemon/bellsprout/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/69.png
70,weepinbell,weepinbell,generation-ii,crystal,front_default,pokemon/weepinbell/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/70.png
71,victreebel,victreebel,generation-ii,crystal,front_default,pokemon/victreebel/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/71.png
72,tentacool,tentacool,generation-ii,crystal,front_default,pokemon/tentacool/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/72.png
73,tentacruel,tentacruel,generation-ii,crystal,front_default,pokemon/tentacruel/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/73.png
74,geodude,geodude,generation-ii,crystal,front_default,pokemon/geodude/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/74.png
75,graveler,graveler,generation-ii,crystal,front_default,pokemon/graveler/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/75.png
76,golem,golem,generation-ii,crystal,front_default,pokemon/golem/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/76.png
77,ponyta,ponyta,generation-ii,crystal,front_default,pokemon/ponyta/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/77.png
78,rapidash,rapidash,generation-ii,crystal,front_default,pokemon/rapidash/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/78.png
79,slowpoke,slowpoke,generation-ii,crystal,front_default,pokemon/slowpoke/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/79.png
80,slowbro,slowbro,generation-ii,crystal,front_default,pokemon/slowbro/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/80.png
81,magnemite,magnemite,generation-ii,crystal,front_default,pokemon/magnemite/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/81.png
82,magneton,magneton,generation-ii,crystal,front_default,pokemon/magneton/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/82.png
83,farfetchd,farfetchd,generation-ii,crystal,front_default,pokemon/farfetchd/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/83.png
84,doduo,doduo,generation-ii,crystal,front_default,pokemon/doduo/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/84.png
85,dodrio,dodrio,generation-ii,crystal,front_default,pokemon/dodrio/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/85.png
86,seel,seel,generation-ii,crystal,front_default,pokemon/seel/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/86.png
87,dewgong,dewgong,generation-ii,crystal,front_default,pokemon/dewgong/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/87.png
88,grimer,grimer,generation-ii,crystal,front_default,pokemon/grimer/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/88.png
89,muk,muk,generation-ii,crystal,front_default,pokemon/muk/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/89.png
90,shellder,shellder,generation-ii,crystal,front_default,pokemon/shellder/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/90.png
91,cloyster,cloyster,generation-ii,crystal,front_default,pokemon/cloyster/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/91.png
92,gastly,gastly,generation-ii,crystal,front_default,pokemon/gastly/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/92.png
93,haunter,haunter,generation-ii,crystal,front_default,pokemon/haunter/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/93.png
94,gengar,gengar,generation-ii,crystal,front_default,pokemon/gengar/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/94.png
95,onix,onix,generation-ii,crystal,front_default,pokemon/onix/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/95.png
96,drowzee,drowzee,generation-ii,crystal,front_default,pokemon/drowzee/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/96.png
97,hypno,hypno,generation-ii,crystal,front_default,pokemon/hypno/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/97.png
98,krabby,krabby,generation-ii,crystal,front_default,pokemon/krabby/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/98.png
99,kingler,kingler,generation-ii,crystal,front_default,pokemon/kingler/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/99.png
100,voltorb,voltorb,generation-ii,crystal,front_default,pokemon/voltorb/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/100.png
101,electrode,electrode,generation-ii,crystal,front_default,pokemon/electrode/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/101.png
102,exeggcute,exeggcute,generation-ii,crystal,front_default,pokemon/exeggcute/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/102.png
103,exeggutor,exeggutor,generation-ii,crystal,front_default,pokemon/exeggutor/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/103.png
104,cubone,cubone,generation-ii,crystal,front_default,pokemon/cubone/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/104.png
105,marowak,marowak,generation-ii,crystal,front_default,pokemon/marowak/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/105.png
106,hitmonlee,hitmonlee,generation-ii,crystal,front_default,pokemon/hitmonlee/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/106.png
107,hitmonchan,hitmonchan,generation-ii,crystal,front_default,pokemon/hitmonchan/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/107.png
108,lickitung,lickitung,generation-ii,crystal,front_default,pokemon/lickitung/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/108.png
109,koffing,koffing,generation-ii,crystal,front_default,pokemon/koffing/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/109.png
110,weezing,weezing,generation-ii,crystal,front_default,pokemon/weezing/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/110.png
111,rhyhorn,rhyhorn,generation-ii,crystal,front_default,pokemon/rhyhorn/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/111.png
112,rhydon,rhydon,generation-ii,crystal,front_default,pokemon/rhydon/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/112.png
113,chansey,chansey,generation-ii,crystal,front_default,pokemon/chansey/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/113.png
114,tangela,tangela,generation-ii,crystal,front_default,pokemon/tangela/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/114.png
115,kangaskhan,kangaskhan,generation-ii,crystal,front_default,pokemon/kangaskhan/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/115.png
116,horsea,horsea,generation-ii,crystal,front_default,pokemon/horsea/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/116.png
117,seadra,seadra,generation-ii,crystal,front_default,pokemon/seadra/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/117.png
118,goldeen,goldeen,generation-ii,crystal,front_default,pokemon/goldeen/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/118.png
119,seaking,seaking,generation-ii,crystal,front_default,pokemon/seaking/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/119.png
120,staryu,staryu,generation-ii,crystal,front_default,pokemon/staryu/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/120.png
121,starmie,starmie,generation-ii,crystal,front_default,pokemon/starmie/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/121.png
122,mr-mime,mr_mime,generation-ii,crystal,front_default,pokemon/mr_mime/images/genii_crystal_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-ii/crystal/122.png
