pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-iii,emerald,front_default,pokemon/bulbasaur/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/1.png
2,ivysaur,ivysaur,generation-iii,emerald,front_default,pokemon/ivysaur/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/2.png
3,venusaur,venusaur,generation-iii,emerald,front_default,pokemon/venusaur/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/3.png
4,charmander,charmander,generation-iii,emerald,front_default,pokemon/charmander/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/4.png
5,charmeleon,charmeleon,generation-iii,emerald,front_default,pokemon/charmeleon/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/5.png
6,charizard,charizard,generation-iii,emerald,front_default,pokemon/charizard/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/6.png
7,squirtle,squirtle,generation-iii,emerald,front_default,pokemon/squirtle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/7.png
8,wartortle,wartortle,generation-iii,emerald,front_default,pokemon/wartortle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/8.png
9,blastoise,blastoise,generation-iii,emerald,front_default,pokemon/blastoise/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/9.png
10,caterpie,caterpie,generation-iii,emerald,front_default,pokemon/caterpie/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/10.png
11,metapod,metapod,generation-iii,emerald,front_default,pokemon/metapod/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/11.png
12,butterfree,butterfree,generation-iii,emerald,front_default,pokemon/butterfree/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/12.png
13,weedle,weedle,generation-iii,emerald,front_default,pokemon/weedle/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/13.png
14,kakuna,kakuna,generation-iii,emerald,front_default,pokemon/kakuna/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/14.png
15,beedrill,beedrill,generation-iii,emerald,front_default,pokemon/beedrill/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/15.png
16,pidgey,pidgey,generation-iii,emerald,front_default,pokemon/pidgey/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/16.png
17,pidgeotto,pidgeotto,generation-iii,emerald,front_default,pokemon/pidgeotto/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/17.png
18,pidgeot,pidgeot,generation-iii,emerald,front_default,pokemon/pidgeot/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/18.png
19,rattata,rattata,generation-iii,emerald,front_default,pokemon/rattata/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/19.png
20,raticate,raticate,generation-iii,emerald,front_default,pokemon/raticate/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/20.png
21,spearow,spearow,generation-iii,emerald,front_default,pokemon/spearow/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/21.png
22,fearow,fearow,generation-iii,emerald,front_default,pokemon/fearow/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/22.png
23,ekans,ekans,generation-iii,emerald,front_default,pokemon/ekans/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/23.png
24,arbok,arbok,generation-iii,emerald,front_default,pokemon/arbok/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/24.png
25,pikachu,pikachu,generation-iii,emerald,front_default,pokemon/pikachu/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/25.png
26,raichu,raichu,generation-iii,emerald,front_default,pokemon/raichu/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/26.png
27,sandshrew,sandshrew,generation-iii,emerald,front_default,pokemon/sandshrew/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/27.png
28,sandslash,sandslash,generation-iii,emerald,front_default,pokemon/sandslash/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/28.png
29,nidoran-f,nidoran_f,generation-iii,emerald,front_default,pokemon/nidoran_f/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/29.png
30,nidorina,nidorina,generation-iii,emerald,front_default,pokemon/nidorina/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/30.png
31,nidoqueen,nidoqueen,generation-iii,emerald,front_default,pokemon/nidoqueen/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/31.png
32,nidoran-m,nidoran_m,generation-iii,emerald,front_default,pokemon/nidoran_m/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/32.png
33,nidorino,nidorino,generation-iii,emerald,front_default,pokemon/nidorino/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/33.png
34,nidoking,nidoking,generation-iii,emerald,front_default,pokemon/nidoking/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/34.png
35,clefairy,clefairy,generation-iii,emerald,front_default,pokemon/clefairy/images/geniii_emerald_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iii/emerald/35.png
