pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-iv,heartgold-soulsilver,front_default,pokemon/bulbasaur/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/1.png
2,ivysaur,ivysaur,generation-iv,heartgold-soulsilver,front_default,pokemon/ivysaur/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/2.png
3,venusaur,venusaur,generation-iv,heartgold-soulsilver,front_default,pokemon/venusaur/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/3.png
4,charmander,charmander,generation-iv,heartgold-soulsilver,front_default,pokemon/charmander/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/4.png
5,charmeleon,charmeleon,generation-iv,heartgold-soulsilver,front_default,pokemon/charmeleon/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/5.png
6,charizard,charizard,generation-iv,heartgold-soulsilver,front_default,pokemon/charizard/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/6.png
7,squirtle,squirtle,generation-iv,heartgold-soulsilver,front_default,pokemon/squirtle/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/7.png
8,wartortle,wartortle,generation-iv,heartgold-soulsilver,front_default,pokemon/wartortle/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/8.png
9,blastoise,blastoise,generation-iv,heartgold-soulsilver,front_default,pokemon/blastoise/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/9.png
10,caterpie,caterpie,generation-iv,heartgold-soulsilver,front_default,pokemon/caterpie/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/10.png
11,metapod,metapod,generation-iv,heartgold-soulsilver,front_default,pokemon/metapod/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/11.png
12,butterfree,butterfree,generation-iv,heartgold-soulsilver,front_default,pokemon/butterfree/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/12.png
13,weedle,weedle,generation-iv,heartgold-soulsilver,front_default,pokemon/weedle/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/13.png
14,kakuna,kakuna,generation-iv,heartgold-soulsilver,front_default,pokemon/kakuna/images/geniv_heartgold-soulsilver_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-iv/heartgold-soulsilver/14.png
