pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-v,black-white,front_default,pokemon/bulbasaur/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/1.png
2,ivysaur,ivysaur,generation-v,black-white,front_default,pokemon/ivysaur/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/2.png
3,venusaur,venusaur,generation-v,black-white,front_default,pokemon/venusaur/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/3.png
4,charmander,charmander,generation-v,black-white,front_default,pokemon/charmander/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/4.png
5,charmeleon,charmeleon,generation-v,black-white,front_default,pokemon/charmeleon/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/5.png
6,charizard,charizard,generation-v,black-white,front_default,pokemon/charizard/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/6.png
7,squirtle,squirtle,generation-v,black-white,front_default,pokemon/squirtle/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/7.png
8,wartortle,wartortle,generation-v,black-white,front_default,pokemon/wartortle/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/8.png
9,blastoise,blastoise,generation-v,black-white,front_default,pokemon/blastoise/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/9.png
10,caterpie,caterpie,generation-v,black-white,front_default,pokemon/caterpie/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/10.png
11,metapod,metapod,generation-v,black-white,front_default,pokemon/metapod/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/11.png
12,butterfree,butterfree,generation-v,black-white,front_default,pokemon/butterfree/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/12.png
13,weedle,weedle,generation-v,black-white,front_default,pokemon/weedle/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/13.png
14,kakuna,kakuna,generation-v,black-white,front_default,pokemon/kakuna/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/14.png
15,beedrill,beedrill,generation-v,black-white,front_default,pokemon/beedrill/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/15.png
16,pidgey,pidgey,generation-v,black-white,front_default,pokemon/pidgey/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/16.png
17,pidgeotto,pidgeotto,generation-v,black-white,front_default,pokemon/pidgeotto/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/17.png
18,pidgeot,pidgeot,generation-v,black-white,front_default,pokemon/pidgeot/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/18.png
19,rattata,rattata,generation-v,black-white,front_default,pokemon/rattata/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/19.png
20,raticate,raticate,generation-v,black-white,front_default,pokemon/raticate/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/20.png
21,spearow,spearow,generation-v,black-white,front_default,pokemon/spearow/images/genv_black-white_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-v/black-white/21.png
