pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-vi,x-y,front_default,pokemon/bulbasaur/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/1.png
2,ivysaur,ivysaur,generation-vi,x-y,front_default,pokemon/ivysaur/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/2.png
3,venusaur,venusaur,generation-vi,x-y,front_default,pokemon/venusaur/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/3.png
4,charmander,charmander,generation-vi,x-y,front_default,pokemon/charmander/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/4.png
5,charmeleon,charmeleon,generation-vi,x-y,front_default,pokemon/charmeleon/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/5.png
6,charizard,charizard,generation-vi,x-y,front_default,pokemon/charizard/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/6.png
7,squirtle,squirtle,generation-vi,x-y,front_default,pokemon/squirtle/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/7.png
8,wartortle,wartortle,generation-vi,x-y,front_default,pokemon/wartortle/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/8.png
9,blastoise,blastoise,generation-vi,x-y,front_default,pokemon/blastoise/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/9.png
10,caterpie,caterpie,generation-vi,x-y,front_default,pokemon/caterpie/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/10.png
11,metapod,metapod,generation-vi,x-y,front_default,pokemon/metapod/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/11.png
12,butterfree,butterfree,generation-vi,x-y,front_default,pokemon/butterfree/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/12.png
13,weedle,weedle,generation-vi,x-y,front_default,pokemon/weedle/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/13.png
14,kakuna,kakuna,generation-vi,x-y,front_default,pokemon/kakuna/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/14.png
15,beedrill,beedrill,generation-vi,x-y,front_default,pokemon/beedrill/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/15.png
16,pidgey,pidgey,generation-vi,x-y,front_default,pokemon/pidgey/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/16.png
17,pidgeotto,pidgeotto,generation-vi,x-y,front_default,pokemon/pidgeotto/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/17.png
18,pidgeot,pidgeot,generation-vi,x-y,front_default,pokemon/pidgeot/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/18.png
19,rattata,rattata,generation-vi,x-y,front_default,pokemon/rattata/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/19.png
20,raticate,raticate,generation-vi,x-y,front_default,pokemon/raticate/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/20.png
21,spearow,spearow,generation-vi,x-y,front_default,pokemon/spearow/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/21.png
22,fearow,fearow,generation-vi,x-y,front_default,pokemon/fearow/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/22.png
23,ekans,ekans,generation-vi,x-y,front_default,pokemon/ekans/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/23.png
24,arbok,arbok,generation-vi,x-y,front_default,pokemon/arbok/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/24.png
25,pikachu,pikachu,generation-vi,x-y,front_default,pokemon/pikachu/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/25.png
26,raichu,raichu,generation-vi,x-y,front_default,pokemon/raichu/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/26.png
27,sandshrew,sandshrew,generation-vi,x-y,front_default,pokemon/sandshrew/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/27.png
28,sandslash,sandslash,generation-vi,x-y,front_default,pokemon/sandslash/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/28.png
29,nidoran-f,nidoran_f,generation-vi,x-y,front_default,pokemon/nidoran_f/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/29.png
30,nidorina,nidorina,generation-vi,x-y,front_default,pokemon/nidorina/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/30.png
31,nidoqueen,nidoqueen,generation-vi,x-y,front_default,pokemon/nidoqueen/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/31.png
32,nidoran-m,nidoran_m,generation-vi,x-y,front_default,pokemon/nidoran_m/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/32.png
33,nidorino,nidorino,generation-vi,x-y,front_default,pokemon/nidorino/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/33.png
34,nidoking,nidoking,generation-vi,x-y,front_default,pokemon/nidoking/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/34.png
35,clefairy,clefairy,generation-vi,x-y,front_default,pokemon/clefairy/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/35.png
36,clefable,clefable,generation-vi,x-y,front_default,pokemon/clefable/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/36.png
37,vulpix,vulpix,generation-vi,x-y,front_default,pokemon/vulpix/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/37.png
38,ninetales,ninetales,generation-vi,x-y,front_default,pokemon/ninetales/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/38.png
39,jigglypuff,jigglypuff,generation-vi,x-y,front_default,pokemon/jigglypuff/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/39.png
40,wigglytuff,wigglytuff,generation-vi,x-y,front_default,pokemon/wigglytuff/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/40.png
41,zubat,zubat,generation-vi,x-y,front_default,pokemon/zubat/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/41.png
42,golbat,golbat,generation-vi,x-y,front_default,pokemon/golbat/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/42.png
43,oddish,oddish,generation-vi,x-y,front_default,pokemon/oddish/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/43.png
44,gloom,gloom,generation-vi,x-y,front_default,pokemon/gloom/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/44.png
45,vileplume,vileplume,generation-vi,x-y,front_default,pokemon/vileplume/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/45.png
46,paras,paras,generation-vi,x-y,front_default,pokemon/paras/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/46.png
47,parasect,parasect,generation-vi,x-y,front_default,pokemon/parasect/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/47.png
48,venonat,venonat,generation-vi,x-y,front_default,pokemon/venonat/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/48.png
49,venomoth,venomoth,generation-vi,x-y,front_default,pokemon/venomoth/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/49.png
50,diglett,diglett,generation-vi,x-y,front_default,pokemon/diglett/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/50.png
51,dugtrio,dugtrio,generation-vi,x-y,front_default,pokemon/dugtrio/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/51.png
52,meowth,meowth,generation-vi,x-y,front_default,pokemon/meowth/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/52.png
53,persian,persian,generation-vi,x-y,front_default,pokemon/persian/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/53.png
54,psyduck,psyduck,generation-vi,x-y,front_default,pokemon/psyduck/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/54.png
55,golduck,golduck,generation-vi,x-y,front_default,pokemon/golduck/images/genvi_x-y_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vi/x-y/55.png
