pokemon_id,pokemon_name,pokemon_slug,generation,game,sprite_kind,image,sourceUrl
1,bulbasaur,bulbasaur,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/bulbasaur/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/1.png
2,ivysaur,ivysaur,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/ivysaur/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/2.png
3,venusaur,venusaur,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/venusaur/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/3.png
4,charmander,charmander,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/charmander/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/4.png
5,charmeleon,charmeleon,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/charmeleon/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/5.png
6,charizard,charizard,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/charizard/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/6.png
7,squirtle,squirtle,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/squirtle/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/7.png
8,wartortle,wartortle,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/wartortle/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/8.png
9,blastoise,blastoise,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/blastoise/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/9.png
10,caterpie,caterpie,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/caterpie/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/10.png
11,metapod,metapod,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/metapod/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/11.png
12,butterfree,butterfree,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/butterfree/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/12.png
13,weedle,weedle,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/weedle/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/13.png
14,kakuna,kakuna,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/kakuna/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/14.png
15,beedrill,beedrill,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/beedrill/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/15.png
16,pidgey,pidgey,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/pidgey/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/16.png
17,pidgeotto,pidgeotto,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/pidgeotto/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/17.png
18,pidgeot,pidgeot,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/pidgeot/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/18.png
19,rattata,rattata,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/rattata/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/19.png
20,raticate,raticate,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/raticate/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/20.png
21,spearow,spearow,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/spearow/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/21.png
22,fearow,fearow,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/fearow/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/22.png
23,ekans,ekans,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/ekans/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/23.png
24,arbok,arbok,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/arbok/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/24.png
25,pikachu,pikachu,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/pikachu/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/25.png
26,raichu,raichu,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/raichu/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/26.png
27,sandshrew,sandshrew,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/sandshrew/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/27.png
28,sandslash,sandslash,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/sandslash/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/28.png
29,nidoran-f,nidoran_f,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidoran_f/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/29.png
30,nidorina,nidorina,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidorina/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/30.png
31,nidoqueen,nidoqueen,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidoqueen/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/31.png
32,nidoran-m,nidoran_m,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidoran_m/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/32.png
33,nidorino,nidorino,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidorino/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/33.png
34,nidoking,nidoking,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/nidoking/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/34.png
35,clefairy,clefairy,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/clefairy/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/35.png
36,clefable,clefable,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/clefable/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/36.png
37,vulpix,vulpix,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/vulpix/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/37.png
38,ninetales,ninetales,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/ninetales/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/38.png
39,jigglypuff,jigglypuff,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/jigglypuff/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/39.png
40,wigglytuff,wigglytuff,generation-vii,ultra-sun-ultra-moon,front_default,pokemon/wigglytuff/images/genvii_ultra-sun-ultra-moon_front_default.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-vii/ultra-sun-ultra-moon/40.png
