pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
1,bulbasaur,bulbasaur,generation-i,1,grass,https://pokeapi.co/api/v2/pokemon/1/
1,bulbasaur,bulbasaur,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/1/
2,ivysaur,ivysaur,generation-i,1,grass,https://pokeapi.co/api/v2/pokemon/2/
2,ivysaur,ivysaur,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/2/
3,venusaur,venusaur,generation-i,1,grass,https://pokeapi.co/api/v2/pokemon/3/
3,venusaur,venusaur,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/3/
4,charmander,charmander,generation-i,1,fire,https://pokeapi.co/api/v2/pokemon/4/
5,charmeleon,charmeleon,generation-i,1,fire,https://pokeapi.co/api/v2/pokemon/5/
6,charizard,charizard,generation-i,1,fire,https://pokeapi.co/api/v2/pokemon/6/
6,charizard,charizard,generation-i,2,flying,https://pokeapi.co/api/v2/pokemon/6/
7,squirtle,squirtle,generation-i,1,water,https://pokeapi.co/api/v2/pokemon/7/
8,wartortle,wartortle,generation-i,1,water,https://pokeapi.co/api/v2/pokemon/8/
9,blastoise,blastoise,generation-i,1,water,https://pokeapi.co/api/v2/pokemon/9/
10,caterpie,caterpie,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/10/
11,metapod,metapod,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/11/
12,butterfree,butterfree,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/12/
12,butterfree,butterfree,generation-i,2,flying,https://pokeapi.co/api/v2/pokemon/12/
13,weedle,weedle,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/13/
13,weedle,weedle,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/13/
14,kakuna,kakuna,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/14/
14,kakuna,kakuna,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/14/
15,beedrill,beedrill,generation-i,1,bug,https://pokeapi.co/api/v2/pokemon/15/
15,beedrill,beedrill,generation-i,2,poison,https://pokeapi.co/api/v2/pokemon/15/
16,pidgey,pidgey,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/16/
16,pidgey,pidgey,generation-i,2,flying,https://pokeapi.co/api/v2/pokemon/16/
17,pidgeotto,pidgeotto,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/17/
17,pidgeotto,pidgeotto,generation-i,2,flying,https://pokeapi.co/api/v2/pokemon/17/
18,pidgeot,pidgeot,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/18/
18,pidgeot,pidgeot,generation-i,2,flying,https://pokeapi.co/api/v2/pokemon/18/
19,rattata,rattata,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/19/
20,raticate,raticate,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/20/
21,spearow,spearow,generation-i,1,normal,https://pokeapi.co/api/v2/pokemon/21/
