pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
152,chikorita,chikorita,generation-ii,1,grass,https://pokeapi.co/api/v2/pokemon/152/
153,bayleef,bayleef,generation-ii,1,grass,https://pokeapi.co/api/v2/pokemon/153/
154,meganium,meganium,generation-ii,1,grass,https://pokeapi.co/api/v2/pokemon/154/
155,cyndaquil,cyndaquil,generation-ii,1,fire,https://pokeapi.co/api/v2/pokemon/155/
156,quilava,quilava,generation-ii,1,fire,https://pokeapi.co/api/v2/pokemon/156/
157,typhlosion,typhlosion,generation-ii,1,fire,https://pokeapi.co/api/v2/pokemon/157/
158,totodile,totodile,generation-ii,1,water,https://pokeapi.co/api/v2/pokemon/158/
159,croconaw,croconaw,generation-ii,1,water,https://pokeapi.co/api/v2/pokemon/159/
160,feraligatr,feraligatr,generation-ii,1,water,https://pokeapi.co/api/v2/pokemon/160/
161,sentret,sentret,generation-ii,1,normal,https://pokeapi.co/api/v2/pokemon/161/
162,furret,furret,generation-ii,1,normal,https://pokeapi.co/api/v2/pokemon/162/
163,hoothoot,hoothoot,generation-ii,1,normal,https://pokeapi.co/api/v2/pokemon/163/
163,hoothoot,hoothoot,generation-ii,2,flying,https://pokeapi.co/api/v2/pokemon/163/
164,noctowl,noctowl,generation-ii,1,normal,https://pokeapi.co/api/v2/pokemon/164/
164,noctowl,noctowl,generation-ii,2,flying,https://pokeapi.co/api/v2/pokemon/164/
165,ledyba,ledyba,generation-ii,1,bug,https://pokeapi.co/api/v2/pokemon/165/
165,ledyba,ledyba,generation-ii,2,flying,https://pokeapi.co/api/v2/pokemon/165/
166,ledian,ledian,generation-ii,1,bug,https://pokeapi.co/api/v2/pokemon/166/
166,ledian,ledian,generation-ii,2,flying,https://pokeapi.co/api/v2/pokemon/166/
167,spinarak,spinarak,generation-ii,1,bug,https://pokeapi.co/api/v2/pokemon/167/
167,spinarak,spinarak,generation-ii,2,poison,https://pokeapi.co/api/v2/pokemon/167/
168,ariados,ariados,generation-ii,1,bug,https://pokeapi.co/api/v2/pokemon/168/
168,ariados,ariados,generation-ii,2,poison,https://pokeapi.co/api/v2/pokemon/168/
169,crobat,crobat,generation-ii,1,poison,https://pokeapi.co/api/v2/pokemon/169/
169,crobat,crobat,generation-ii,2,flying,https://pokeapi.co/api/v2/pokemon/169/
