pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
252,treecko,treecko,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/252/
253,grovyle,grovyle,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/253/
254,sceptile,sceptile,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/254/
255,torchic,torchic,generation-iii,1,fire,https://pokeapi.co/api/v2/pokemon/255/
256,combusken,combusken,generation-iii,1,fire,https://pokeapi.co/api/v2/pokemon/256/
256,combusken,combusken,generation-iii,2,fighting,https://pokeapi.co/api/v2/pokemon/256/
257,blaziken,blaziken,generation-iii,1,fire,https://pokeapi.co/api/v2/pokemon/257/
257,blaziken,blaziken,generation-iii,2,fighting,https://pokeapi.co/api/v2/pokemon/257/
258,mudkip,mudkip,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/258/
259,marshtomp,marshtomp,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/259/
259,marshtomp,marshtomp,generation-iii,2,ground,https://pokeapi.co/api/v2/pokemon/259/
260,swampert,swampert,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/260/
260,swampert,swampert,generation-iii,2,ground,https://pokeapi.co/api/v2/pokemon/260/
261,poochyena,poochyena,generation-iii,1,dark,https://pokeapi.co/api/v2/pokemon/261/
262,mightyena,mightyena,generation-iii,1,dark,https://pokeapi.co/api/v2/pokemon/262/
263,zigzagoon,zigzagoon,generation-iii,1,normal,https://pokeapi.co/api/v2/pokemon/263/
264,linoone,linoone,generation-iii,1,normal,https://pokeapi.co/api/v2/pokemon/264/
265,wurmple,wurmple,generation-iii,1,bug,https://pokeapi.co/api/v2/pokemon/265/
266,silcoon,silcoon,generation-iii,1,bug,https://pokeapi.co/api/v2/pokemon/266/
267,beautifly,beautifly,generation-iii,1,bug,https://pokeapi.co/api/v2/pokemon/267/
267,beautifly,beautifly,generation-iii,2,flying,https://pokeapi.co/api/v2/pokemon/267/
268,cascoon,cascoon,generation-iii,1,bug,https://pokeapi.co/api/v2/pokemon/268/
269,dustox,dustox,generation-iii,1,bug,https://pokeapi.co/api/v2/pokemon/269/
269,dustox,dustox,generation-iii,2,poison,https://pokeapi.co/api/v2/pokemon/269/
270,lotad,lotad,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/270/
270,lotad,lotad,generation-iii,2,grass,https://pokeapi.co/api/v2/pokemon/270/
271,lombre,lombre,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/271/
271,lombre,lombre,generation-iii,2,grass,https://pokeapi.co/api/v2/pokemon/271/
272,ludicolo,ludicolo,generation-iii,1,water,https://pokeapi.co/api/v2/pokemon/272/
272,ludicolo,ludicolo,generation-iii,2,grass,https://pokeapi.co/api/v2/pokemon/272/
273,seedot,seedot,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/273/
274,nuzleaf,nuzleaf,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/274/
274,nuzleaf,nuzleaf,generation-iii,2,dark,https://pokeapi.co/api/v2/pokemon/274/
275,shiftry,shiftry,generation-iii,1,grass,https://pokeapi.co/api/v2/pokemon/275/
275,shiftry,shiftry,generation-iii,2,dark,https://pokeapi.co/api/v2/pokemon/275/
276,taillow,taillow,generation-iii,1,normal,https://pokeapi.co/api/v2/pokemon/276/
