pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
387,turtwig,turtwig,generation-iv,1,grass,https://pokeapi.co/api/v2/pokemon/387/
388,grotle,grotle,generation-iv,1,grass,https://pokeapi.co/api/v2/pokemon/388/
389,torterra,torterra,generation-iv,1,grass,https://pokeapi.co/api/v2/pokemon/389/
389,torterra,torterra,generation-iv,2,ground,https://pokeapi.co/api/v2/pokemon/389/
390,chimchar,chimchar,generation-iv,1,fire,https://pokeapi.co/api/v2/pokemon/390/
391,monferno,monferno,generation-iv,1,fire,https://pokeapi.co/api/v2/pokemon/391/
391,monferno,monferno,generation-iv,2,fighting,https://pokeapi.co/api/v2/pokemon/391/
392,infernape,infernape,generation-iv,1,fire,https://pokeapi.co/api/v2/pokemon/392/
392,infernape,infernape,generation-iv,2,fighting,https://pokeapi.co/api/v2/pokemon/392/
393,piplup,piplup,generation-iv,1,water,https://pokeapi.co/api/v2/pokemon/393/
394,prinplup,prinplup,generation-iv,1,water,https://pokeapi.co/api/v2/pokemon/394/
395,empoleon,empoleon,generation-iv,1,water,https://pokeapi.co/api/v2/pokemon/395/
395,empoleon,empoleon,generation-iv,2,steel,https://pokeapi.co/api/v2/pokemon/395/
396,starly,starly,generation-iv,1,normal,https://pokeapi.co/api/v2/pokemon/396/
396,starly,starly,generation-iv,2,flying,https://pokeapi.co/api/v2/pokemon/396/
397,staravia,staravia,generation-iv,1,normal,https://pokeapi.co/api/v2/pokemon/397/
397,staravia,staravia,generation-iv,2,flying,https://pokeapi.co/api/v2/pokemon/397/
398,staraptor,staraptor,generation-iv,1,normal,https://pokeapi.co/api/v2/pokemon/398/
398,staraptor,staraptor,generation-iv,2,flying,https://pokeapi.co/api/v2/pokemon/398/
399,bidoof,bidoof,generation-iv,1,normal,https://pokeapi.co/api/v2/pokemon/399/
400,bibarel,bibarel,generation-iv,1,normal,https://pokeapi.co/api/v2/pokemon/400/
400,bibarel,bibarel,generation-iv,2,water,https://pokeapi.co/api/v2/pokemon/400/
401,kricketot,kricketot,generation-iv,1,bug,https://pokeapi.co/api/v2/pokemon/401/
402,kricketune,kricketune,generation-iv,1,bug,https://pokeapi.co/api/v2/pokemon/402/
403,shinx,shinx,generation-iv,1,electric,https://pokeapi.co/api/v2/pokemon/403/
404,luxio,luxio,generation-iv,1,electric,https://pokeapi.co/api/v2/pokemon/404/
405,luxray,luxray,generation-iv,1,electric,https://pokeapi.co/api/v2/pokemon/405/
406,budew,budew,generation-iv,1,grass,https://pokeapi.co/api/v2/pokemon/406/
406,budew,budew,generation-iv,2,poison,https://pokeapi.co/api/v2/pokemon/406/
407,roserade,roserade,generation-iv,1,grass,https://pokeapi.co/api/v2/pokemon/407/
407,roserade,roserade,generation-iv,2,poison,https://pokeapi.co/api/v2/pokemon/407/
408,cranidos,cranidos,generation-iv,1,rock,https://pokeapi.co/api/v2/pokemon/408/
409,rampardos,rampardos,generation-iv,1,rock,https://pokeapi.co/api/v2/pokemon/409/
410,shieldon,shieldon,generation-iv,1,rock,https://pokeapi.co/api/v2/pokemon/410/
410,shieldon,shieldon,generation-iv,2,steel,https://pokeapi.co/api/v2/pokemon/410/
411,bastiodon,bastiodon,generation-iv,1,rock,https://pokeapi.co/api/v2/pokemon/411/
411,bastiodon,bastiodon,generation-iv,2,steel,https://pokeapi.co/api/v2/pokemon/411/
412,burmy,burmy,generation-iv,1,bug,https://pokeapi.co/api/v2/pokemon/412/
