pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
906,sprigatito,sprigatito,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/906/
907,floragato,floragato,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/907/
908,meowscarada,meowscarada,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/908/
908,meowscarada,meowscarada,generation-ix,2,dark,https://pokeapi.co/api/v2/pokemon/908/
909,fuecoco,fuecoco,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/909/
910,crocalor,crocalor,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/910/
911,skeledirge,skeledirge,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/911/
911,skeledirge,skeledirge,generation-ix,2,ghost,https://pokeapi.co/api/v2/pokemon/911/
912,quaxly,quaxly,generation-ix,1,water,https://pokeapi.co/api/v2/pokemon/912/
913,quaxwell,quaxwell,generation-ix,1,water,https://pokeapi.co/api/v2/pokemon/913/
914,quaquaval,quaquaval,generation-ix,1,water,https://pokeapi.co/api/v2/pokemon/914/
914,quaquaval,quaquaval,generation-ix,2,fighting,https://pokeapi.co/api/v2/pokemon/914/
915,lechonk,lechonk,generation-ix,1,normal,https://pokeapi.co/api/v2/pokemon/915/
916,oinkologne-male,oinkologne_male,generation-ix,1,normal,https://pokeapi.co/api/v2/pokemon/916/
917,tarountula,tarountula,generation-ix,1,bug,https://pokeapi.co/api/v2/pokemon/917/
918,spidops,spidops,generation-ix,1,bug,https://pokeapi.co/api/v2/pokemon/918/
919,nymble,nymble,generation-ix,1,bug,https://pokeapi.co/api/v2/pokemon/919/
920,lokix,lokix,generation-ix,1,bug,https://pokeapi.co/api/v2/pokemon/920/
920,lokix,lokix,generation-ix,2,dark,https://pokeapi.co/api/v2/pokemon/920/
921,pawmi,pawmi,generation-ix,1,electric,https://pokeapi.co/api/v2/pokemon/921/
922,pawmo,pawmo,generation-ix,1,electric,https://pokeapi.co/api/v2/pokemon/922/
922,pawmo,pawmo,generation-ix,2,fighting,https://pokeapi.co/api/v2/pokemon/922/
923,pawmot,pawmot,generation-ix,1,electric,https://pokeapi.co/api/v2/pokemon/923/
923,pawmot,pawmot,generation-ix,2,fighting,https://pokeapi.co/api/v2/pokemon/923/
924,tandemaus,tandemaus,generation-ix,1,normal,https://pokeapi.co/api/v2/pokemon/924/
925,maushold-family-of-four,maushold_family_of_four,generation-ix,1,normal,https://pokeapi.co/api/v2/pokemon/925/
926,fidough,fidough,generation-ix,1,fairy,https://pokeapi.co/api/v2/pokemon/926/
927,dachsbun,dachsbun,generation-ix,1,fairy,https://pokeapi.co/api/v2/pokemon/927/
928,smoliv,smoliv,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/928/
928,smoliv,smoliv,generation-ix,2,normal,https://pokeapi.co/api/v2/pokemon/928/
929,dolliv,dolliv,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/929/
929,dolliv,dolliv,generation-ix,2,normal,https://pokeapi.co/api/v2/pokemon/929/
930,arboliva,arboliva,generation-ix,1,grass,https://pokeapi.co/api/v2/pokemon/930/
930,arboliva,arboliva,generation-ix,2,normal,https://pokeapi.co/api/v2/pokemon/930/
931,squawkabilly-green-plumage,squawkabilly_green_plumage,generation-ix,1,normal,https://pokeapi.co/api/v2/pokemon/931/
931,squawkabilly-green-plumage,squawkabilly_green_plumage,generation-ix,2,flying,https://pokeapi.co/api/v2/pokemon/931/
932,nacli,nacli,generation-ix,1,rock,https://pokeapi.co/api/v2/pokemon/932/
933,naclstack,naclstack,generation-ix,1,rock,https://pokeapi.co/api/v2/pokemon/933/
934,garganacl,garganacl,generation-ix,1,rock,https://pokeapi.co/api/v2/pokemon/934/
935,charcadet,charcadet,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/935/
936,armarouge,armarouge,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/936/
936,armarouge,armarouge,generation-ix,2,psychic,https://pokeapi.co/api/v2/pokemon/936/
937,ceruledge,ceruledge,generation-ix,1,fire,https://pokeapi.co/api/v2/pokemon/937/
937,ceruledge,ceruledge,generation-ix,2,ghost,https://pokeapi.co/api/v2/pokemon/937/
938,tadbulb,tadbulb,generation-ix,1,electric,https://pokeapi.co/api/v2/pokemon/938/
939,bellibolt,bellibolt,generation-ix,1,electric,https://pokeapi.co/api/v2/pokemon/939/
