pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
494,victini,victini,generation-v,1,psychic,https://pokeapi.co/api/v2/pokemon/494/
494,victini,victini,generation-v,2,fire,https://pokeapi.co/api/v2/pokemon/494/
495,snivy,snivy,generation-v,1,grass,https://pokeapi.co/api/v2/pokemon/495/
496,servine,servine,generation-v,1,grass,https://pokeapi.co/api/v2/pokemon/496/
497,serperior,serperior,generation-v,1,grass,https://pokeapi.co/api/v2/pokemon/497/
498,tepig,tepig,generation-v,1,fire,https://pokeapi.co/api/v2/pokemon/498/
499,pignite,pignite,generation-v,1,fire,https://pokeapi.co/api/v2/pokemon/499/
499,pignite,pignite,generation-v,2,fighting,https://pokeapi.co/api/v2/pokemon/499/
500,emboar,emboar,generation-v,1,fire,https://pokeapi.co/api/v2/pokemon/500/
500,emboar,emboar,generation-v,2,fighting,https://pokeapi.co/api/v2/pokemon/500/
501,oshawott,oshawott,generation-v,1,water,https://pokeapi.co/api/v2/pokemon/501/
502,dewott,dewott,generation-v,1,water,https://pokeapi.co/api/v2/pokemon/502/
503,samurott,samurott,generation-v,1,water,https://pokeapi.co/api/v2/pokemon/503/
504,patrat,patrat,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/504/
505,watchog,watchog,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/505/
506,lillipup,lillipup,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/506/
507,herdier,herdier,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/507/
508,stoutland,stoutland,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/508/
509,purrloin,purrloin,generation-v,1,dark,https://pokeapi.co/api/v2/pokemon/509/
510,liepard,liepard,generation-v,1,dark,https://pokeapi.co/api/v2/pokemon/510/
511,pansage,pansage,generation-v,1,grass,https://pokeapi.co/api/v2/pokemon/511/
512,simisage,simisage,generation-v,1,grass,https://pokeapi.co/api/v2/pokemon/512/
513,pansear,pansear,generation-v,1,fire,https://pokeapi.co/api/v2/pokemon/513/
514,simisear,simisear,generation-v,1,fire,https://pokeapi.co/api/v2/pokemon/514/
515,panpour,panpour,generation-v,1,water,https://pokeapi.co/api/v2/pokemon/515/
516,simipour,simipour,generation-v,1,water,https://pokeapi.co/api/v2/pokemon/516/
517,munna,munna,generation-v,1,psychic,https://pokeapi.co/api/v2/pokemon/517/
518,musharna,musharna,generation-v,1,psychic,https://pokeapi.co/api/v2/pokemon/518/
519,pidove,pidove,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/519/
519,pidove,pidove,generation-v,2,flying,https://pokeapi.co/api/v2/pokemon/519/
520,tranquill,tranquill,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/520/
520,tranquill,tranquill,generation-v,2,flying,https://pokeapi.co/api/v2/pokemon/520/
521,unfezant,unfezant,generation-v,1,normal,https://pokeapi.co/api/v2/pokemon/521/
521,unfezant,unfezant,generation-v,2,flying,https://pokeapi.co/api/v2/pokemon/521/
522,blitzle,blitzle,generation-v,1,electric,https://pokeapi.co/api/v2/pokemon/522/
523,zebstrika,zebstrika,generation-v,1,electric,https://pokeapi.co/api/v2/pokemon/523/
