pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
722,rowlet,rowlet,generation-vii,1,grass,https://pokeapi.co/api/v2/pokemon/722/
722,rowlet,rowlet,generation-vii,2,flying,https://pokeapi.co/api/v2/pokemon/722/
723,dartrix,dartrix,generation-vii,1,grass,https://pokeapi.co/api/v2/pokemon/723/
723,dartrix,dartrix,generation-vii,2,flying,https://pokeapi.co/api/v2/pokemon/723/
724,decidueye,decidueye,generation-vii,1,grass,https://pokeapi.co/api/v2/pokemon/724/
724,decidueye,decidueye,generation-vii,2,ghost,https://pokeapi.co/api/v2/pokemon/724/
725,litten,litten,generation-vii,1,fire,https://pokeapi.co/api/v2/pokemon/725/
726,torracat,torracat,generation-vii,1,fire,https://pokeapi.co/api/v2/pokemon/726/
727,incineroar,incineroar,generation-vii,1,fire,https://pokeapi.co/api/v2/pokemon/727/
727,incineroar,incineroar,generation-vii,2,dark,https://pokeapi.co/api/v2/pokemon/727/
728,popplio,popplio,generation-vii,1,water,https://pokeapi.co/api/v2/pokemon/728/
729,brionne,brionne,generation-vii,1,water,https://pokeapi.co/api/v2/pokemon/729/
730,primarina,primarina,generation-vii,1,water,https://pokeapi.co/api/v2/pokemon/730/
730,primarina,primarina,generation-vii,2,fairy,https://pokeapi.co/api/v2/pokemon/730/
731,pikipek,pikipek,generation-vii,1,normal,https://pokeapi.co/api/v2/pokemon/731/
731,pikipek,pikipek,generation-vii,2,flying,https://pokeapi.co/api/v2/pokemon/731/
732,trumbeak,trumbeak,generation-vii,1,normal,https://pokeapi.co/api/v2/pokemon/732/
732,trumbeak,trumbeak,generation-vii,2,flying,https://pokeapi.co/api/v2/pokemon/732/
733,toucannon,toucannon,generation-vii,1,normal,https://pokeapi.co/api/v2/pokemon/733/
733,toucannon,toucannon,generation-vii,2,flying,https://pokeapi.co/api/v2/pokemon/733/
734,yungoos,yungoos,generation-vii,1,normal,https://pokeapi.co/api/v2/pokemon/734/
735,gumshoos,gumshoos,generation-vii,1,normal,https://pokeapi.co/api/v2/pokemon/735/
736,grubbin,grubbin,generation-vii,1,bug,https://pokeapi.co/api/v2/pokemon/736/
