pokemon_id,pokemon_name,pokemon_slug,generation,slot,type_name,sourceUrl
810,grookey,grookey,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/810/
811,thwackey,thwackey,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/811/
812,rillaboom,rillaboom,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/812/
813,scorbunny,scorbunny,generation-viii,1,fire,https://pokeapi.co/api/v2/pokemon/813/
814,raboot,raboot,generation-viii,1,fire,https://pokeapi.co/api/v2/pokemon/814/
815,cinderace,cinderace,generation-viii,1,fire,https://pokeapi.co/api/v2/pokemon/815/
816,sobble,sobble,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/816/
817,drizzile,drizzile,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/817/
818,inteleon,inteleon,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/818/
819,skwovet,skwovet,generation-viii,1,normal,https://pokeapi.co/api/v2/pokemon/819/
820,greedent,greedent,generation-viii,1,normal,https://pokeapi.co/api/v2/pokemon/820/
821,rookidee,rookidee,generation-viii,1,flying,https://pokeapi.co/api/v2/pokemon/821/
822,corvisquire,corvisquire,generation-viii,1,flying,https://pokeapi.co/api/v2/pokemon/822/
823,corviknight,corviknight,generation-viii,1,flying,https://pokeapi.co/api/v2/pokemon/823/
823,corviknight,corviknight,generation-viii,2,steel,https://pokeapi.co/api/v2/pokemon/823/
824,blipbug,blipbug,generation-viii,1,bug,https://pokeapi.co/api/v2/pokemon/824/
825,dottler,dottler,generation-viii,1,bug,https://pokeapi.co/api/v2/pokemon/825/
825,dottler,dottler,generation-viii,2,psychic,https://pokeapi.co/api/v2/pokemon/825/
826,orbeetle,orbeetle,generation-viii,1,bug,https://pokeapi.co/api/v2/pokemon/826/
826,orbeetle,orbeetle,generation-viii,2,psychic,https://pokeapi.co/api/v2/pokemon/826/
827,nickit,nickit,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/827/
828,thievul,thievul,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/828/
829,gossifleur,gossifleur,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/829/
830,eldegoss,eldegoss,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/830/
831,wooloo,wooloo,generation-viii,1,normal,https://pokeapi.co/api/v2/pokemon/831/
832,dubwool,dubwool,generation-viii,1,normal,https://pokeapi.co/api/v2/pokemon/832/
833,chewtle,chewtle,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/833/
834,drednaw,drednaw,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/834/
834,drednaw,drednaw,generation-viii,2,rock,https://pokeapi.co/api/v2/pokemon/834/
835,yamper,yamper,generation-viii,1,electric,https://pokeapi.co/api/v2/pokemon/835/
836,boltund,boltund,generation-viii,1,electric,https://pokeapi.co/api/v2/pokemon/836/
837,rolycoly,rolycoly,generation-viii,1,rock,https://pokeapi.co/api/v2/pokemon/837/
838,carkol,carkol,generation-viii,1,rock,https://pokeapi.co/api/v2/pokemon/838/
838,carkol,carkol,generation-viii,2,fire,https://pokeapi.co/api/v2/pokemon/838/
839,coalossal,coalossal,generation-viii,1,rock,https://pokeapi.co/api/v2/pokemon/839/
839,coalossal,coalossal,generation-viii,2,fire,https://pokeapi.co/api/v2/pokemon/839/
840,applin,applin,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/840/
840,applin,applin,generation-viii,2,dragon,https://pokeapi.co/api/v2/pokemon/840/
841,flapple,flapple,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/841/
841,flapple,flapple,generation-viii,2,dragon,https://pokeapi.co/api/v2/pokemon/841/
842,appletun,appletun,generation-viii,1,grass,https://pokeapi.co/api/v2/pokemon/842/
842,appletun,appletun,generation-viii,2,dragon,https://pokeapi.co/api/v2/pokemon/842/
843,silicobra,silicobra,generation-viii,1,ground,https://pokeapi.co/api/v2/pokemon/843/
844,sandaconda,sandaconda,generation-viii,1,ground,https://pokeapi.co/api/v2/pokemon/844/
845,cramorant,cramorant,generation-viii,1,flying,https://pokeapi.co/api/v2/pokemon/845/
845,cramorant,cramorant,generation-viii,2,water,https://pokeapi.co/api/v2/pokemon/845/
846,arrokuda,arrokuda,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/846/
847,barraskewda,barraskewda,generation-viii,1,water,https://pokeapi.co/api/v2/pokemon/847/
848,toxel,toxel,generation-viii,1,electric,https://pokeapi.co/api/v2/pokemon/848/
848,toxel,toxel,generation-viii,2,poison,https://pokeapi.co/api/v2/pokemon/848/
849,toxtricity-amped,toxtricity_amped,generation-viii,1,electric,https://pokeapi.co/api/v2/pokemon/849/
849,toxtricity-amped,toxtricity_amped,generation-viii,2,poison,https://pokeapi.co/api/v2/pokemon/849/
850,sizzlipede,sizzlipede,generation-viii,1,fire,https://pokeapi.co/api/v2/pokemon/850/
850,sizzlipede,sizzlipede,generation-viii,2,bug,https://pokeapi.co/api/v2/pokemon/850/
851,centiskorch,centiskorch,generation-viii,1,fire,https://pokeapi.co/api/v2/pokemon/851/
851,centiskorch,centiskorch,generation-viii,2,bug,https://pokeapi.co/api/v2/pokemon/851/
852,clobbopus,clobbopus,generation-viii,1,fighting,https://pokeapi.co/api/v2/pokemon/852/
853,grapploct,grapploct,generation-viii,1,fighting,https://pokeapi.co/api/v2/pokemon/853/
854,sinistea,sinistea,generation-viii,1,ghost,https://pokeapi.co/api/v2/pokemon/854/
855,polteageist,polteageist,generation-viii,1,ghost,https://pokeapi.co/api/v2/pokemon/855/
856,hatenna,hatenna,generation-viii,1,psychic,https://pokeapi.co/api/v2/pokemon/856/
857,hattrem,hattrem,generation-viii,1,psychic,https://pokeapi.co/api/v2/pokemon/857/
858,hatterene,hatterene,generation-viii,1,psychic,https://pokeapi.co/api/v2/pokemon/858/
858,hatterene,hatterene,generation-viii,2,fairy,https://pokeapi.co/api/v2/pokemon/858/
859,impidimp,impidimp,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/859/
859,impidimp,impidimp,generation-viii,2,fairy,https://pokeapi.co/api/v2/pokemon/859/
860,morgrem,morgrem,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/860/
860,morgrem,morgrem,generation-viii,2,fairy,https://pokeapi.co/api/v2/pokemon/860/
861,grimmsnarl,grimmsnarl,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/861/
861,grimmsnarl,grimmsnarl,generation-viii,2,fairy,https://pokeapi.co/api/v2/pokemon/861/
862,obstagoon,obstagoon,generation-viii,1,dark,https://pokeapi.co/api/v2/pokemon/862/
862,obstagoon,obstagoon,generation-viii,2,normal,https://pokeapi.co/api/v2/pokemon/862/
863,perrserker,perrserker,generation-viii,1,steel,https://pokeapi.co/api/v2/pokemon/863/
864,cursola,cursola,generation-viii,1,ghost,https://pokeapi.co/api/v2/pokemon/864/
