id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
152,chikorita,chikorita,generation-ii,grassland,quadruped,green,45,70,1,False,False,False,A sweet aroma gently wafts from the leaf on itshead. It is docile and loves to soak up the sun's rays.,https://pokeapi.co/api/v2/pokemon-species/152
153,bayleef,bayleef,generation-ii,grassland,quadruped,green,45,70,1,False,False,False,"The scent of spices comes from around its neck.Somehow, sniffing it makes you want to fight.",https://pokeapi.co/api/v2/pokemon-species/153
154,meganium,meganium,generation-ii,grassland,quadruped,green,45,70,1,False,False,False,The aroma that rises from its petals contains asubstance that calms aggressive feelings.,https://pokeapi.co/api/v2/pokemon-species/154
155,cyndaquil,cyndaquil,generation-ii,grassland,humanoid,yellow,45,70,1,False,False,False,"It has a timid nature. If it is startled, the flames on its back burn more vigorously.",https://pokeapi.co/api/v2/pokemon-species/155
156,quilava,quilava,generation-ii,grassland,quadruped,yellow,45,70,1,False,False,False,Be careful if it turns its back during battle. Itmeans that it will attack with the fire on its back.,https://pokeapi.co/api/v2/pokemon-species/156
157,typhlosion,typhlosion,generation-ii,grassland,quadruped,yellow,45,70,1,False,False,False,"If its rage peaks, it becomes so hot that anything thattouches it will instantly go up in flames.",https://pokeapi.co/api/v2/pokemon-species/157
158,totodile,totodile,generation-ii,waters-edge,upright,blue,45,70,1,False,False,False,Its well-developed jaws are powerful and capable ofcrushing anything. Even its trainer must be careful.,https://pokeapi.co/api/v2/pokemon-species/158
159,croconaw,croconaw,generation-ii,waters-edge,upright,blue,45,70,1,False,False,False,"If it loses a fang, a new one grows back in itsplace. There are always 48 fangs lining its mouth.",https://pokeapi.co/api/v2/pokemon-species/159
160,feraligatr,feraligatr,generation-ii,waters-edge,upright,blue,45,70,1,False,False,False,"When it bites with its massive and powerful jaws, itshakes its head and savagely tears its victim up.",https://pokeapi.co/api/v2/pokemon-species/160
161,sentret,sentret,generation-ii,grassland,quadruped,brown,255,70,4,False,False,False,"A very cautious POKéMON, it raises itself up usingits tail to get a better view of its surroundings.",https://pokeapi.co/api/v2/pokemon-species/161
162,furret,furret,generation-ii,grassland,quadruped,brown,90,70,4,False,False,False,It makes a nest to suit its long and skinny body. Thenest is impossible for other POKéMON to enter.,https://pokeapi.co/api/v2/pokemon-species/162
163,hoothoot,hoothoot,generation-ii,forest,wings,brown,255,70,4,False,False,False,"It always stands on one foot. It changes feet sofast, the movement can rarely be seen.",https://pokeapi.co/api/v2/pokemon-species/163
164,noctowl,noctowl,generation-ii,forest,wings,brown,90,70,4,False,False,False,Its eyes are specially adapted. They concentrateeven faint light and enable it to see in the dark.,https://pokeapi.co/api/v2/pokemon-species/164
165,ledyba,ledyba,generation-ii,forest,wings,red,255,70,4,False,False,False,It is very timid. It will be afraid to move if it isalone. But it will be active if it is in a group.,https://pokeapi.co/api/v2/pokemon-species/165
166,ledian,ledian,generation-ii,forest,wings,red,90,70,4,False,False,False,"When the stars flicker in the night sky, itflutters about, scattering a glowing powder.",https://pokeapi.co/api/v2/pokemon-species/166
167,spinarak,spinarak,generation-ii,forest,armor,green,255,70,4,False,False,False,"It lies still in the same pose for days in its web,waiting for its unsuspecting prey to wander close.",https://pokeapi.co/api/v2/pokemon-species/167
168,ariados,ariados,generation-ii,forest,armor,red,90,70,4,False,False,False,It spins string not only from its rear but also fromits mouth. It is hard to tell which end is which.,https://pokeapi.co/api/v2/pokemon-species/168
169,crobat,crobat,generation-ii,cave,bug-wings,purple,90,70,4,False,False,False,It flies so si­ lently through the dark on its fourwings that it may not be noticed even when nearby.,https://pokeapi.co/api/v2/pokemon-species/169
170,chinchou,chinchou,generation-ii,sea,fish,blue,190,70,4,False,False,False,Chinchou blink their shining antennae at one another to claim their respective turf.,https://pokeapi.co/api/v2/pokemon-species/170
171,lanturn,lanturn,generation-ii,sea,fish,blue,75,70,4,False,False,False,The light it emits is so bright that it can illuminatethe sea's surface from a depth of over three miles.,https://pokeapi.co/api/v2/pokemon-species/171
172,pichu,pichu,generation-ii,forest,quadruped,yellow,190,70,4,True,False,False,It is not yet skilled at storing electricity.It may send out a jolt if amused or startled.,https://pokeapi.co/api/v2/pokemon-species/172
173,cleffa,cleffa,generation-ii,mountain,upright,pink,150,140,6,True,False,False,"Because of its unusual, star-like silhouette, peoplebelieve that it came here on a meteor.",https://pokeapi.co/api/v2/pokemon-species/173
174,igglybuff,igglybuff,generation-ii,grassland,humanoid,pink,170,70,6,True,False,False,"It has a very soft body. If it starts to roll, it willbounce all over and be impossible to stop.",https://pokeapi.co/api/v2/pokemon-species/174
175,togepi,togepi,generation-ii,forest,humanoid,white,190,70,1,True,False,False,The shell seems to be filled with joy. It is saidthat it will share good luck when treated kindly.,https://pokeapi.co/api/v2/pokemon-species/175
176,togetic,togetic,generation-ii,forest,humanoid,white,75,70,1,False,False,False,"They say that it will appear before kindhearted, car­ing people and shower them with happiness.",https://pokeapi.co/api/v2/pokemon-species/176
