id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
906,sprigatito,sprigatito,generation-ix,,quadruped,green,45,50,1,False,False,False,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,https://pokeapi.co/api/v2/pokemon-species/906
907,floragato,floragato,generation-ix,,upright,green,45,50,1,False,False,False,"Floragato deftly wields the vine hidden beneath its long fur, slamming the hard flower bud against its opponents.",https://pokeapi.co/api/v2/pokemon-species/907
908,meowscarada,meowscarada,generation-ix,,upright,green,45,50,1,False,False,False,"This Pokémon uses the reflective fur lining its cape to camouflage the stem of its flower, creating the illusion that the flower is floating.",https://pokeapi.co/api/v2/pokemon-species/908
909,fuecoco,fuecoco,generation-ix,,upright,red,45,50,1,False,False,False,It lies on warm rocks and uses the heat absorbed by its square-shaped scales to create fire energy.,https://pokeapi.co/api/v2/pokemon-species/909
910,crocalor,crocalor,generation-ix,,upright,red,45,50,1,False,False,False,The combination of Crocalor’s fire energy and overflowing vitality has caused an egg-shaped fireball to appear on the Pokémon’s head.,https://pokeapi.co/api/v2/pokemon-species/910
911,skeledirge,skeledirge,generation-ix,,quadruped,red,45,50,1,False,False,False,The fiery bird changes shape when Skeledirge sings. Rumor has it that the bird was born when the fireball on Skeledirge’s head gained a soul.,https://pokeapi.co/api/v2/pokemon-species/911
912,quaxly,quaxly,generation-ix,,upright,white,45,50,1,False,False,False,"This Pokémon migrated to Paldea from distant lands long ago. The gel secreted by its feathers repels water and grime.""",https://pokeapi.co/api/v2/pokemon-species/912
913,quaxwell,quaxwell,generation-ix,,upright,blue,45,50,1,False,False,False,"These Pokémon constantly run through shallow waters to train their legs, then compete with each other to see which of them kicks most gracefully.",https://pokeapi.co/api/v2/pokemon-species/913
914,quaquaval,quaquaval,generation-ix,,upright,blue,45,50,1,False,False,False,A single kick from a Quaquaval can send a truck rolling. This Pokémon uses its powerful legs to perform striking dances from far-off lands.,https://pokeapi.co/api/v2/pokemon-species/914
915,lechonk,lechonk,generation-ix,,quadruped,gray,255,50,4,False,False,False,It searches for food all day. It possesses a keen sense of smell but doesn’t use it for anything other than foraging.,https://pokeapi.co/api/v2/pokemon-species/915
916,oinkologne,oinkologne,generation-ix,,quadruped,gray,100,50,0,False,False,False,"Oinkologne is proud of its fine, glossy skin. It emits a concentrated scent from the tip of its tail.",https://pokeapi.co/api/v2/pokemon-species/916
917,tarountula,tarountula,generation-ix,,armor,white,255,50,4,False,False,False,"The ball of threads wrapped around its body is elastic enough to deflect the scythes of Scyther, this Pokémon’s natural enemy.",https://pokeapi.co/api/v2/pokemon-species/917
918,spidops,spidops,generation-ix,,armor,green,120,50,4,False,False,False,It clings to branches and ceilings using its threads and moves without a sound. It takes out its prey before the prey even notices it.,https://pokeapi.co/api/v2/pokemon-species/918
919,nymble,nymble,generation-ix,,armor,gray,190,20,4,False,False,False,"It has its third set of legs folded up. When it’s in a tough spot, this Pokémon jumps over 30 feet using the strength of its legs.",https://pokeapi.co/api/v2/pokemon-species/919
920,lokix,lokix,generation-ix,,humanoid,gray,30,0,4,False,False,False,"When it decides to fight all out, it stands on its previously folded legs to enter Showdown Mode. It neutralizes its enemies in short order.",https://pokeapi.co/api/v2/pokemon-species/920
921,pawmi,pawmi,generation-ix,,quadruped,yellow,190,50,4,False,False,False,It has underdeveloped electric sacs on its cheeks. These sacs can produce electricity only if Pawmi rubs them furiously with the pads on its forepaws.,https://pokeapi.co/api/v2/pokemon-species/921
