id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
494,victini,victini,generation-v,,humanoid,yellow,3,100,-1,False,False,True,"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",https://pokeapi.co/api/v2/pokemon-species/494
495,snivy,snivy,generation-v,,upright,green,45,70,1,False,False,False,It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.,https://pokeapi.co/api/v2/pokemon-species/495
496,servine,servine,generation-v,,upright,green,45,70,1,False,False,False,"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",https://pokeapi.co/api/v2/pokemon-species/496
497,serperior,serperior,generation-v,,squiggle,green,45,70,1,False,False,False,It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.,https://pokeapi.co/api/v2/pokemon-species/497
498,tepig,tepig,generation-v,,quadruped,red,45,70,1,False,False,False,It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,https://pokeapi.co/api/v2/pokemon-species/498
499,pignite,pignite,generation-v,,upright,red,45,70,1,False,False,False,"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.",https://pokeapi.co/api/v2/pokemon-species/499
500,emboar,emboar,generation-v,,upright,red,45,70,1,False,False,False,It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,https://pokeapi.co/api/v2/pokemon-species/500
501,oshawott,oshawott,generation-v,,upright,blue,45,70,1,False,False,False,"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.",https://pokeapi.co/api/v2/pokemon-species/501
502,dewott,dewott,generation-v,,upright,blue,45,70,1,False,False,False,Strict training is how it learns its flowing double-scalchop technique.,https://pokeapi.co/api/v2/pokemon-species/502
503,samurott,samurott,generation-v,,quadruped,blue,45,70,1,False,False,False,One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.,https://pokeapi.co/api/v2/pokemon-species/503
504,patrat,patrat,generation-v,,quadruped,brown,255,70,4,False,False,False,"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",https://pokeapi.co/api/v2/pokemon-species/504
505,watchog,watchog,generation-v,,upright,brown,255,70,4,False,False,False,"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.",https://pokeapi.co/api/v2/pokemon-species/505
506,lillipup,lillipup,generation-v,,quadruped,brown,255,70,4,False,False,False,"It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokémon flees.",https://pokeapi.co/api/v2/pokemon-species/506
507,herdier,herdier,generation-v,,quadruped,gray,120,70,4,False,False,False,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives.",https://pokeapi.co/api/v2/pokemon-species/507
508,stoutland,stoutland,generation-v,,quadruped,gray,45,70,4,False,False,False,It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.,https://pokeapi.co/api/v2/pokemon-species/508
509,purrloin,purrloin,generation-v,,quadruped,purple,255,70,4,False,False,False,"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect.",https://pokeapi.co/api/v2/pokemon-species/509
510,liepard,liepard,generation-v,,quadruped,purple,90,70,4,False,False,False,These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.,https://pokeapi.co/api/v2/pokemon-species/510
511,pansage,pansage,generation-v,,upright,green,190,70,1,False,False,False,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,https://pokeapi.co/api/v2/pokemon-species/511
512,simisage,simisage,generation-v,,upright,green,75,70,1,False,False,False,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",https://pokeapi.co/api/v2/pokemon-species/512
513,pansear,pansear,generation-v,,upright,red,190,70,1,False,False,False,"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries.",https://pokeapi.co/api/v2/pokemon-species/513
