id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
722,rowlet,rowlet,generation-vii,,wings,brown,45,70,1,False,False,False,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",https://pokeapi.co/api/v2/pokemon-species/722
723,dartrix,dartrix,generation-vii,,wings,brown,45,70,1,False,False,False,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",https://pokeapi.co/api/v2/pokemon-species/723
724,decidueye,decidueye,generation-vii,,wings,brown,45,70,1,False,False,False,"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.",https://pokeapi.co/api/v2/pokemon-species/724
725,litten,litten,generation-vii,,quadruped,red,45,70,1,False,False,False,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",https://pokeapi.co/api/v2/pokemon-species/725
726,torracat,torracat,generation-vii,,quadruped,red,45,70,1,False,False,False,"At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.",https://pokeapi.co/api/v2/pokemon-species/726
727,incineroar,incineroar,generation-vii,,upright,red,45,70,1,False,False,False,"This Pokémon has a violent, selfish disposition. If it’s not in the mood to listen, it will ignore its Trainer’s orders with complete nonchalance.",https://pokeapi.co/api/v2/pokemon-species/727
728,popplio,popplio,generation-vii,,fish,blue,45,70,1,False,False,False,"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It’s famous for being a hard worker.",https://pokeapi.co/api/v2/pokemon-species/728
729,brionne,brionne,generation-vii,,fish,blue,45,70,1,False,False,False,"A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.",https://pokeapi.co/api/v2/pokemon-species/729
730,primarina,primarina,generation-vii,,fish,blue,45,70,1,False,False,False,It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,https://pokeapi.co/api/v2/pokemon-species/730
731,pikipek,pikipek,generation-vii,,wings,black,255,70,4,False,False,False,It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,https://pokeapi.co/api/v2/pokemon-species/731
732,trumbeak,trumbeak,generation-vii,,wings,black,120,70,4,False,False,False,"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.",https://pokeapi.co/api/v2/pokemon-species/732
733,toucannon,toucannon,generation-vii,,wings,black,45,70,4,False,False,False,"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.",https://pokeapi.co/api/v2/pokemon-species/733
734,yungoos,yungoos,generation-vii,,quadruped,brown,255,70,4,False,False,False,"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.",https://pokeapi.co/api/v2/pokemon-species/734
735,gumshoos,gumshoos,generation-vii,,quadruped,brown,127,70,4,False,False,False,"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall.",https://pokeapi.co/api/v2/pokemon-species/735
736,grubbin,grubbin,generation-vii,,armor,gray,255,70,4,False,False,False,Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,https://pokeapi.co/api/v2/pokemon-species/736
