id,name,slug,generation,habitat,shape,color,capture_rate,base_happiness,gender_rate,is_baby,is_legendary,is_mythical,flavor_text_en,sourceUrl
810,grookey,grookey,generation-viii,,upright,green,45,50,1,False,False,False,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",https://pokeapi.co/api/v2/pokemon-species/810
811,thwackey,thwackey,generation-viii,,upright,green,45,50,1,False,False,False,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",https://pokeapi.co/api/v2/pokemon-species/811
812,rillaboom,rillaboom,generation-viii,,humanoid,green,45,50,1,False,False,False,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",https://pokeapi.co/api/v2/pokemon-species/812
813,scorbunny,scorbunny,generation-viii,,upright,white,45,50,1,False,False,False,"A warm-up of running around gets fire energy coursing through this Pokémon’s body. Once that happens, it’s ready to fight at full power.",https://pokeapi.co/api/v2/pokemon-species/813
814,raboot,raboot,generation-viii,,upright,gray,45,50,1,False,False,False,Its thick and fluffy fur protects it from the cold and enables it to use hotter fire moves.,https://pokeapi.co/api/v2/pokemon-species/814
815,cinderace,cinderace,generation-viii,,upright,white,45,50,1,False,False,False,"It juggles a pebble with its feet, turning it into a burning soccer ball. Its shots strike opponents hard and leave them scorched.",https://pokeapi.co/api/v2/pokemon-species/815
816,sobble,sobble,generation-viii,,quadruped,blue,45,50,1,False,False,False,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won’t be able to resist weeping.",https://pokeapi.co/api/v2/pokemon-species/816
817,drizzile,drizzile,generation-viii,,upright,blue,45,50,1,False,False,False,"A clever combatant, this Pokémon battles using water balloons created with moisture secreted from its palms.",https://pokeapi.co/api/v2/pokemon-species/817
818,inteleon,inteleon,generation-viii,,upright,blue,45,50,1,False,False,False,"It has many hidden capabilities, such as fingertips that can shoot water and a membrane on its back that it can use to glide through the air.",https://pokeapi.co/api/v2/pokemon-species/818
819,skwovet,skwovet,generation-viii,,upright,brown,255,50,4,False,False,False,"Found throughout the Galar region, this Pokémon becomes uneasy if its cheeks are ever completely empty of berries.",https://pokeapi.co/api/v2/pokemon-species/819
820,greedent,greedent,generation-viii,,upright,brown,90,50,4,False,False,False,"It stashes berries in its tail—so many berries that they fall out constantly. But this Pokémon is a bit slow-witted, so it doesn’t notice the loss.",https://pokeapi.co/api/v2/pokemon-species/820
821,rookidee,rookidee,generation-viii,,wings,blue,255,50,4,False,False,False,"It will bravely challenge any opponent, no matter how powerful. This Pokémon benefits from every battle—even a defeat increases its strength a bit.",https://pokeapi.co/api/v2/pokemon-species/821
822,corvisquire,corvisquire,generation-viii,,wings,blue,120,50,4,False,False,False,"Smart enough to use tools in battle, these Pokémon have been seen picking up rocks and flinging them or using ropes to wrap up enemies.",https://pokeapi.co/api/v2/pokemon-species/822
823,corviknight,corviknight,generation-viii,,wings,purple,45,50,4,False,False,False,This Pokémon reigns supreme in the skies of the Galar region. The black luster of its steel body could drive terror into the heart of any foe.,https://pokeapi.co/api/v2/pokemon-species/823
824,blipbug,blipbug,generation-viii,,armor,blue,255,50,4,False,False,False,"A constant collector of information, this Pokémon is very smart. Very strong is what it isn’t.",https://pokeapi.co/api/v2/pokemon-species/824
825,dottler,dottler,generation-viii,,armor,yellow,120,50,4,False,False,False,"It barely moves, but it’s still alive. Hiding in its shell without food or water seems to have awakened its psychic powers.",https://pokeapi.co/api/v2/pokemon-species/825
826,orbeetle,orbeetle,generation-viii,,wings,red,45,50,4,False,False,False,"It’s famous for its high level of intelligence, and the large size of its brain is proof that it also possesses immense psychic power.",https://pokeapi.co/api/v2/pokemon-species/826
827,nickit,nickit,generation-viii,,quadruped,brown,255,50,4,False,False,False,"Aided by the soft pads on its feet, it silently raids the food stores of other Pokémon. It survives off its ill-gotten gains.",https://pokeapi.co/api/v2/pokemon-species/827
828,thievul,thievul,generation-viii,,quadruped,brown,127,50,4,False,False,False,"It secretly marks potential targets with a scent. By following the scent, it stalks its targets and steals from them when they least expect it.",https://pokeapi.co/api/v2/pokemon-species/828
829,gossifleur,gossifleur,generation-viii,,blob,green,190,50,4,False,False,False,"It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly.",https://pokeapi.co/api/v2/pokemon-species/829
830,eldegoss,eldegoss,generation-viii,,blob,green,75,50,4,False,False,False,The seeds attached to its cotton fluff are full of nutrients. It spreads them on the wind so that plants and other Pokémon can benefit from them.,https://pokeapi.co/api/v2/pokemon-species/830
831,wooloo,wooloo,generation-viii,,quadruped,white,255,50,4,False,False,False,"Its curly fleece is such an effective cushion that this Pokémon could fall off a cliff and stand right back up at the bottom, unharmed.",https://pokeapi.co/api/v2/pokemon-species/831
832,dubwool,dubwool,generation-viii,,quadruped,white,127,50,4,False,False,False,"Weave a carpet from its springy wool, and you end up with something closer to a trampoline. You’ll start to bounce the moment you set foot on it.",https://pokeapi.co/api/v2/pokemon-species/832
833,chewtle,chewtle,generation-viii,,quadruped,green,255,50,4,False,False,False,Apparently the itch of its teething impels it to snap its jaws at anything in front of it.,https://pokeapi.co/api/v2/pokemon-species/833
834,drednaw,drednaw,generation-viii,,quadruped,green,75,50,4,False,False,False,"With jaws that can shear through steel rods, this highly aggressive Pokémon chomps down on its unfortunate prey.",https://pokeapi.co/api/v2/pokemon-species/834
835,yamper,yamper,generation-viii,,quadruped,yellow,255,50,4,False,False,False,"This Pokémon is very popular as a herding dog in the Galar region. As it runs, it generates electricity from the base of its tail.",https://pokeapi.co/api/v2/pokemon-species/835
836,boltund,boltund,generation-viii,,quadruped,yellow,45,50,4,False,False,False,This Pokémon generates electricity and channels it into its legs to keep them going strong. Boltund can run nonstop for three full days.,https://pokeapi.co/api/v2/pokemon-species/836
837,rolycoly,rolycoly,generation-viii,,ball,black,255,50,4,False,False,False,"Most of its body has the same composition as coal. Fittingly, this Pokémon was first discovered in coal mines about 400 years ago.",https://pokeapi.co/api/v2/pokemon-species/837
838,carkol,carkol,generation-viii,,legs,black,120,50,4,False,False,False,It forms coal inside its body. Coal dropped by this Pokémon once helped fuel the lives of people in the Galar region.,https://pokeapi.co/api/v2/pokemon-species/838
839,coalossal,coalossal,generation-viii,,humanoid,black,45,50,4,False,False,False,"It’s usually peaceful, but the vandalism of mines enrages it. Offenders will be incinerated with flames that reach 2,700 degrees Fahrenheit.",https://pokeapi.co/api/v2/pokemon-species/839
840,applin,applin,generation-viii,,squiggle,green,255,50,4,False,False,False,"It spends its entire life inside an apple. It hides from its natural enemies, bird Pokémon, by pretending it’s just an apple and nothing more.",https://pokeapi.co/api/v2/pokemon-species/840
841,flapple,flapple,generation-viii,,wings,green,45,50,4,False,False,False,"It ate a sour apple, and that induced its evolution. In its cheeks, it stores an acid capable of causing chemical burns.",https://pokeapi.co/api/v2/pokemon-species/841
842,appletun,appletun,generation-viii,,quadruped,green,45,50,4,False,False,False,"Eating a sweet apple caused its evolution. A nectarous scent wafts from its body, luring in the bug Pokémon it preys on.",https://pokeapi.co/api/v2/pokemon-species/842
843,silicobra,silicobra,generation-viii,,squiggle,green,255,50,4,False,False,False,"As it digs, it swallows sand and stores it in its neck pouch. The pouch can hold more than 17 pounds of sand.",https://pokeapi.co/api/v2/pokemon-species/843
844,sandaconda,sandaconda,generation-viii,,squiggle,green,120,50,4,False,False,False,"When it contracts its body, over 220 pounds of sand sprays from its nose. If it ever runs out of sand, it becomes disheartened.",https://pokeapi.co/api/v2/pokemon-species/844
845,cramorant,cramorant,generation-viii,,wings,blue,45,50,4,False,False,False,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",https://pokeapi.co/api/v2/pokemon-species/845
846,arrokuda,arrokuda,generation-viii,,fish,brown,255,50,4,False,False,False,"If it sees any movement around it, this Pokémon charges for it straightaway, leading with its sharply pointed jaw. It’s very proud of that jaw.",https://pokeapi.co/api/v2/pokemon-species/846
847,barraskewda,barraskewda,generation-viii,,fish,brown,60,50,4,False,False,False,"This Pokémon has a jaw that’s as sharp as a spear and as strong as steel. Apparently Barraskewda’s flesh is surprisingly tasty, too.",https://pokeapi.co/api/v2/pokemon-species/847
848,toxel,toxel,generation-viii,,upright,purple,75,50,4,True,False,False,"It stores poison in an internal poison sac and secretes that poison through its skin. If you touch this Pokémon, a tingling sensation follows.",https://pokeapi.co/api/v2/pokemon-species/848
849,toxtricity,toxtricity,generation-viii,,upright,purple,45,50,4,False,False,False,"When this Pokémon sounds as if it’s strumming a guitar, it’s actually clawing at the protrusions on its chest to generate electricity.",https://pokeapi.co/api/v2/pokemon-species/849
850,sizzlipede,sizzlipede,generation-viii,,tentacles,red,190,50,4,False,False,False,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.,https://pokeapi.co/api/v2/pokemon-species/850
851,centiskorch,centiskorch,generation-viii,,tentacles,red,75,50,4,False,False,False,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.",https://pokeapi.co/api/v2/pokemon-species/851
852,clobbopus,clobbopus,generation-viii,,tentacles,brown,180,50,4,False,False,False,"It’s very curious, but its means of investigating things is to try to punch them with its tentacles. The search for food is what brings it onto land.",https://pokeapi.co/api/v2/pokemon-species/852
853,grapploct,grapploct,generation-viii,,tentacles,blue,45,50,4,False,False,False,A body made up of nothing but muscle makes the grappling moves this Pokémon performs with its tentacles tremendously powerful.,https://pokeapi.co/api/v2/pokemon-species/853
854,sinistea,sinistea,generation-viii,,ball,purple,120,50,-1,False,False,False,"This Pokémon is said to have been born when a lonely spirit possessed a cold, leftover cup of tea.",https://pokeapi.co/api/v2/pokemon-species/854
855,polteageist,polteageist,generation-viii,,ball,purple,60,50,-1,False,False,False,"This species lives in antique teapots. Most pots are forgeries, but on rare occasions, an authentic work is found.",https://pokeapi.co/api/v2/pokemon-species/855
856,hatenna,hatenna,generation-viii,,legs,pink,235,50,8,False,False,False,"Via the protrusion on its head, it senses other creatures’ emotions. If you don’t have a calm disposition, it will never warm up to you.",https://pokeapi.co/api/v2/pokemon-species/856
857,hattrem,hattrem,generation-viii,,humanoid,pink,120,50,8,False,False,False,"No matter who you are, if you bring strong emotions near this Pokémon, it will silence you violently.",https://pokeapi.co/api/v2/pokemon-species/857
858,hatterene,hatterene,generation-viii,,blob,pink,45,50,8,False,False,False,It emits psychic power strong enough to cause headaches as a deterrent to the approach of others.,https://pokeapi.co/api/v2/pokemon-species/858
859,impidimp,impidimp,generation-viii,,humanoid,pink,255,50,0,False,False,False,"Through its nose, it sucks in the emanations produced by people and Pokémon when they feel annoyed. It thrives off this negative energy.",https://pokeapi.co/api/v2/pokemon-species/859
860,morgrem,morgrem,generation-viii,,humanoid,pink,120,50,0,False,False,False,"When it gets down on all fours as if to beg for forgiveness, it’s trying to lure opponents in so that it can stab them with its spear-like hair.",https://pokeapi.co/api/v2/pokemon-species/860
861,grimmsnarl,grimmsnarl,generation-viii,,humanoid,purple,45,50,0,False,False,False,"With the hair wrapped around its body helping to enhance its muscles, this Pokémon can overwhelm even Machamp.",https://pokeapi.co/api/v2/pokemon-species/861
862,obstagoon,obstagoon,generation-viii,,upright,gray,45,50,4,False,False,False,Its voice is staggering in volume. Obstagoon has a tendency to take on a threatening posture and shout—this move is known as Obstruct.,https://pokeapi.co/api/v2/pokemon-species/862
863,perrserker,perrserker,generation-viii,,upright,brown,90,50,4,False,False,False,What appears to be an iron helmet is actually hardened hair. This Pokémon lives for the thrill of battle.,https://pokeapi.co/api/v2/pokemon-species/863
864,cursola,cursola,generation-viii,,arms,white,30,50,6,False,False,False,Its shell is overflowing with its heightened otherworldly energy. The ectoplasm serves as protection for this Pokémon’s core spirit.,https://pokeapi.co/api/v2/pokemon-species/864
865,sirfetchd,sirfetchd,generation-viii,,wings,white,45,50,4,False,False,False,"Only Farfetch’d that have survived many battles can attain this evolution. When this Pokémon’s leek withers, it will retire from combat.",https://pokeapi.co/api/v2/pokemon-species/865
866,mr-rime,mr_rime,generation-viii,,humanoid,purple,45,50,4,False,False,False,It’s highly skilled at tap-dancing. It waves its cane of ice in time with its graceful movements.,https://pokeapi.co/api/v2/pokemon-species/866
867,runerigus,runerigus,generation-viii,,blob,gray,90,50,4,False,False,False,"A powerful curse was woven into an ancient painting. After absorbing the spirit of a Yamask, the painting began to move.",https://pokeapi.co/api/v2/pokemon-species/867
868,milcery,milcery,generation-viii,,ball,white,200,50,8,False,False,False,This Pokémon was born from sweet-smelling particles in the air. Its body is made of cream.,https://pokeapi.co/api/v2/pokemon-species/868
869,alcremie,alcremie,generation-viii,,blob,white,100,50,8,False,False,False,"When it trusts a Trainer, it will treat them to berries it’s decorated with cream.",https://pokeapi.co/api/v2/pokemon-species/869
870,falinks,falinks,generation-viii,,heads,yellow,45,50,-1,False,False,False,"Five of them are troopers, and one is the brass. The brass’s orders are absolute.",https://pokeapi.co/api/v2/pokemon-species/870
871,pincurchin,pincurchin,generation-viii,,tentacles,purple,75,50,4,False,False,False,"It feeds on seaweed, using its teeth to scrape it off rocks. Electric current flows from the tips of its spines.",https://pokeapi.co/api/v2/pokemon-species/871
